용어,출처,용례
UH-60 블랙호크,['국방과학기술플러스 250호'],"['2006년에는 아파치 헬기에서 고정익 무인기 Hunter를 조종하는 장비를 개발하였고, 2007년부터는 UH-60 블랙호크에 상호운용 LOI 2급 장비인 VUIT29)를 탑재하여 무인기로부터 비디오 영상을 직접 수신하도록 하여 상황인식 능력을 개선하였다.']"
X-37B,"['국방과학기술플러스_246호(19년도+4분기)', '국방과학기술플러스 249호']","['또한, 열구조 방식은 X-43이나 X-37B 비행체 등에 사용하기 위해 개발되었는데 초고온 강도도 요구되었다.', '아울러 미 공군이 ’10년부터 비공개적으로 궤도에 올려 각종 비행시험을 하고 있는 군사용 X-37B 우주항공기는 강력한 우주무기로서의 가능성을 두고 그 정체와 용도 등에 대한 설이 난무하다.']"
강습상륙함,['국방백서'],"['그에 따라 항공모함, 순양함, 구축함, 전략핵잠수함과 강습상륙함 등 대형함 건조를 통해 원양작전능력을 향상하고 신속한 전력투사를 위해 해군육전대와 항공전력을 지속 확대하고 있다.']"
견인포,['2021_국방과학기술플러스_253호'],"['1992년 개념에 대한 최초 입증 후, 2005년에는 화포용 레이저 점화장치(DPLIS16))를 개발하였으며, 개발기간동안 기존 자주포와 견인포에 적용하여 약 25,000발의 실 사격을 수행한 바 있다.', '미래 포병이 지향하는 방향에 맞추어 국외의 최근 개발동향을 살펴보면, 각국의 전술환경변화를 고려한 소요에 따라 견인포의 차량탑재형을 개발하는 등의 개량형의 개발이나, 기존의 자주포 기술을 활용한 다양한 목적의 체계를 창출하여 제안하고, 소요를 확대할 수 있는 원격무인 포탑, C-RAM1)용 포탑 등을 연구하고 있다.']"
공격기,"['국방과학기술플러스 249호', '국방백서', '국방과학기술플러스 Vol.256', '국방과학기술플러스_238호(2017년+4분기)', '국방과학기술플러스_248호(20년도+2분기)']","['(그림 5~6) 향후 미국은 드론 대응 기술을 한층 더 강화한 후 순항 미사일 형태의 전자기펄스탄을 실용화할 것으로 보이며 최종적으로는 전자기펄스를 발사하는 무인공격기를 개발할 것으로 예상된다.', 'FA-50 경공격기에 최초로 적용한 바 있으며, 향후 도입될 주요 무기체계로까지 확대할 것이다.', 'Yi Long은 전형적인 무인 공격기로 공대공 미사일, 레이저 유도탄, 대인폭탄, 50kg 소형 유도탄 등을 장착할 수 있다.', '무인공격기와 순항유도무기 체계 적용을 위한 가스터빈 엔진은 MTCR 규정에 따른 EL(Export Licence) 문제로 인하여 국내 독자적인 엔진개발이 불가피하여 90년대 초반부터 순항유도무기용 단수명 터보제트엔진의 개발을 시초로 하여, 20년대 중반이후의 무인항공기 체계개발을 위한 장수명의 터보팬엔진 핵심기술 개발을 진행하고 있다.', '셋째, 공중전력은현재진행되고있는고등훈련기(T-50) 양산사업, 한국형기동헬기사업을계속하면서, 대형수송기및경공격기( FA-50 )양산사업을신규로착수한다.', '이에 근거하여 2013년 12월 필리핀 태풍 피해 복구 지원을 위해 아라우부대가 파병되었고, 2014년 3월에는 국산 경공격기(FA-50) 12대를 필리핀에 수출하였다.', '인도는 자체 개발한 경공격기 테자스(Tejas)에 Meteor를 통합하려 하였으나, 유럽 6개국이 참여한 MBDA와 이스라엘의 정치적인 이해관계로 결국 무산된 바 있다.', '주요전력은에이브라함전차,17) 브래들리장갑차,18) 155미리자주곡사포,다련장로켓과패트리어트19)를포함한지대공유도탄, 아파치헬기,20) F-16전투기, 대전차공격기등이다.', '특히 일본의 경우 공식적인 전자공격기를 보유하고 있지 않은 것으로 보이나, 한반도 최근접 지역에 최신형 장거리 감시레이더를 배치하여[20] 한국을 비롯한 주변국 감시를 강화하는 움직임을 보이고 있다.']"
공대공 미사일,"['국방과학기술플러스_248호(20년도+2분기)', '국방과학기술플러스 Vol.256']","['1990년대 걸프전을 시작으로 공대공 미사일, 그 중에서도 비가시선 거리(BVR, Beyond Visual Range) 밖의 적 항공기를 요격할 수 있는 중거리 공대공 미사일의 역할은 비약적으로 증가하였다.', 'KF-X에 장착할 중거리 공대공 미사일은 사거리나 형상에 대한 까다로운 요구조건과 함께 항공기 체계통합을 위한 기술적 문제도 극복해야 한다.', 'Yi Long은 전형적인 무인 공격기로 공대공 미사일, 레이저 유도탄, 대인폭탄, 50kg 소형 유도탄 등을 장착할 수 있다.', '걸프전 이후, 미국의 원거리 공중 전력에 위협을 느낀 러시아와 중국은 미국의 공중급유기와 조기경보기 등을 요격하기 위한 BVR 미사일 개발에 집중적으로 투자하여 다수의 고성능 중-장거리 공대공 미사일을 보유하게 되었다.', '그러나 1990년대 걸프전을 시작으로 공대공 미사일, 그 중에서도 비가시선 거리(BVR, Beyond Visual Range) 밖의 적 항공기를 요격할 수 있는 중거리 공대공 미사일의 역할은 비약적으로 증가하였다.', '또한, AAM-4B는 개량된 이중추력 모터로 약 120km 사거리를 가지는 것으로 알려져 있지만, 이 정도로는 중국과 러시아의 200km급 BVR 공대공 미사일에 대응하기는 어려운 실정이므로 일본으로서는 F-35내부 무장창에 탑재가능하며 긴 사거리를 가지는 공대공 미사일이 필요하였다.', '만일 국산 공대공 미사일이 Meteor와 같은 덕티드 램제트 엔진을 기반으로 한다면, 이미 수행한 KFX-Meteor의 체계통합 결과를 십분 활용하여 기술개발 위험을 획기적으로 낮출 수 있을 것이다.', '말하자면 400mm급 공대함 유도탄과 200mm 급 공대공 미사일은 주요 구성품의 크기는 다르지만 동일한 설계개념과 형상을 공유하는 것이다.', '무장탑재량을 획기적으로 늘리기 위하여  AIM-120을 개발한 Raytheon은 Peregrine 중거리 공대공 미사일을 자체 예산으로 개발 중이다.', '미국 중거리 공대공 미사일 중 최고의 베스트셀러는 당연히 AIM-120 AMRAAM이다.', '실제교전 상황에서 공대공 미사일이 의미 있는 확률로 적기를 요격할 수 있는 거리를 나타내는 회피불능구역(NEZ, No Escape Zone)이라는 용어가 있다.', '이렇게 확보한 기술들은 향후 중단거리 공대공 미사일의 국내 개발에 직접 활용될 수 있을 것이다.', '일본  일본은 50년 전, 미국으로부터 도입한 AIM-9B의 복제수준으로 AAM-1 단거리 공대공 미사일을 개발한 바 있다.', '일본은 50여 년 전에 이미 단거리 공대공 AAM-1을 전력화한 이후, 자국의 우수한 전자기술을 바탕으로 새로운 중거리 공대공 미사일을 개발해 왔다.', '일본은 미국산 항공기 플랫폼의 제약에서 벗어나기 위해  BVR 미사일 유도용 지령송신기를 자체 개발하였으며, 인도는 자국산 항공기에 Meteor를 탑재하는 것을 포기하고 독자 BVR 공대공 미사일을 개발하고 있다.', '장기적으로 KF-X에 자체 개발한 공대공 미사일이 필요한 이유다.', '정치적인 이유로 EU의 Meteor도입이 쉽지 않기 때문에 인도는 자체적으로 덕티드 램제트 기반 공대공 미사일 개발을 서두르고 있으며, 그 일환으로 인도는 2013년, 러시아와 SFDR(Solid Fuel Ducted Ramjet) 추진체계를 개발하는 협력계약을 체결하고, 2019년 지상발사 시험을 성공하였다.', '조만간 인도에서 자체 개발한 덕티드 램제트 추진 공대공 미사일에 대한 소식을 들을 수 있을 듯하다.', '중국과 파키스탄의 직접적인 위협을 받는 인도로서는 ASTRA보다 더 좋은 성능의 공대공 미사일인 Meteor를 가지기 위해 여러 노력을 기울였으나 지금까지는 성과가 없는 실정이다.', '중국중장거리 공대공 미사일에 가장 많은 투자를 하고 있는 국가이다.', '최근에는 항공기의 탐지능력이 점점 확장됨에 따라 더 멀리서 상대를 제압할 수 있는 중장거리 공대공 미사일무장이 필수적으로 요구된다.', '최초 전력화 이후 지금까지 지속적으로 성능을 향상시켜왔으나, 30년전에 개발된 AIM-120기반으로는 러시아와 중국의 최신예 공대공 미사일을 대응하기 역부족이란 인식으로부터 완전히 새로운 공대공 미사일 개발을 준비하고 있다.', '현대 항공기의 레이더 탐지성능이 증가함에 따라 BVR 영역에서 운용할 수 있는 중장거리 공대공 미사일에 대한 개발경쟁이 치열하다.']"
공중급유기,"['국방백서', '국방과학기술플러스_248호(20년도+2분기)']","['K-21 보병전투차량, F-15K 전투기(2차 사업) 등 196개 사업을 계속 추진하며, 차기 구축함, 공중급유기 등 94개 사업을 새로 착수할 계획이다.', '걸프전 이후, 미국의 원거리 공중 전력에 위협을 느낀 러시아와 중국은 미국의 공중급유기와 조기경보기 등을 요격하기 위한 BVR 미사일 개발에 집중적으로 투자하여 다수의 고성능 중-장거리 공대공 미사일을 보유하게 되었다.', '공군은 F-X, 한국형전투기(KF-X)를 확보하여 월등한 공중우세를 달성하고 대형수송기와 공중급유기를 도입하여 원거리 작전 수행능력을 강화해 나갈 것이다.', '공군은 차세대전투기·공중급유기·수송기와 장거리 스텔스기를 획득하는 데 주력하고 있다.', '공중급유기, 정밀유도무기, 우주 기반 감시전력 등도 확보하여 원거리 공중작전과 전천후 타격능력을 향상시킬 것이다.', '공중우세 달성을 위해 오키나와에 F-15 전투기 비행대를 추가 창설하고 신형 조기경보기, 체공형무인기, 수직이착륙기, 신형 공중급유기, 수송기 등을 전력화할 예정이다.', '공중전력은 F-35A 스텔스기와 한국형 전투기(KF-X) 등을 전력화하여 공중우세를 확보하고, 공중급유기 등을 전력화하여 장거리 작전능력을 확보해 나갈 것이다.', '또한 원거리 작전능력을 지원하는 공중조기경보통제기, 수송기, 공중급유기도 증가 추세를 보이고 있으며, 신형 전투기 도입을 지속 추진하는 등 급속한 현대화를 진행하고 있다.', '또한 잠재적 위협 대비 및 국익수호 등 확대된 작전수행능력 구비를 위해 대형수송기, 공중급유기, 우주기반감시체계 등을 확보할 것이다.', '러시아와 중국은 전통적으로 조기경보기나 공중급유기 등 원거리 고가치 자산(HVA, High Value Assets)을 요격하기 위하여 중/장거리 공대공 전력에 투자해 왔으며, 현재는 전력의 다양성과 속력, 사거리 등 비행성능 측면에서 미국을 압도하고 있는 실정이다.', '신형 조기경보기, 체공형무인기, 수직이착륙기, 신형 공중급유기, 수송기 등을 전력화하고 있다.', '이를 위해 차기전투기, 한국형 전투기, 공중급유기, 정찰정보수집체계, 한국형 탄도미사일 방어체계, 우주감시체계 등을 확보해 나갈 것이다.', '차기 상륙함을 확보하여 해양 통제와 상륙작전 능력을 강화하고, 공중급유기로 공중우세를 달성하고 장거리 작전능력을 구비할 계획이다.', '향후 2023년까지 신형 전투기(F-35A 42대), 신형 조기경보기, 체공형무인기, 신형 공중급유기, 수송기 등을 전력화할 예정이다.']"
근접전투,"['국방백서', '국방과학기술플러스 250호', '국방과학기술플러스_235호(2017년+1분기)']","['육군은 현존 전력의 효율성을 극대화하면서 합동작전을 구현할 수 있는 능력을 구비하기 위해 대대급 이하 부대의 주야 근접전투 능력을 집중적으로 보강하고 있다.', '지상무인체계 관점의 기술적 난이도를 고려할 때 ① 수송·보급, 화생방 오염지역 정찰, ② 장애물 개척, 화력지원, ③ 대공방호, ④ 수색·정찰, ⑤ 근접전투 순으로 높아진다.', '차량수송형은 감시정찰, 화생방/폭발물 탐지, 근접전투 등의 용도로 개발되었고 70Kg 급의 Talon은 4000대 이상이 운용되고 있다.', '현재 군에서 소요제기하는 지상무인체계는 근접전투 가능한 무기체계 중심이나, 이러한 지상무인체계 기술적 난이도는 매우 높으므로 많은 시간과 비용을 필요로 한다.']"
기뢰,"['국방과학기술플러스 vol.260', '국방과학기술플러스_242호(2018년+4분기)', '국방과학기술플러스 250호', '국방과학기술플러스_239호(2018년+1분기)', '국방백서', '국방과학기술플러스_237호(2017년+3분기)', '국방과학기술플러스_247호(20년도+1분기)', '국방과학기술플러스 Vol.257']","['2008년부터 2년 동안 개념연구 형태로, 노르웨이 FFI와 함께 착저 잠수함 또는 기뢰 탐지를 위한 기술개발 과제를 수행하였다.', 'David Bushnell은 어뢰와 기뢰전의 아버지라 불리며, 수중전에 대한 그의 접근방법은 미국의 어뢰와 기뢰전의 효시이다.', 'Orca XLUUV의 주요특징은 전투 임무를 수행할 수 있는 기뢰모듈을 탑재하고 있으며, 수상감시정찰을 위해 마스트에 광학 장비를 탑재한 것을 알 수 있다.', 'Orca 프로젝트는 다양한 수중무장을 탑재하기 위한 운용개념(CONOPS)을 연구하고 탑재 하중의 통합과 기뢰, 어뢰 등을 통합 운용할 수 있는 연동기술을 개발할 예정이다.', 'Proteus는 주로 탑재물 통합을 위한 연동시험, 최신의 자율운항기술 시험, 장거리 및 원격 운용기술 시험, 해저면에 기뢰 부설 및 주기적인 검사, 해저 음파탐지기 조사 및 파괴, 다이버 및 수중무장 수송 같은 수중 기반시설 검사를 포함한 여러 가지 임무용으로 사용될 수 있도록 다목적으로 개발하고 있다.', 'RAMICS(Rapid Airborne Mine Clearance System)은 초공동 기술을 적용한 수중 탄환을 개발하는 프로그램으로, 부유식 또는 얕은 수심의 계류식 기뢰 제거를 목적으로 개발되었다.', '[ 도표 3-3 ]  해군 주요 조직과 보유 전력\x08해군작전사령부는 전반적인 해군작전을 지휘하고 대함작전4), 대잠작전5), 기뢰작전6), 상륙작전 등을 수행한다.', '걸프전 이전까지 대부분의 국가들은 유인 소해함에 의존한 기뢰 소해 작전이 주류를 이루었으나, 걸프전 이후부터 본격적으로 무인 소해정 개발을 착수하여 현재 일부 국가에서는 이미 전력화되어 운용 중에 있다.', '고성능 기뢰에 대한 효과적 작전을 위해 기존 플랫폼 위주에서 네트워크 중심작전, 협동교전이 가능한 형태로 발전되어야 하므로 복잡한 전장환경 하에서도 우군 피해를 최소화하면서 기존 탐색/ 소해함과 협동작전이 가능한  MCM용 무인체계의 획득 운용이 요구된다.', '국내에도 기개발된 기뢰 탐지 가능 소나는 다수가 있다.', '국내적으로 기뢰 탐색 및 소해장비 외 대부분의 관련 핵심 기술들은 성숙되어 있으나 USV에 맞도록 개량 혹은 설계 변경하여 체계에 적용할 필요가 있다.', '군사목적으로 전력화 되어 있는 무인잠수정은 측면주사소나(Side Scan Sonar, SSS)를 탑재하여 해저기뢰탐색을 위해 활용되거나, 잠수함의 대잠전 훈련을 위해 소음을 방사/모의 할 수 있는 센서를 탑재하여 활용되고 있다.', '그러나 기뢰는 부설수단에 크게 의존하는 반면 어뢰는 자항추진으로 표적을 찾아내고 공격하여 임무를 완수할 수 있다.', '그리고 부수적으로 대형급 UUV를 운반하고, 기뢰를 부설하는 대기뢰전(MCM), 정보 감시 및 정찰(ISR) 임무 등도 수행할 것이다.', '기뢰 대항작전은 모든 기뢰원에 대한 완전 소해를 목표로 수행되어야 하나 현실적으로 어려운 실정이다.', '기뢰 탐색 및 소해장비의 성능은 무인수상정 플랫폼 체계의 전체 제원과 성능에 영향을 미치기 때문에 국내 독자 기술 축적이 필수적이며 현재의 미흡한 기술수준을 고려하여 단계적이고 체계적인 기술 개발이 필요하다.', '기뢰는 적은 비용으로도 적에게 막대한 피해 및 심리적 부담을 줄 수 있는 병기로서, 현대전은 물론 미래전의 경우에도 지속적으로 활용될 것으로 예상된다.', '기뢰는 적은 비용을 사용하여 다양한 방법으로 해양지형에 관계없이 광범위하게 부설할 수 있어 수상(중)함에 막대한 피해를 유발시킬 수 있을 뿐 아니라 해군작전 중 심리적인 부담을 가중시키며, 미래에도 지속적인 사용이 가능한 저비용 고효율의 무기이다.', '기뢰의 제거 방식에는 기뢰 작동 원리를 이용하여 인위적으로 감응시켜 폭발되도록 하는 방법, 기뢰 위치에 폭약을 설치하여 파괴하는 방법, 계류 기뢰의 계류색을 절단하여 수면에 부상시켜 기관포로 사격, 기폭하는 방법 등이 있다.', '기뢰작전 기뢰를 사용하여 적 해군 세력을 차단 또는 무력화하거나 적의 기뢰 사용을 거부하는 작전8.', '기뢰전은 크게 기뢰 부설작전과 기뢰대항 작전으로 구분되며, 기뢰대항 작전은 적의 기뢰부설 시도를 막고 기뢰 위협을 감소시키는 모든 작전이며 적의 기뢰전 위협을 사전에 차단하는 공격적 기뢰대항 작전과 기뢰가 부설된 이후에 대응하는 방어적 기뢰 대항작전으로 분류된다.', '기존의 유인잠수함에서 수행하는 대부분의 성분작전인 대잠전, 대수상함전, 감시정찰, 기뢰전, 특수전 지원 및 대지전 임무 등을 수행할 수 있으며, 초대형 수중드론은 핵무장도 가능할 것으로 예상된다.', '나아가, 해군에서 현 운용중인 기뢰함, 소해함 체계와의 유 무인 협동작전을 효과적으로 수행할 수 있는 MCM용 무인수상정 개발이 절실히 필요하다.', '남북전쟁을 통하여 기뢰전은 발전을 계속하였고, 남부 연합은 함정 보유면에서 월등했던 북부 연합 함정에 대응하기 위하여 광범위하게 기뢰전을 펼쳤다.', '다자간 연합훈련으로는 코브라골드훈련, 서태평양 기뢰대항전훈련, 환태평양(RIMPAC)훈련을 실시하고 있다.', '대부분의 감응기뢰는 자기장 및 음향신호에 감응하여 발화되며, 일부 기뢰의 경우, 전기장, 압력, 지자기 왜곡 신호에 감응 하여 발화된다.', '따라서, 미래전에서도 기뢰는 지속적으로 운용될 것이 예상되므로 대기뢰전 분야에 대한 지속적인 투자가 필요할 것으로 판단된다.', '무인잠수정 임무2004년 미 해군에서 발표한 UUV Master Plan에서는 무인잠수정의 주요 임무를 정보/감시/정찰, 대기뢰전, 대잠전, 조사/식별, 해양조사, 통신/항해 네트워크, 적재물 운송, 정보작전 그리고 적기신속타격으로 총 9가지로 분류하였다.', '미 해군 상륙작전의 주된 장애가 이라크 기뢰였으며 실제로 1만톤 급 이상 함정 2척이 기뢰 폭발로 큰 손상을 입은 사례가 있다.', '미 해군은 수중드론 탑재 수중무장으로써 지능형 자율어뢰, 자율 자항기뢰, 소형미사일 등을 개발하고 있으며, 수중드론에서 운용할 수 있도록 기존의 수중무장을 개량하는 여러 가지 프로젝트도 수행하고 있다.', '미국은 “Organic MCM System”으로 불리는 총 7종의 소해장비를 개발하여 무인수상정, 잠수함, 수상함, 헬기에 분산 탑재하여 기뢰전을 수행하는 개념을 적용 중이다.', '미국의 경우, 이라크전에서 약 6개월 이상의 많은 기간을 소비한 작전이 기뢰 탐색 및 소해이다.', '복합재 선체는 근접 기뢰 폭발 충격에도 견딜 수 있도록 설계되었다.', '본 장에서는 기뢰대항 작전 중 방어적 기뢰대항 작전을 지원하는 체계에 대해 언급하고자 한다.', '본 장에서는 대기뢰전 수행을 위한 소해장비 기술과 소해능력에 직접적 영향을 미치는 음향탐지 및 무장 장치에 대해서 언급한다.', '부\u2009창설해군작전사령부는 전반적인 해군작전을 지휘하고 대함작전3), 대잠작전4), 기뢰작전5), 상륙작전 등을 수행한다.', '소해를 포함한 대기뢰전에 대한 운용개념이 가장 잘 정비되어 있는 미 해군에서도 함정소해와 항공소해의 장점을 조합한 무인수상정 소해체계가 효율적 대안으로 제시되어 개발, 운용 및 시험 중에 있다.', '소해장비 기술기뢰함(Mine Wafare Ship)은 기뢰를 부설하는 부설함(Mine Laying Ship)과 부설된 기뢰를  탐색(Mine Hunting)하고 소해(Mine Sweeping)하는 기뢰 탐색함/소해함으로 구분한다.', '소해헬기에서 운용하는 개념으로 체계개발이 완료되었으며, 고도 300m 이상에서 수심 20m까지의 기뢰를 대상으로 하며 포구속력은 1,000~1,300m/s로 알려져 있다.', '수중전력은 로미오급 잠수함과 소형 잠수함정 등 70여 척으로 구성되어 있으며, 전시 해상교통로 차단, 기뢰 부설, 수상함 공격, 특수전부대 침투 지원 등의 임무를 수행한다.', '수중전력은 로미오급 잠수함과 잠수정 등 70여 척으로 구성되어 있으며 해상교통로 교란, 기뢰 부설, 수상함 공격, 특수전 부대의 침투 지원 등의 임무를 수행한다.', '수중전력은 로미오급 잠수함과 잠수정 등 70여 척으로 구성되어 있으며, 해상교통로 교란, 기뢰 부설, 수상함 공격, 특수전부대의 침투 지원 등의 임무를 수행한다.', '수중전력은 로미오급 잠수함과 잠수정 등 70여 척을 보유하고 있으며 해상교통로 교란, 기뢰 부설, 수상함 공격, 특수전부대 침투 지원 등의 임무를 수행한다.', '영국 국방성은 자국 방산업체인 Atlas Electronik UK와의 계약을 통해 ARCIMS(ATLAS Remote Combined Influence Minesweeping System) 자율 무인 기뢰소해 시스템을 개발하여 왔으며, 2020년  초반에 캐나다 해역에서의 혹한 운용 시험을 성공적으로 완료하였다.', '영국 전통적 해양 강국으로서 무인수상정에 대한 기반기술을 지속적으로 발전시켜 왔으며 SAS를 사용하는 MCM용 무인체계를 프랑스와 공동개발 착수하는 등 무인수상정을 이용한 기뢰처리 체계를 개발 진행중이다.', '영국 해군은 ARCIMS 체계의 성공적인 시험평가를 통해 유인 기뢰 소해 개념에서 무인 기뢰 소해 개념으로 패러다임의 변화를 가져 왔으며, 현재 기존 운용 중인 Hunt급 소해함을 2대의 USV 운용 모함으로 활용하기 위한 전면 개조 작업이 진행될 예정이다.', '우군 안전과 생존성 확보하의 기뢰 소해를 위해 MCM용 무인수상정 운용은 세계적 추세이며, 미국 및 영국 등 선진국들이 이라크전의 실전 경험을 토대로 보다 개선된 무인체계 개발을 추진 중에 있다.', '음향 탐지 기술USV를 이용하여 기뢰를 탐지해야 할 경우, 다양한 종류의 음향탐지센서가 필요하다.', '이 초대형 수중드론은 결국에는 대잠전(ASW), 기뢰전(MCM), 대수상함전(ASuW), 정보감시정찰(ISR), 그리고 특수전 지원임무 등 복합작전을 수행할 수 있도록 할 예정이고 프로젝트가 잘 진행되면 핵무장까지 고려하고 있는 것으로 알려져 있다.', '이는 미 해군의 LDUUV 프로젝트와 거의 같은 크기로, 더 작은 UUV 또는 잠재적으로 수중무장이나 기뢰를 운반할 수 있을 정도의 크기로 알려져 있다.', '이는 현재 유인 핵잠수함이 수행하는 임무를 대신하여 수행할 수 있는 것으로 간주되고 있으며, 순항 미사일 및 어뢰 발사 플랫폼 또는 기뢰 부설 등 임무를 수행할 수 있을 것이다.', '이들은 해상교통로 차단, 기뢰 부설, 수상함 공격, 특수전부대 침투 지원 등의 임무를 수행한다.', '이러한 전투용 수중드론은 미사일, 어뢰, 기뢰 등을 탑재하여 대잠전, 대수상함전, 대기뢰전 및 대지전 등 다양한 성분작전 임무를 수행할 예정이다.', '이와 같이, 대기뢰전시의 소해용 무인수상정 체계로의 전환은 세계적 발전 추세이다.', '이중 무인수상정은 LCS07 등에 배치하여 시험 중이거나 전력화 단계이며 대기뢰전 외 다종의 다목적  무인수상정을 운용 및 일부 개발 중이다.', '이처럼 예인식이나 운반식의 어뢰는 특수폭약이나 특수 기뢰의 범주에 속하는데,  그 당시에 어뢰라는 이름으로 통용되었고, 실제로 자체추진식의 어뢰가 개발됨에 따라 기뢰와 어뢰가 구분되고 자체추진식의 어뢰를 본래의 어뢰라 칭하게 되었다.', '인간의 창의력과 기술의 발전이 부유기뢰와 Spar 어뢰에서 오늘날 함대에 배치된 높은 기술 수준의 음향호밍 어뢰로 수중무기를 발전 시켰다.', '일반적으로 기뢰탐색함의 Side Looking Multi-beam Sonar를 이용하여 기뢰를 탐색하며 최근의 소해함은 기뢰 소해장치와 탐색장치를 동시에 갖추고 있는 추세이다.', '자기 감응기뢰 소해를 위해서는 다수의 영구자석 봉(Dyad) 배열을 사용하며, 음향 감응기뢰 소해는 별도 부착된 음향신호 발생기(AAG, Advanced Acoustic Generator)가 담당한다.', '잠수함 (중어뢰, 잠대함유도탄, 기뢰 등을 탑재)이지스 구축함 (대공·대유도탄·대함·대잠전 등을 동시에 수행할 수 있는 능력 보유)5.', '전시에 천해 환경에서 항해하는 함정에 위협이 대표적인 병기는 기뢰(Sea Mine)이며, 이 기뢰는 항만이나 해역을 봉쇄 또는 방어하는 가장 효과적인 무기체계이다.', '최근 개발되는 기뢰는 부설 해역 다변화, 탐지 능력 및 파괴 범위 증대, 대기뢰전 세력에 대한 대응 능력 향상 등으로 천해에서의 소나 및 무인기뢰처리기에 의존한 탐지 및 제거에는 한계가 있다.', '최근 기술의 발전에 따라 기뢰의 성능이 향상되고 복잡해짐에 따라 대기뢰전의 수행 전력 및 대응방향도 발전되어 가고 있다.', '탐지장비는 지하나 수중의 금속물체에 의한 지구자기장의 왜곡을 탐지하는 장비로써 주로 드론이나 무인기 등에 탑재하여 지뢰나 기뢰탐지 등의 위치를 검출한다.', '한국 해군은 소해함을 이용한 대기뢰전 전투 임무를 수행하고 있으므로 함정과 승조원에게는 매우 위험한 전투 환경이다.', '한미 연합훈련으로 해상 대특수전부대훈련, 대잠해양탐색훈련, 대잠전·상륙전·기뢰전·특수전·잠수함전 훈련 등 다양한 훈련을 실시하고 있다.', '한미 연합훈련은 작전수행능력 제고와 상호운용성 증대를 위해 해상 대특수전부대훈련, 대잠해양탐색훈련, 상륙전·기뢰전·구조전·해안양륙군수지원 훈련 등 다양한 훈련을 실시하고 있다.', '한미 연합훈련은 해상 대특수전부대훈련, 대잠해양탐색훈련, 대잠전·상륙전·기뢰전·특수전·잠수함전 훈련 등 다양한 훈련을 실시하고 있다.', '한미간에는대특작부대훈련, 대잠해양탐색훈련, 잠수함전·기뢰전·구조전·상륙전·특수전훈련을하고있다.', '한미연합훈련은 작전수행능력 제고와 상호 운용성 증대를 위해 한미 해상기회훈련, 연합 전구대잠전 훈련, 기뢰전·구조전·특수전 훈련 등을 실시하고 있다.', '함정의 임무영역을 표현하는 운용성능은 그림 2와 같이 대공전, 대잠전, 대수상전, 기뢰전과 같은 주 임무수행  영역과 이를 가능케 하는 공격능력, 방어능력, 기동, 지속능력 등의 능력요소로 이루어진다.', '해군작전사령부는 전반적인 해군작전을 지휘하고 대함작전7), 대잠작전8), 기뢰작전9), 상륙작전 등을 수행한다.', '해상 및 상륙 전력 분야에서는 차기 호위함, 장보고-Ⅱ급 잠수함(1,800t급) 등을 계속 확보해 나가면서 차기 기뢰부설함, 차기 상륙함 등을 확보한다.', '현대 기뢰는 음향센서, 자기센서, 압력센서, 진동센서 등 다양한 센서를 이용하는 복합감응 방식을 이용하고 있으나 선진국에서도 유 무인함 공통적으로 음향 및 자기에 대한 소해로 한정하여 운용 혹은 연구개발 진행 중이다.', '현재 미국 해군에서 운용 중인 무인 기뢰 소해장비는 UISS(Unmanned Influence Sweep System)이며, 기존의 항공 소해장비와 유인 함정 소해장비의 장점만을 택한 방식이다.', '화랑 21 모델향토사단의 전투지휘훈련 모델158 | 제7장 전투임무 중심의 선진강군 육성상륙·기뢰·잠수함 작전 등 전투환경의 특성에 따라 기본적으로 수행하는 훈련이다.']"
기총,['국방과학기술플러스 250호'],"['전통적인 기총대신 전방향으로 발사가 가능한 터렛(turret)에 장착된 레이저 무기가 항공기에서 활용가능하게 될 경우 이를 전술한 전방향 영상인식기술과 결합할 경우 가공할 성능이 예상되며, 이는 알파고 쇼크에서 겪은 경험에 비추어 볼 때 숙달된 조종사의 경험에 기반을 둔 현재의 근접 공중전의 양상을 근본적으로 바꿀 수 있을 것으로 예상된다.']"
다연장로켓포,['국방과학기술플러스_242호(2018년+4분기)'],['BM-21은 122 mm 구경의 다연장로켓포로서 1963년 소련 육군에 실전배치 되었으며 50개국 이상이 널리 사용하는 다연장로켓이다.']
