용어,내용
1990년 기증유물(서류가방),"1990년 기증유물로, 밝은 갈색의 가죽제 서류가방이다. 6.25전쟁 당시 유엔군 콜롬비아 대대 소속 대위로 참전했던 콜롬비아의 알바로 발렌시아 또바르(Álvaro Valencia Tovar, 1921~2014) 예비역 육군중장이 당시 사용하였던 것이다. 전면부에 스페인어로 '콜롬비아 대대(BATALLON COLOMBIA)', 콜롬비아 대대 마크, 태극기와..."
1989년 기증유물(F-51 전투기(Mustang)),"1989년 기증유물로, F-51 전투기(Mustang)이다. F-51(Mustang)은 단발 프로펠러 전투기는 제2차세계대전부터 활약하였으며, 6·25전쟁 당시 소련의 MIG-15기가 출현하기 전까지 미 제5공군의 주력 전투기 중 하나였다. 연료 소모가 적고, 저공 공격이 가능해 한반도의 산악 전투에서 지상군을 지원하는데 큰 효과가 있었다. 또한 F-51는..."
1989년 기증유물(M1 90mm 고사포),"1989년 기증 유물로, M1 90mm 고사포이다. 중 ·고고도로 비행하는 폭격기와 전투기를 요격하는 대구경 대공포이다. 1940년부터 1950년대까지 미 육군에서 사용하였으며, 제2차 세계대전과 6·25전쟁 때도 운용되었다. 국군은 1955년 미국으로부터 도입해, 공군기지와 주요 군사 시설에 배치하였다. 제2차 세계대전 당시 레이더와 연계한 고도의 사격통..."
1989년 기증유물(3.5인치 로켓포(M20A1B1)),"1989년 기증 유물로, 3.5인치 로켓포(M20A1B1)이다.  제2차 세계대전 때 개발된 휴대용 대전차무기로, '바주카(bazooka)'란 별명으로 잘 알려졌다. 전장 160cm, 중량 6.8kg, 유효사거리 183m, 사격속도 분당 10발이다. M20  로켓포는 6·25전쟁의 발발을 맞아 본격적으로 양산되었으며, 베트남 전쟁 초기까지 일선에서 운용되었..."
1991년 차입유물(M1917A1 브라우닝 기관총_몸통),"1991년 차입유물로, M1917A1 브라우닝 기관총의 몸통이다. M1917 브라우닝 기관총은 수냉식으로, 1917년 존 브라우닝이 개발했다. 수냉식은 총신을 둘러싼 물통이 있고, 물을 채워서 총신을 식히는 방식이다. 장시간 대량의 탄약을 연속으로 발사할 수 있는 장점이 있다. 그러나 그 중량이 기동성을 감소 시키고, 물이 없는 상황에서는 사용이 어렵다. ..."
1992년 구입유물(122mm 곡사포 M1938(M-30)),"1992년 구입유물로, 122mm 곡사포 M1938(M-30)이다. 소련 육군이 독소 전쟁 직전 채용한 사단 포병연대의 주력 곡사포로, 차량에 의해 견인되는 견인 곡사포이다. 1939년부터 1955년까지 19,226문이 생산되었다. 그러나 대부분은 제2차 세계대전이 끝난 직후인 1945년까지 집중되었다. 1940년부터 1945년까지 17,526문이 생산되었..."
1992년 구입유물(76.2mm 사단포 M1942),"1992년 구입유물로, 76.2mm 사단포 M1942이다. 소련군이 제2차 세계대전 중 개발해 배치한 사단 포병연대의 주력 야포다. 곡사포로 운영되었으나, 강한 관통력을 가져 대전차전 임무에도 사용되었다. 수많은 나라에 공여돼 6·25전쟁을 비롯해 현재에도 상당수가 사용하고 있다. 야포는 오래 전에 생산되어도 작동과 포탄 수급에 문제가 없다면 계속 사용할 ..."
1993년 이관유물(M18 57mm 무반동총),"1993년 이관유물로, M18 57mm 무반동총이다. 무반동총은 제2차 세계대전 말에 새롭게 등장한 신형 무기로, 사격 시에 앞으로 향하는 탄환과 같은 운동량의 화약 가스를 후방을 분사시켜 포신의 반동을 없앤 대전차무기다.  57mm 무반동총은 반동이 거의 없어 사람 어깨 위에 올려놓고 사용하거나, M1917A1 브라우닝 기관총에 사용되는 삼각대에 거치하여..."
1993년 기증유물(7.7mm 브렌 경기관총),"1993년 기증유물로, 7.7mm 브렌 경기관총이다. 1930년대 영국에서 제작되었으며,  제2차 세계대전 당시 영국과 영연방 국가들이 경기관총으로 사용했다. 6·25전쟁 기간에는 영국군과 영연방군이 분대 지원화기로 사용했다. Mk.형, L4형 등 개량형이 개발되어 1990년대까지 사용되었다. 영국 외에도 캐나다 인그리스(Inglis)사가 라이선스 생산을 ..."
1994년 기증유물(9mm 오웬 기관단총),"1994년 기증유물로, 9mm 오웬 기관단총이다. 호주가 독자적으로 개발한 모델로, 제2차 세계대전 당시 제작되었다. 무기 생산 전문업체나 육군의 병기창이 아니라 개인이 개발한 총이었다. 1939년 에블린 오웬((Evelyn Owen)이 호주 국방부가 주관한 신무기 선발전에 출품한 작품에서 시작했다. 이후 군납용으로 개량하는 작업을 거쳐 1941년 오웬 M..."
1994년 기증유물(9mm 오웬 기관단총-탄창),"1994년 기증유물로, 9mm 오웬 기관단총용 탄창이다. 파라블럼탄((9×19㎜)을 사용하며, 30발 막대탄창을 위에서 끼우는 방식이다. 오웬 기관단총은 호주가 독자적으로 개발한 모델로, 제2차 세계대전 당시 제작되었다. 무기 생산 전문업체나 육군의 병기창이 아니라 개인이 개발한 총이었다. 1939년 에블린 오웬((Evelyn Owen)이 호주 국방부가 주..."
1993년 기증유물(T-6 훈련기(건국기)),"1993년 기증유물로, T-6 훈련기이다. 1935년 North American Aviation에서 설계한 훈련용 항공기로, 6·25전쟁 당시 경공격기, 정찰기 등으로 사용되었다. 1950년 5월 국민성금으로 캐나다에서 10대의 T-6 훈련기를 도입해 '건국기'라 명명하였다. 6·25전쟁 초기에는 문산, 개성 방면으로 출격하여 포탄을 손으로 투하하는 등 지..."
1993년 기증유물(F-86F 전투기),"1993년 기증유물로, '세이버(Saber)'라는 별명으로 잘 알려진 F-86F 전투기이다. F-86은 6·25전쟁 당시 미 제5공군의 주력 제트전투기로,  소련제 제트전투기인 MIG-15기와 맞설 수 있던 거의 유일한 기종이었다. 6·25전쟁 이후에도 개량형이 개발되어 미국을 비롯한 세계 각국의 주력 전투기로 사용되었다. 한국에서도 1955년부터 F-86..."
1990년 기증유물(M4A3E8 전차(셔먼전차)),"1990년 기증유물로, M4A3E8 전차(셔먼전차)이다. M4A3E8 전차(셔먼전차)는 6·25전쟁 당시 미 육군의 주력 중형전차이며, 특히 고지쟁탈전에서 보병부대를 근접 지원하는 용도로 사용되었다. 또한 국군이 운용한 최초의 전차이기도 하다. 별칭인 ‘셔먼(Sherman)’은 미국 남북전쟁 당시 활약한 셔먼 장군을 기리기 위해 붙여졌다.  1951년 12..."
1991년 기증유물(M46 전차(패튼전차)),"M46전차(패튼전차)는 미 육군이 제2차세계대전 종전 후 M26 퍼싱전차를 개량한 중형전차이다.  별칭인 ‘패튼(Patton)은  제2차 세계 대전에서 큰 활약을 했던 조지 S. 패튼 장군을 기리기 위해 붙여졌다. 6·25전쟁 때 처음 실전에 투입된 최신형 전차로, M4A3E8 및 M26 전차와 함께 전장에서 활약했다. 1950년 10월 19일 평양탈환작전..."
1992년 기증유물(YAK-18 훈련기),"1992년 기증유물로, YAK-18 훈련기이다. 1945년 5월 소련의 항공 엔지니어 알렉산드르 야코블레프가 설계한 훈련기이다. 6·25전쟁 당시 북한공군은 Yak-18을 야간 폭격기로 운용했다...."
1992년 기증유물(T-34 전차 (1)),"T-34전차는 1939년 소련에서 개발한 중형전차이다. 1940년부터 야전부대에 배치되었으며,  제2차 세계대전 당시 소련의 주력 전차였다. 이후 6·25전쟁에서 북한군과 중공군의 주력 전차로 사용되었다. 전쟁기념관에서 소장하고 있는 모델은 T-34-85이다. T-34전차의 제원은 전장 6.1m, 너비 3m, 무게 32톤, 최고 속도 55km/h, 항속거리..."
1992년 기증유물(T-34 전차 (2)),"T-34전차는 1939년 소련에서 개발한 중형전차이다. 1940년부터 야전부대에 배치되었으며,  제2차 세계대전 당시 소련의 주력 전차였다. 이후 6·25전쟁에서 북한군과 중공군의 주력 전차로 사용되었다. 전쟁기념관에서 소장하고 있는 모델은 T-34-85이다. T-34전차의 제원은 전장 6.1m, 너비 3m, 무게 32톤, 최고 속도 55km/h, 항속거리..."
1992년 기증유물(MIG-15 전투기),"1992년 기증유물로, MIG-15(미그15)는 미코얀-구례비치 설계국이 제장한 1인승 제트 전투기로, 1950년 말부터 1953년까지 공산군의 주력 전투기였다. 6·25전쟁에서 유엔군 공군의 주간 공습을 저지하는 역할을 수행했다...."
1992년 기증유물(120mm 박격포),"1992년 기증유물로, 120mm 박격포이다. 보병부대의 화력을 증강 및 지원을 위해 사용된 중박격포이다. 제2차 세계대전 당시 소련군이 사용하였으며, 6·25전쟁 당시 북한군과 중공군의 지원화기로 사용되었다. 6·25전쟁 발발 직전 북한군 보병사단은 편제상 18문의 120mm PM-43 중박격포를 보유했다. 당시 국군은 이에 해당하는 무기체계가 없었기 때..."
1992년 기증유물(37mm 자동고사포),"1992년 기증유물로, 37mm 자동대공포이다. 러시아어로 '37-mm avtomaticheskaia zenitnaiapushka obr.1939.g(61-k'라 한다. 37mm 자동대공포는 소련이 제2차 세계대전 발발 직전에 개발해 배치하기 시작한 대공포이다.  6·25전쟁 당시 북한군과 중공군의 주력 대공화기로 광범위하게 사용되었다. 북한군은 기습 효과..."
1992년 기증유물(85mm 고사포),"1992년 기증유물로, 85mm 고사포이다. 소련군이 제2차 세계대전 중 사용하였으며, 6·25전쟁 시기 북한군과 중공군이 중구경 대공포로 운용하면서 유엔군 항공기에 큰 피해를 입혔다. 포신 길이 4.7m, 무게 4,300kg, 최대사거리(지상목표/대공사격) 15,000m/10,500m, 발사속도 15발(분)이다...."
1990년 기증유물(O-1A 관측기(L-19)),"1990년 기증유물로, O-1A(L-19) 관측기이다. 단발피스톤 엔진 관측기로, 전후방 조종석 2인승으로 구성되어 있다. 처음에는 L-19로 분류되었으나, 1962년 O-1으로 재분류되었다. A/B/C/D/E/F/G 등 다양한 버전의 O-1 항공기들이 제작되었다. O-1는 전후좌우를 유리로 제작해, 새를 사냥하는 개처럼 시야가 넓다고 해 '버드독(Bird..."
1992년 기증유물(M-36 전차),"1992년 기증유물로, M36 전차이다. 제2차 세계대전 말기 미군에 배치되었으며. 독일군의 타이거 중(重)전차와 판터 전차를 공격하기 위해 개발되었다. 또한 M36 전차는 국군 최초의 전차로, T-34 전차에 대항하는 한국군의 주력전차로 사용되었다. 1959년 무렵 육군에서 퇴역하였고, 이후 상당 기간 전방지역 고지에서 고정포로 활용되었다...."
1992년 기증유물(SU-100 자주포),"1992년 기증유물로, SU-100 자주포이다. 1944년 개발된 소련제로, 제2차 세계대전 당시 대전차 자주포로 운용되었다. 1945년 7월까지 2,300여 대가 생산되었다. T-34-35 전차의 차체에 1000MM 포를 탑재해 강력한 화력을 보유했다. 독소전 당시 독일군의 중(重)전차를 격파하는데 주로 사용되었다. 제2차 세계대전 이후 상당수가 소련의 ..."
1992년 기증유물(LVT-3C 상륙장갑차),"1992년 기증유물로, LVT-3C 상륙장갑차이다. 1944년부터 미군에 배치되었으며, 해상에서 육상으로 병력 및 장비를 수송하는데 사용된다. LTV 계열의 상륙장갑차는 미 해병대가 제2차 세계대전 당시 상륙 작전을 위해 개발한 것으로, 지속적인 성능개량을 통해 미 해병대의 주요 상륙장비로 운용되었다. LTV-3 상륙장갑차는 제2차 세계대전 당시 오키나와 ..."
1992년 기증유물(M114A1 155mm 곡사포),"1992년 기증유물로, M114A1 155mm 곡사포이다. 1942년부터 미 육군에 배치된 견인포로, 제2차 세계대전, 6·25전쟁, 베트남 전쟁에서 사용되었다. 이후 M198 곡사포의 도입으로 점차 퇴역하였다. 개발 당시에는 M1 견인포로 불렸으며, 1962년 M114 곡사포로 재명명되었다. 국군은 6·25전쟁 당시인 1951년 9월에 도입해 사단 및 군..."
1992년 기증유물(BM13 132㎜ 방사포),"1992년 기증유물로, BM13 132mm 방사포이다. 1939년 소련이 개발하였으며 '캬츄샤'라는 별명으로 유명하다. 제2차 세계대전 당시 독일군과의 전투에서 널리 사용되었으며, 6·25전쟁 중 북한군과 중공군이 운용한 다연장 로켓포이다. 군단급 이상의 독립포병부대에서 운용되었다. 공산군은 이 방사포를 전술적으로 중요한 지역에 집중 투입했다. 군용 트럭을..."
2000년 기증유물(KT-1 훈련기(시제품 2호기)),"2000년 기증유물로, KT-1 훈련기(시제품)이다. 국내 최초로 우리나라 기술진이 설계·개발한 기본 훈련기로, 대량 양산되고 수출된 최초의 항공기이다. 1988년에서 1992년까지 탐색개발을 시작으로 선행개발 4년, 실용개발 2년 등 약 11년간의 개발기간을 거쳤다. 연인원 2,500여명의 연구원, 약 1,100억원의 비용을 투입하여 개발을 완료했다. 1..."
1990년 기증유물(프랑스군 방독면/피),"1990년 기증유물로, 프랑스군 방독면/피이다. Ducel사에서 제작한 TC-38 방독면/피다. 방독면피는 갈색 천으로 만들어진 가방 형태로, 어깨에 멜 수 있는 끈이 달려 있다. T.O.(Taille Ordinaire)는 사이즈 치수 중 하나로, 일반 사이즈(Normal)를 뜻한다...."
1990년 기증유물(프랑스군 수통),"1990년 기증유물로, 프랑스군 수통이다. 금속 수통을 군청색 울 소재의 수통피가 감싸고 있다. 수통피에는 'Definitif Antimite(진드기 방지)' 로고가 찍혀 있다."
1990년 기증유물(미국 공군 수통/수통피),"1990년 기증유물로, 미국 공군 수통과 수통피다. 수통은 GP&F Co사가 1943년에 제작한 것이며, 강철 소재이다."
1991년 기증유물(M1918A2 브라우닝 자동소총),"1991년 기증유물로, M1918A2 브라우닝 자동소총이다. 구경 7.62㎜, 길이 121.4㎝, 사거리 1,372m, 중량 8.8㎏, 사격속도 분당 300∼600발이다. 1918년에 개발된 미 육군의 휴대용 경기관총이며, 흔히 BAR 소총로 불린다. 반자동과 자동 연사가 가능하며, 소총수가 어깨에 견착 할 수 있었다. 이후 M1918A1, M1918A2로..."
1991년 기증유물(권총집),"1991년 기증유물로, 권총집이다. 1954년 국군 5사단 36연대 3중대장이었던 기증자가 덕유산 무장공비 소탕작전시 무장공비 박찬봉으로부터 노획한 것이다. 당시 M1911A1 권총과 탄창을 보관한 것으로 추정된다...."
1991년 기증유물(M2 브라우닝 기관총),"1991년 기증유물로, M2 브라우닝 기관총이다. 구경 12.7㎜, 길이 165.4㎝, 사거리 1,830m, 중량 58.1㎏(거치대 포함), 사격속도  분당 450∼550발이다. M2 브라우닝 기관총은 전차·장갑차·차량·항공기·군함 등에 탑재된 표준 기관총이다. 본래 수랭식으로 개발되었다가 공랭식으로 개조되었다. 미 육군이 제2차 세계대전과 6·25전쟁 시..."
S-2 해상초계기,1967년 북한 명태잡이 어선의 월경을 막는 작전 중이던 해군의 소형 구축함(당포함)이 북한의 해안포 공격으로 침몰하는 사건이 발생하였다. 대한민국 국군은 연안 방어를 위한 미사일 고속정의 필요성을 인식하게 되었고 이후 참수리급 고속정이 1978년에 개발되었다. 30여 년간 대한민국의 연안을 지켜온 참수리급 고속정은 현재 기종의 노후로 인해 차세대 고속함정...
Mk.20 20mm 2연장 대공포,스위스 오리콘사에서 개발한 대공용 기관포이다. 병렬로 장착된 20mm 기관포 2문은 각 60발이 장탄되며 양쪽을 합해 120발을 동시에 사격할 수 있다. 발사 후 과열된 총열을 30초 이내에 간단히 교환할 수 있다. 제2차 세계대전 당시 미국은 .50구경 중기관총을 대체하기 위해 이를 도입하였다. 대한민국 해군은 1970년대 도입한 충북급 구축함과 PK급 ...
Mk.4 20mm 대공포,"스위스 오리콘사에서 개발한 대공용 기관포이다. 제2차 세계대전 당시 미국과 영국 함정의 대공포로 도입되었으며, 현재 제3세계 국가에서 운용되고 있다. 대한민국 해군이 최초로 구입한 전투함인 백두산함에 탑재된 대공포이다. 6·25전쟁을 거쳐 1970년대까지 미국으로부터 도입한 초계함이나 구축함 등에 장착해 운용하였다. 1980년대부터 국내에서 개발한 20mm..."
Mk.32 어뢰발사관,"미국에서 개발한 어뢰를 발사하는 관으로 함정 갑판이나 잠수함에 설치된다. Mk.32 어뢰 발사관은 1959년부터 1964년까지 미 해군에 의해 진행되었던 함대재건계획(FRAM) 당시 개발되었다. 1960년대에 도입한 대한민국 해군의 최초 구축함인 충무급 구축함에 장착되었으며, 이후 인천급, 충북급 구축함에서 운용하였다. 현재 충무공 이순신급 구축함에서 운용..."
Mk.50 5인치 로켓발사기,"미국에서 개발한 함대지 로켓발사기이다. 상륙로켓함(LSMR) 및 어뢰정(PT), 경비함(PCE) 등에서 운용되었고 6·25전쟁 당시 인천상륙작전과 흥남철수작전에서 사용되었다. 대한민국 해군은 6·25전쟁 당시 미국이 대여한 초계 어뢰정(PT Boat)에서 운용하였다. 전쟁 이후인 1960년, 미국에서 인수받은 시흥급 화력지원함에 2연장 발사기로 장착되어 1..."
Mk.4 40mm 4연장 함포,"스웨덴 보포스사에서 개발한 대공 및 대함용 함포이다. 포신 길이에 따라 L/60(60구경장) 및 L/70(70구경장) 기종으로 구분된다. 제2차 세계대전 당시 미군의 주력 대공 무기로 운용되었다. 1960년대에 도입한 대한민국 해군의 최초 구축함인 충무급 구축함에 장착되어 구축함, 전차상륙함, 호위함 등에서 운용하였다. 1970년대 해상 대간첩작전에 기여하..."
40mm L60K 2연장 함포,"스웨덴 보포스사에서 개발한 L/60 40mm 2연장 함포를 대한민국 해군정비창에서 반자동으로 개수한 기종이다. 원형인 L/60은 모든 조작이 전부 수동이지만, L/60K는 함포의 원격 조작이 가능하며 야간관측 장비도 추가되었다. 주로 고준봉급 상륙함과 천지급 1번함, 동해급 초계함에서 운용되었으며, 충북급 구축함에도 일부 장착되었다. 1990년대 국내에서 ..."
Mk.30 5인치 38구경장 함포,"미국에서 개발한 함포이다. 적 함정 공격 및 상륙지역의 화력지원, 대공사격 등 다양한 목적으로 운용되었다. 제2차 세계대전에서 큰 활약을 펼친 미국의 플레처급 구축함 및 가르시아급 호위구축함 등에 장착되었다. 대한민국 해군은 1963년 미국으로부터 도입한 충무급 구축함에 5문을 장착하여 운용한 이래 1970년대까지 대한민국 해군 구축함의 주 무장으로 해상 ..."
Mk.2 40mm 2연장 함포,"스웨덴 보포스사에서 개발한 대공 및 대함용 함포이다. 포신 길이에 따라 L/60 및 L/70 기종으로 구분된다. 제2차 세계대전 당시 높은 명중률로 연합국은 물론 추축국(독일, 이탈리아 등)에서도 모두 운용하였다. 대한민국 해군 최초의 호위함인 두만급 호위함에 장착된 대공포이며, 특히 6·25전쟁 중인 1951년 4월 16일 신미도 전투에서 북한 공군의 Y..."
MGM-52 미사일(랜스),"미국에서 냉전 시기에 개발한 단거리 탄도미사일이다. 핵탄두 및 고폭탄을 탑재하여 지대지 공격이 가능하였다. 대한민국에서는 1987년 주한미군에 1개 포대가 배치되어 대북 핵 억제 전력으로 운용되었으며, 1991년 남북 간 한반도 비핵화 공동 선언 체결 이후 철수되었다...."
현무-1 미사일,대한민국에서 개발한 탄도미사일이다. 대한민국의 첫 국산 단거리 지대지 탄도 미사일인 백곰을 개량하여 제작되었다. 1986년 시험발사에 성공하여 이후 대한민국 육군에 실전 배치되었다. 미국의 나이키 허큘리스 미사일과 외형이 비슷하지만 1단 추진체가 한 개의 단일 기관이라는 것에서 차이가 있다. 후속 기종의 개발 및 배치가 이뤄지면서 2018년 퇴역하였다....
MIM-14 미사일(나이키 허큘리스),"미국에서 개발한 장거리 지대공 미사일이다. 주로 방공임무에 활용되었으며, 군수시설과 같은 중요 표적에 대한 지대지 공격에도 사용되었다. 우리 군은 장거리 방공임무를 수행하기 위해 1965년 미국으로부터 도입하였다. 육군에 실전 배치되었으며 이후 1991년부터 공군이 운용하였다. 이후 신형 패트리어트 미사일이 개발되면서 노후로 인해 전량 퇴역하였다.
  . ..."
황룡 로켓,대한민국에서 개발한 무유도 로켓이다. 북한의 화력체계에 대항하기 위해 개발되었다. 함께 개발 중이었던 대한민국 최초 단거리 지대지탄도탄 백곰 미사일의 1단 추진체를 활용하여 제작되었다. 1978년 백곰 미사일과 함께 시험발사에 성공하였다. 하지만 당시 유도무기의 본격적인 도입으로 인해 1980년 9월 개발을 중단하였다....
홍상어 대잠 미사일,"대한민국에서 개발한 장거리 대잠 미사일이다. 경어뢰인 청상어가 내장되어 있다. 수상함 수직발사대를 통해 발사되는데, 목표지점까지 날아가 잠수함을 공격하기 때문에 원거리에서 작전 수행이 가능하다. 전방위 공격이 가능하고 공격 정확도가 높다는 것이 특징이다. 지속적인 개량이 이루어지고 있으며 대잠수함 작전능력을 향상시킨 유도 무기이다...."
한국형 수직발사장치(KVLS),"대한민국에서 개발한 함정용 수직발사체계로, 자체개발한 유도무기 발사를 위해 개발되었다. 수직발사장치 1개 모듈은 8개의 셀로 구성되어 있어 다양한 유도무기를 탑재하고 발사할 수 있다. 현재 충무공 이순신급 및 세종대왕급 구축함과 천왕봉급 상륙함, 남포급 기뢰부설함 등에서 운용 중이다...."
해성 대함 미사일,불가사리를 뜻하는 ‘해성(海星)’은 대한민국에서 개발한 대함 미사일이다. 북한의 소형함을 타격하기 위해 개발되었다. 국내 최초로 개발된 터보팬 제트엔진이 장착되어있으며 2005년부터 양산되었다. 현재 충무공 이순신급 구축함 후기형과 세종대왕급 구축함에 탑재되어 주요 대함무기 체계 중 하나로 운용되고 있다....
천마 지대공 유도탄,대한민국에서 개발한 지대공 유도탄이다. 10km 이내 단거리 방공 임무를 위해 개발되었다. 1987년 국방과학연구소에서 연구가 진행되었으며 1999년부터 프랑스 R.440 크로탈 미사일 기술을 참조하여 양산에 성공하였다. 현재 대한민국 육군에서 운용되고 있다....
천궁 지대공 유도탄,"대한민국에서 개발한 중거리 지대공 미사일이다. 미국의 호크 미사일(MIM-23)을 대체 할 목적으로 개발되었다. 1999년 KM-SAM(철매-2) 사업으로 개념연구가 시작되었으며, 러시아와의 기술 협력을 바탕으로 국방과학연구소와 LIG 넥스윈, 한화그룹 등이 개발에 참여하였다. 이후 천궁이란 새 이름으로 명명되어 2015년부터 실전 배치되었다...."
MIM-23 미사일(호크),미국에서 개발한 저·중고도용 지대공 미사일이다. 적기나 미사일을 추격해 파괴하거나 무력화하기 위해 운용되었다. 특히 베트남전쟁과 걸프전 당시 우수한 대공방어 능력을 발휘하였다. 대한민국은 1966년 도입 후 육군에 실전 배치하였고 1991년 이후 공군에서 운용하였다. 2015년부터 한국형 지대공 미사일 천궁으로 대체되고 있다....
M125A1 박격포장갑차,미국에서 개발한 박격포 장갑차이다. 병력수송용 M113A1 장갑차를 81mm 박격포 탑재용으로 개량한 것이다. 조작원 5명이 승차한 상태로 탑재된 박격포를 사격할 수 있다. 대한민국은 1971년 국군 장비 현대화 계획에 따라 미국으로부터 M125A1 박격포장갑차를 도입하였다. 육군 예하 기계화부대에서 운용하였으며 1989년 이후 한국형 자주박격포 장갑차인 ...
M113A1 장갑차,"미국에서 개발한 장갑차이다. 병력 수송용 장갑차인 M113을 디젤엔진으로 개량한 것이다. M113 계열의 장갑차는 알루미늄 합금으로 제작된 최초의 장갑차이며, 무게가 가볍고 속도가 빨라 ‘전장의 택시’ 라는 별칭을 가지고 있다. 대한민국은 1967년 미국으로부터 80여 대를, 1971년 200여 대를 들여와 육군 기계화보병대대의 주력 장갑차로 운용하였다. ..."
M577 지휘용 장갑차,"미국에서 개발한 지휘용 장갑차이다. 병력 수송용 장갑차인 M113을 개량해 만든 것이다. 전고를 60cm 높이고 각종 지휘·통신용 장비와 발전기를 탑재하였다. 지휘관 전용 해치(hatch)가 별도로 마련되어 있어 외부관측과 지휘가 용이하다. 공간 확장이 필요한 경우 장갑차 뒤쪽에 지휘소용 텐트를 연결할 수 있다. 대한민국은 기계화부대의 지휘용 장갑차, 자주..."
KM900 차륜형 장갑차,"대한민국에서 면허 생산한 차륜형 장갑차이다. 이탈리아 피아트(Fiat)사에서 개발한 CM6614 경장갑차를 우리나라 아시아자동차(현 기아자동차)에서 생산한 것이다. 기동성에 중점을 둔 경장갑차로서의 성능에 충실하여, 포장된 도로에서 최고 시속 100km의 속력으로 주행할 수 있다. 대한민국은 1970년대 중반에 도입하여 육군과 공군에서 도시 지역 작전과 공..."
