term,example
99식 소총,해방 후 건너 온 팔로군 출신의 북한군 상당수가 노획한 99식 소총으로 무장하고 있었던 것이다.
99식 소총,그런데 우리에게 아픈 기억인 99식 소총은 해방 후 우리 군경이 최초로 보유한 화기이기도 했다.
99식 소총,일제의 침략 도구였던 99식 소총에는 이처럼 우리의 피와 눈물도 담겨 있는 것이다.
99식 소총,지금도 미군 부대가 주둔 중이기도 한 옛 부평조병창은 태평양 전쟁 말기에 99식 소총을 비롯한 각종 총포를 만들기 위해 공출이란 명목으로 한반도는 물론 저 멀리 중국 내륙에서 약탈한 각종 철강재가 몰려들던 곳이었다.
99식 소총,99식 소총은 일본 군부가 직접 운용한 9개의 조병창에서 생산되었는데 그 중 한 곳이 인천의 부평에 있었다.
A-10,그렇다 보니 미군 당국도A-10을OA-10처럼 전선통제기로 개조하거나 아니면 적당히 사용하다가 퇴역시키려 하였다.
A-10,"하지만YA-10이 기본 무장으로 채택할GAU-8 기관포 운용에서 안정성이 높고 방판 능력도 더 좋아 승자가 되었는데, 이것이 바로 유명한A-10이다."
A-10,"미국의 공군, 해군, 해병대뿐만 아니라 영국 해군도 같이 참여한 이 사업은 공군의 F-16 전투기, A-10 공격기, 해군과 해병대의 F/A-18 호넷, 해병대의 AV-8B 해리어II 등 미군이 보유한 모든 기종을 교체하는 야심찬 사업이다."
A-10,"F-35 전투기는 미 공군의 F-16 전투기, A-10 공격기, 해군과 해병대의 F/A-18 호넷, 해병대의 AV-8B 해리어 Ⅱ 등, 3군이 현재 운용 중인 전투기 대부분을 교체할 예정이다."
A-10,<119>A-10 선더볼트 II 공격기| 국방일보 2009-06-09최초 미 공군의 요구에 의해 탄생한A-10은 우수한 지상공격 능력을 바탕으로 냉전시대 바르샤바 조약군의 강력한 기갑전력을 제압할 수 있는 효과적인 공격수단으로 인정받았다.
A-10,공식적으로 썬더볼트II(ThunderboltII)라는 멋진 이름을 부여 받았지만 이를 사용하는 조종사들로부터는 아프리카산 혹멧돼지(Warthog)으로 더 많이 불리는A-10공격기다.
A-10,"당시 훈련에는 통합화력 격멸훈련 이래 최초로, 주한미군의AH-64 아파치 공격헬기와A-10 공격기가 참가하기도 했다."
A-10,그래서 탄생한 대표적인 무기가A-10 공격기와 공격 헬리콥터다.
A-10,"47개 부대 2,000여명의 한미 장병들과K-2 전차,K-21 장갑차, 수리온 기동헬기,FA-50, 대구경다련장로켓(MLRS) 등 우리 군의 최신무기와 주한미군의M-2 브래들리 장갑차,M-109A6 팔라딘,AH-64 아파치 헬기,A-10 공격기 등이 참가했다."
A-10,"미 공군, 해군, 해병대가 운용 중인F-16, F/A-18,A-10,AV-8을 단일 플랫폼으로 대체하는 계획이었는데, 노후 전투기 대체를 목전에 둔 여타 동맹국들의 참여를 처음부터 유도하여 개발비와 생산비를 낮추고자 하였다."
A-10,"공군도A-10처럼 공격기를 운용하지만F-16,F-15E,F-117처럼 타격 능력이 있는 전투기를 전술폭격용으로 이용하여서 굳이 A 제식부호를 애용하지는 않는 편이다."
A-10,1979년 미공군은F-100 슈퍼 세이버 전폭기를 퇴역시키고 후속 기체인A-10 공격기로 부대를 개편한다.
A-10,거기에다가 유도폭탄처럼 고공에서 지상의 이동 목표물을 정확히 타격할 수 있는 다양한 기술이 개발되자A-10은작전에 투입하기에 상당히 위험한 무기가 되어 버렸다.
A-10,그렇게 해서 탄생한 걸작이 바로 기갑부대의 킬러로 명성이 자자한A-10이다.
A-10,그런데 종종Su-25와A-10을 놓고 서로를 대항마로 얘기하는 경우가 있는데 이는 오해이다.
A-10,하지만 바로 그때A-10가 처음으로 실전에 투입되는 일이 벌어졌다.
A-10,이때는 냉전이 끝나고A-10의 존재의의에 대해서 많은 사람들이 물음표를 달기 시작한 시점이었다.
A-10,이를 난사할 때 발생하는 포연과 더불어 저공으로 돌진하는 모습이 마치 성난 멧돼지가 주둥이로 땅을 파며 달려드는 장면 같다고 하여A-10이 멧돼지(Warthog)이라고 더 많이 불리게 되었을 만큼 인상적인 무기다.
A-10,종전 후 확인한 결과 이라크군이MLRS와 더불어 가장 무서워한 무기가 바로A-10이었다.
A-10,A-10은 미국만이 보유하고 운영하고 있을 만큼 워낙 제한적인 임무에만 사용된다.
A-10,"유명 작가인 톰 클랜시(TomClancy)는 소설에서 그 특유의 모습을 빗대어A-10을 악마의 십자가로 표현하였지만, 한번 화나면 인정사정 봐주지 않고 날뛰는 멧돼지가 오히려 진짜 진정한 별명이라 생각된다."
A-10,"그러나 안보환경의 급격한 변화, 특히 군축과 다양한 임무를 동시에 수행할 수 있는 다목적 전투기(multi-rollFighter)의 등장은 지상공격이라는 단일임무에 특화된A-10의 미래를 어둡게 만들었다."
A-10,"F-35는 A,B,C 3가지 형태로 생산되는데, 기본형인 F-35A는 F-16과 A-10을 대체하는 공군형이다."
A-10,A-10의 특징 중 하나가 30mm구경의GAU-8어벤저 개틀링포라 할 수 있다.
A-10,그 결과YA-10은 정식으로A-10이라는 제식부호를 부여받고 1977년부터 실전 배치되었다.
A-10,"주로 육안으로 확인할 수 있는 저고도로 비행하며 적을 공격하는데, 사실 이런 작전은A-10가 등장하기 훨씬 이전부터 실행하여 왔던 형태의 작전이었다."
A-10,"A-10은 현재까지 미군이 개발한 수많은 군용기 중에서 처음부터CAS(CloseAirSupport,근접항공지원)라는 단일 목적을 위해 개발되고 제식화 된 유일한 기종이다."
A-10,그렇게 해서 탄생한 탱크 킬러가 바로 너무나도 유명한A-10이다.
A-10,개발에 난항을 겪는 중이지만 미국이 처음JSF를 시작하였을 때A-10을F-35로 대체하려던 이유도 바로 이런 방법을 예정하였기 때문이다.
A-10,"이후 미국만 운용한A-10과 달리Su-25는 북한을 포함한 25여 개국에 공급되어 이란-이라크전쟁, 제1, 2차 걸프전쟁처럼 대규모 전역은 물론 압하지아전쟁, 체첸전쟁처럼 국지전에서도 모습을 드러냈다."
A-10,1981년 5월 아프가니스탄에서 처음 사용되면서 서방은Su-25가A-10과 비슷한 작전을 수행하는 기종임을 깨닫게 되었다.
A-10,Su-25의 실전 투입은A-10보다 빨랐다.
A-10,개발 및 배치가A-10에 불과 2~3년 정도 뒤졌을 만큼 양국의 경쟁은 상당히 치열하였고 덕분에 무기사에 길이 빛날CAS전용기들이 비슷한 시기에 세상에 모습을 드러냈다.
A-10,"그러나 후방차단 작전에 투입된A-10은 대전차 공격, 스커드 미사일 발사대 추적 및 파괴 등의 임무에 투입되어 경이적인 전과를 얻었다."
A-4 스카이호크 공격기,"1966년 6월 12일, 미해군의A-4 스카이호크 공격기 비행대를 엄호하던VF-211 대대의F-8E 크루세이더 전투기 1대가MiG-17 1대를 격추하고 또 다른 한 대를 미확인 격추하는 전과를 올린다."
A-6 인트루더,"미 해군의A-6 인트루더공격기는 5발의 하푼 공대함 미사일을 발사해, 리비아 해군의 전투함 2척을 격침시켰고 다른 1척에 치명적인 손상을 입혔다."
A-6 인트루더,당시엔터프라이즈 항공모함에서 출격한A-6 인트루더 공격기 편대는 이란 해군 호위함에 3발의 하푼 공대함 미사일을 발사했다.
A-6 인트루더,"하푼 공대함 미사일을 맞은 호위함은 항행불능상태에 빠졌고,A-6 인트루더 공격기 편대는 정밀유도무기와 확산탄을 투하해 완전히 격침시켰다."
A-6 인트루더,"때마침 그곳을 방문한 버지니아 주지사 조지 알렌(GeorgeAllen)의 수신호로 제34공격비행대 소속의A-6E가 갑판을 박차고 하늘로 날아오른 것인데, 이는 역사상 최고의 공격기로 명성이 드높았던A-6 인트루더(Intruder)의 마지막 비행이었다."
A-6 인트루더,실험 결과에 대 만족한 미 해군 당국은 양산을 서둘렀고 1962년 군용기 제식부호 통일 사업에 따라A-6 인트루더로 이름을 바꾼 후 1963년 2월 전환훈련 비행대가 편성된 후 빠르게 기존의 공격기들을 대체하여 나가기 시작하였다.
A-6 인트루더,"지금도 군용기의 걸작들로 인정받는A-4 스카이호크(SkyHawk),A-7 코르세어II(CorsairII),A-6 인트루더(Intruder)가 차례대로 개발되어 배치되었다."
AC-130 건십,"베트남전이 끝나자AC-47D 건십을 비롯한 각종 건십들은 퇴역하게 되고,AC-130 건십만이 남게 되었다."
AC-130 건십,AC-130 건십|국방일보 2009-07-05일상생활에서 많이 사용되고 쉽게 접할 수 있는 시사경제용어 중 하나가 바로 대량 소비시대라는 표현이다.
AC-130 건십,"아프간전이 장기화되면서AC-130 건십에 대한 작전 소요가 늘어나자, 미군은 간이형 건십도 운용 중에 있다."
AC-130 건십,"1966년AC-47D 건십의 피해가 커지자, 미군은AC-130 건십을 개발한다."
AC-130 건십,"강력한 화력과 긴 체공시간은, 다른 공격기들에게서 볼 수 없는AC-130 건십만의 장점이다."
AC-130 건십,"AC-130 건십(Gunship)은 중무장 지상 공격기로, 하늘의 전함 혹은 죽음의 천사로도 불린다."
AC-130 건십,"특히 특수부대와 같이 소수의 병력이 다수의 적과 싸울 경우,AC-130 건십은 단비와 같은 역할을 한다."
AGM-86,또한 B-52G 7대가 미국 본토로부터 무려 35시간을 비행하여 AGM-86C 순항미사일을 발사함으로써 당시 최장의 전투비행기록을 세우기도 했다.
AGM-86,"높은 정확도와 파괴력을 자랑하는AGM-86B 순항미사일은, 한반도 유사시 핵우산으로 우리에게 제공될 1순위 핵무기로 손꼽히고 있다."
AGM-86,다양한 형식이 있지만 이 가운데 가장 눈에 띄는 것은 핵탄두를 탑재한AGM-86B이다.
AGM-86,미군은AGM-86B 순항미사일의 수명연장을 통해 2030년까지 운용할 예정이다.
AGM-86,"7mm기관총 2문, 760kg어뢰 1발 또는 700kg폭탄 1발 또는RP-3 로켓 8발AGM-86은 미 공군의B-52전략폭격기에서만 유일하게 운용되는 공중발사순항미사일이다."
AGM-86,2007년 미 공군 발표를 기준으로 500여 발의AGM-86B 순항미사일이 운용되었으나 현재는 200여 발만 사용 가능한 것으로 알려져 있다.
AGM-86,"사거리가 2,400㎞인AGM-86B 순항미사일은 히로시마에 떨어진 원자폭탄의, 10배 이상의 위력을 자랑하는 W80-1 핵탄두를 장착한다."
AGM-86,AGM-86A 순항미사일은 이전의 하운드 독과 달리 소련의 방공망을 피해 저고도로 침투할 수 있다는 점이 가장 큰 특징이었다.
AGM-86,AGM-86A 순항미사일에는 털컴(TERCOM) 즉 지형 대응 유도 방식이 장착되었다.
AGM-86,"1976년 5월B-52 폭격기에서AGM-86A 순항미사일의 첫 발사가 이루어졌고, 6차례의 시험발사 중 4차례를 성공적으로 수행하게 된다."
AGM-86,"하지만AGM-86A 순항미사일은 사정거리가 1,200㎞에 불과했다."
AGM-86,결국 미 공군의 요구에 따라 사정거리가 길어지고 대형화 된AGM-86B 순항미사일이 탄생하게 된다.
AGM-86,"1981년 8월부터 미 공군B-52G/H 폭격기에 장착 운용하게 된AGM-86B 순항미사일은, 사정거리가 2,400㎞에 달했고 W80-1 핵탄두를 탑재했다."
AGM-86,W80-1 핵탄두를 탑재한AGM-86B 순항미사일의 원형 공산 오차는 30~90m로 알려져 있다.
AGM-86,"AGM-86B 순항미사일이 전력화 됨에 따라, 당시 소련은 간담이 써늘할 수 밖에 없었다."
AGM-86,기존의 방공망으로는AGM-86B 순항미사일을 막기 힘들었기 때문이다.
AGM-86,1974년 9월 미보잉(Boeing)사가 개발업체로 선정된 이후AGM-86A 순항미사일이 등장하게 된다.
AGM-86,이들B-52G 폭격기에는AGM-86B 순항미사일을 개조해 재래식 탄두를 탑재한AGM-86C 캘컴(CALCM) 순항미사일이 탑재되어 있었다.
AGM-86,"이들은 35시간 동안 4번의 공중급유 끝에 22,000여㎞를 비행한 후, 35발의AGM-86C 캘컴 순항미사일을 이라크 방공망을 향해 발사했다."
AGM-86,"지난 1986년부터 개발된AGM-86C 캘컴 순항미사일은 핵탄두 대신 900㎏의 재래식 탄두를 장착했으며, 명중률을 높이기 위해GPS항법장비를 새롭게 장착했다."
AGM-86,"이후 사정거리가 1,200㎞로 줄어들고 1,450㎏의 탄두를 탑재한AGM-86C 캘컴 블록(Block) 1 순항미사일이 등장하였다."
AGM-86,2001년 미 공군에 배치된AGM-86C 캘컴 블록 1A 순항미사일은 원형 공산 오차가 3m에 불과했다.
AGM-86,"AGM-86B 순항미사일은 1986년까지 1,700여 발이 생산되었으며, 이 가운데 280여 발이AGM-86C 캘컴 순항미사일로 개조되었다."
AH-1Z 바이퍼,"반면 미 해병대는 운용중인 AH-1W 슈퍼 코브라 공격헬기를 한층 업그레이드시켜, 미 육군의 아파치와 대등한 성능을 가진 AH-1Z 바이퍼 공격헬기를 운용할 예정이다."
AIR-2 지니,"미국은 1957년 MB-1(이후 AIR-2 지니로 변경)로 명명된 전술 핵탄두 탑재 공대공 로켓탄을 개발하였는데, 이것을 다연장로켓인 마이티마우스 대신 F-89 요격기에 탑재하여 소련 전략 폭격기의 미 본토 침투 차단에 투입하였다."
AIR-2 지니,AIR-2 지니(Genie)도 그러한 핵무기 중 하나였다.
AK-47,하지만 M14는 베트남의 밀림에서AK-47로 무장한 월맹군과 교전을 벌일 때 역부족임이 드러났다.
AK-47,이것은AK-47과 비교한다면 그야말로 치명적인 단점이었다.
AK-47,때문에 환경에 영향을 많이 받는 대부분의 서방 소총과 달리AK-47처럼 웬만한 오염지대에서도 무리 없이 작동했다.
AK-47,"만일 일거에 교체할 수 없을 만큼 많은 물량이 보급되었다면 소련군의 AK-47 채택이 생각보다는 늦어졌을 수도 있었을 것이다,만일 제2차 대전 당시에 태어났다면, 아니면 AK-47이 10년만 늦게 태어났다면 한 시대를 충분히 풍미하였을 만하였던 소총이 바로 SKS다."
AK-47,같은 시대에 AK-47이 있었다는 것은 SKS에게 한마디로 불행이었다.
AK-47,대약진운동과 문화대혁명 등을 거치면서 군 현대화에 실패한 중국군은 병력의 우위만 믿고 베트남을 전격 침공하였다하지만 SKS로 무장한 중국군은 AK-47로 대응하고 나선 월남군에게 상당히 고전하여 비슷한 규모의 소부대간 교전에서 일방적으로 밀리는 경우가 흔했다.
AK-47,얼핏 생각하면 ‘명품’이라는 단어가 떠오르지만 사실 총의 세계에서는 고성능에 고가보다 AK-47처럼 적절한 가격에 괜찮은 품질로 많이 사용되는 것이 최고다.
AK-47,나치를 격퇴하려는 일념에서AK-47이라는 기념비적 총을 만들어 낸 미하일 칼라시니코프가 정작 테러 단체들이 AK-47을 사용하는 모습에 실망하였던 것과 같았다.
AK-47,특히 StG 44는 소련에서AK-47이 등장하게 된 직접적인 계기가 되었다.
AK-47,총기 역사를 바꾼 AK-47이 바로 그 주인공이었다.
AK-47,예를 들어 지구상에서 가장 많이 퍼진 소총으로 유명한AK-47도 어디서 제작하였는지에 따라 성능의 차이가 많이 날 정도다.
AK-47,그러면 적어도AK-47와 동일한 성능을 낼 수는 있다고 보았던 것이었다.
AK-47,더불어AK-47과 사용 방법이 같아 누구나 쉽게 사용할 수 있는데다가 유효사거리는 더 길었다.
AK-47,AK-47은 단순한 구조와 간편한 사용방법으로 보병전투의 향방을 바꿔놓았다.
AK-47,결국 기관총이라면AK-47보다 강력하여야 된다는 요구가 제기되었지만 당장 그런 기관총은 없었다.
AK-47,성능만 놓고 본다면RPD가AK-47보다 강하다고 볼 수 없는 형편이었기에 굳이RPD를 보유하면서 소부대의 화기를 이러 저리 나눌 필요가 없는 상황이 되어버린 것이었다.
AK-47,엄밀히 말해AK-47로 무장시킨 보병은 이전의 어떠한 보병들보다 강력한 위력을 발휘할 수 있었다.
AK-47,AK-47은 소련이 제2차 대전 후SKS와RPD로 보병을 무장시키려던 야심만만한 계획을 시작한지 얼마 되지도 않아 미련 없이 포기하도록 만들어 버렸을 만큼 엄청난 위력을 발휘했다.
AK-47,"하지만 그보다 더RPD의 운명을 가르는 사건은 다로 있었는데, 바로AK-47의 등장이었다."
AK-47,"만일 3~4년 정도 뒤에 선보였거나, 나토가 제식화한 지 불과 2년 밖에 안 된SKS를 과감하게 도태시키고AK-47로 교체한 소련 같은 결정력이 있었다면FAL의 운명은 달랐을지 모른다."
AK-47,AK-47과 비교한다면 연사에서는 뒤지지만 위력은 더 뛰어난 것으로 평가 받았다.
AK-47,엄밀히 말해 순식간 동구권을 통일한AK-47처럼 경쟁 소총과 비교하였을 때 압도적으로 뛰어난 것은 아니었지만 표준화된 제식 소총으로 사용하기에 무난했다는 의미가 옳은 표현이다.
AK-47,순식간AK-47로 통일시킨 바르샤바 조약기구와 달리 나토는 회원국 별로 각기 다른 소총을 개발 중에 있어서 벨기에의 소총이 제식화기로 채택될 가능성은 많아 보이지 않았다.
AK-47,그런데 본격적으로FN-49가 등장했을 때 보병용 제식 소총은AK-47나 M14처럼 자동화 된 소총이 대세가 되어가는 중이어서 반자동소총은 조금 어정쩡한 입장이었다.
AK-47,"마치AK-47에 밀린SKS처럼 결국RPD는RPK에 치여 도태 될 수밖에 없던 운명이었고, 그렇게 도입된 지 얼마 되지 않아 소련군에서 순식간 사라져 갔다하지만 해외에 공여되고 라이선스 제작 된 많은 물량이 여러 분쟁에서 꾸준히 활약을 펼친 덕분에RPD는 아직도 주요 기관총의 명성을 지니고 있다."
AK-47,AK-47의 베트콩과 치열한 실전을 벌인 미군은 자신들의 주력 보병화기인 M14가 전투에 적합하지 않았다는 사실을 깨달았다.
AK-47,이후AK-1의 문제점을 보완하여 등장한 것이 바로AK-47(Автомат Калашникова[압토마트 칼라시니코바] 47)이다.
AK-47,냉전에서 소말리아 해적에 이르기까지 현대사의 크고 작은 분쟁이 있는 곳에는 언제나AK-47 소총이 함께 했다.
AK-47,“진흙탕 빠진 M-16은 갖다 버려라”|조선닷컴 2007-07-13“AK-47자동소총이야말로 우리 러시아의 대담한 발명정신과 창조적 천재성의 상징입니다.
AK-47,” 지난 5일 모스크바의 ‘AK-47 소총 개발 60주년 기념식장’에 울려 퍼진 블라디미르 푸틴 러시아 대통령의 연설은 듣기에 따라선 좀 희한한 소리로 들린다.
AK-47,1960년대 이후 M16과AK-47은 지금까지도 세계시장을 양분하면서 대결을 계속하고 있다.
AK-47,젊은 미군 병사 3000명을 저 세상으로 보낸WMD는 핵무기가 아니라 낡은 소련제AK-47 소총이다.
AK-47,"해외의 모 다큐멘터리 채널에서는AK-47 소총은 보통 200m에서 사람의 몸통을 제대로 맞추기도 어렵다는 방송을 내보내기도 했지만, 이것은 사실과 다르다."
AK-47,한편AK-47의 치명적인 약점으로 지적되는 것은 명중률이다.
AK-47,냉전 후 물량이 넘쳐나던 시기에 아프리카의 암시장에서는AK-47이 한 정당 6불 또는 닭 한 마리와 바꿔서도 구할 수 있는 지경이었다.
AK-47,특히AK-47 시리즈 소총들은 사유재산권이 인정되지 않던 구소련에서 만들어져 특허권의 제약 없이 전 세계에서 그 설계도가 뿌려졌다.
AK-47,AK-47 시리즈의 소총은 전 세계에 약 1억 정 이상이 생산된 것으로 알려지고 있다.
AK-47,얼마 전 종신형을 선고받은 소말리아 해적 모하메드 아라이도AK-47 소총을 석해균 선장에게 발사하면서 언론의 시선을 한몸에 받기도 했다.
AK-47,"가장 획기적인 점은 무게를 5킬로그램 내외로 대폭 줄인 점이었는데, 이는AK-47보다 약간 무거운 수준으로RPD의 70퍼센트 정도밖에 되지 않았다."
AK-47,최근AK-47은 해적의 무기로 주목받고 있다.
AK-47,"게다가 간단한 구조로 인하여 별다른 정비가 없이 어떤 환경에서라도 반드시 발사된다는 장점으로 인하여, 모래먼지가 가득한 사막에서부터 금방 얼음이 어는 극지방까지 어느 지역에서도 선호되는 총기가 바로AK-47이다."
AK-47,결국 1972년 뮌헨 올림픽 참사를 비롯하여 2008년 뭄바이 테러에 이르기까지 굵직한 테러사건에서AK-47은 주역으로 등장하게 되었다.
AK-47,이스라엘과 싸우는 아랍 국가들은 대부분AK-47을 사용해왔고 이런 과정에서 이슬람 극렬분자 및 테러리스트들의 주 무장으로AK-47이 공급되었다.
AK-47,한편AK-47은 아랍 민족주의 군사활동을 선도해왔다.
AK-47,M-16과AK-47의 역사적인 대결이 본격적으로 시작된 것도 이때이다.
AK-47,북베트남군과 베트콩은 소련과 중국에서 생산된AK-47 소총을 지원받아 남베트남군 및 미군과 싸웠다.
AK-47,1960년대에AK-47 소총은 제3세계 혁명의 아이콘이었다.
AK-47,AK-47 소총은 공산주의 정권을 지키고 확산시키기 위한 도구로 사용되었다.
AK-47,심지어는 북한도 58식 보총(보병이 사용하는 총기라는 뜻)이란 명칭으로AK-47을 1958년부터 자체 생산하기 시작했다.
AK-47,이렇게 제식화가 결정된AK-47 소총은 소련군뿐만 아니라 공산권 전체로 펴져 나가게 되었다.
AK-47,"AK-47 소총은 모두 80여 개의 부품으로 구성되는데, 그중에서 가동부품은 8개에 불과하다."
AK-47,AK-47 소총은 다른 후보 총기들과 치열한 경쟁 이후에 1949년 소련군의 제식 총기로 선정되었다.
AK-47,AK-47의 등장은 제2차 세계대전의 독소전쟁으로 거슬러 올라간다.
AK-47,"1947년 등장한AK-47 소총은 60년이 넘은 지금까지 전 세계에서 꾸준히 사용되고 있으며, 무려 1억 정이 넘게 생산된 것으로 추정되고 있다."
AK-47,"이에 더해, 전용 탄띠 수납 컨테이너를 사용하던RPD와 달리 40발 전용 탄창이나 드럼 탄창을 사용하도록 하였고 경우에 따라서는 기존AK-47용 탄창을 그대로 사용할 수 있다."
AK-47,현재도 최고의 소총 중 하나로 거론되는AK-47이 개발된 것이다.
AK-47,"이로써AK-47의 사거리 밖에 있는 목표물에 대한 효과적인 제압이 가능해졌는데, 이는 소부대 지원 화기가 갖추어야 할 기본 성능이다."
AK-47,그런 점에서도 자동소총은 보병 역사에 획기적인 무기라 할 수 있고 그 중에서도AK-47은 가히 발군이다.
AK-47,그런 점에서 역사상 가장 뛰어난 소총을 하나만 고르라면 십중팔구AK-47이 손꼽힌다.
AK-47,덕분에 어느덧 내전과 테러가 일상화 되다시피 한 중동이나 아프리카 일대에서는 쉽게 구하고 사용하기도 편리한AK-47과RPG-7이 시대를 상징하는 하나의 트렌드가 되었다.
AK-47,그리하여AK-47 소총의 가스피스톤 방식을 채택한 신형 소총이 만들어졌다.
AK-47,그러나 1958년부터 북한군이AK-47 소총으로 무장하기 시작하면서 남북간 소총 화력의 차이가 생기기 시작했다.
AK-47,반면 소부대 지원용 다목적 기관총과 같은 규격의 탄을 사용하는 G3은AK-47보다 화력이 훨씬 강력했다.
AK-47,"흔히AK-47, M16과 더불어 3대 소총으로 꼽히는 헤클러 앤 코흐(Heckler&Koch) G3이다."
AK-47,전후에 총기사의 명품인 AK-47이 기존 소총과 기관단총을 일거에 대체하며 기본화기로 채택되면서 일선에서 퇴장했지만 누가 뭐래도 모신나강은 역사상 가장 컸던 전쟁을 승리로 이끈 소총이었다.
AK-47,"예를 들어 현재 세계에서 가장 많이 사용되는 돌격소총인AK-47은 세상에 등장한지 이미 60년이 넘었을 정도지만 상당 수 국가의 정규군은 물론, 무장 투쟁을 벌이는 반 정부 게릴라나 심지어 폭력 조직들도 장비하고 있을 정도다."
AK-47,특히 AK-47 같은 돌격소총의 대량 보급은 더 이상 반자동소총이 전선의 주역이 아니도록 만들어버렸다.
AK-47,56x45mmNATO탄을 사용하는 서방의 돌격소총은AK-47보다 화력이 약하다는 단점이 있었다.
