용어,설명
"램제트 탄 [Ramjet Projectile, ramjet彈]","램제트 추진 장치를 장착한 탄. 탄의 맨 앞부분에 있는 공기 흡입구에서 공기가 흡입되어 연소실 내에 있는 고체 연료의 내부를 통하여 흐르며, 고체 연료는 공기에 접촉된 부분에서부터 연소된다. 노즐과 고체 연료 사이의 공간은 체류 시간을 증가시켜 연소 효율을 향상시키며, 공간 체적이 클수록 연소 효율은 증대하나, 필요한 연소 효율을 얻기 위해서는 탄체의 크기가 어느 정도 이상이"
"비행 고도 [Flight Level, 飛行高度]","(1) 1,013.25밀리바(mb) 또는 29.92헥토그램(hg)의 압력 하에서 일정한 대기 압력의 층. 100피트(feet) 단위로 나타낸다. 예컨대, 비행 고도 250(FL250)은 25,000피트의 기압 고도계 지시를 나타낸다. (2) 비행중인 항공기와 지표면과의 수직 거리, 즉 항공기가 공중에 떠 있는 높이."
"도상 연습 [Map Exercise, 圖上演習]","지도 위에 부대나 군사 시설을 표시한 다음, 도구나 부호를 이용하여 실제 작전처럼 옮기면서 하는 군사 연습."
"고초균 [Bacillus Subtilis, 枯草菌]","썩은 흙이나 물, 공기 등 자연계에 보편적으로 존재하는 간상 세균의 한 종. 아포를 형성하며 병원성은 탄저균보다 훨씬 약하지만 특성은 비슷하다. 막대기 모양 또는 원통형 세균으로 그 크기와 길이가 다양하고 양 끝의 모양도 일정하지 않으며 편모나 포자를 가지고 있기도 하다. 녹농균과 같이 균체의 한 끝에 1~3개, 또는 장티푸스균과 같이 균체의 주위에 다수의 편모가 있어 운동할 수 있"
"고초균 [Bacillus Subtilis, 枯草菌]","썩은 흙이나 물, 공기 등 자연계에 보편적으로 존재하는 간상 세균의 한 종. 아포를 형성하며 병원성은 탄저균보다 훨씬 약하지만 특성은 비슷하다. 막대기 모양 또는 원통형 세균으로 그 크기와 길이가 다양하고 양 끝의 모양도 일정하지 않으며 편모..."
품질 보증 형태 분류 [品質保證形態分類],"품질 요구 사항을 보증하는 형태. 품질 보증 요구 형태 분류 기준(방위 사업 관리 규정 제635조)에서는 단순 품질 보증형, 선택 품질 보증형, 표준 품질 보증형, 체계 품질 보증형으로 구분하고 있다. 기술품질원에서 품질 보증 형태를 분류하여 획득 기획..."
초도 양산 [初度量産],연구 개발에 의한 획득 사업의 당해 사업 계획 물량 중 최초(초도)에 사업 승인된 물량을 양산하는 일.
"과망간산 칼륨 [Potassium Permanganate, 過--酸--]","과망간산 칼륨을 염소 또는 이산화탄소로 산화시키거나 격막을 써서 전기 분해하여 양극에 생긴 용액을 농축하여 냉각시키면 결정으로 얻어진다. 산화제로 쓰이는데, 용액의 산성 · 중성 · 알칼리성에 따라 산화하는 모양이 달라진다. 산성인 경우가 산..."
"알파 입자 [Alpha Particle, Radiation, alpha粒子]","특정 방사성 핵종에 의해 방사되는 양전하를 띤 입자. 두 개의 중성자와 두 개의 양성자로 이루어져 있다. 알파 입자들은 종이 한 장 정도의 가벼운 물체로도 막을 수 있고, 직접적이거나 외부적인 방사선 위협을 주지 않으나 섭취할 경우 건강에 심각한..."
광자 레이더 [光子 레이더],레이저 신호원을 이용하여 고주파수 · 고해상도의 신호를 대기 중으로 방사하여 스텔스 표적 탐지와 기존 레이더 대비 높은 정확도를 확보할 수 있는 첨단 레이더.
일반 목적용 폭탄 [一般目的用爆彈],"건물, 교량, 벙커 파괴용 및 살상용 폭탄. MK82, MK83, MK84 등 MK80 시리즈가 있다. MK82 폭탄은 길이가 2.18m이고 무게가 약 530lbs로서 유선형 탄체에 특수 합금으로 되어 있고, 관통 능력이 우수하여 폭발 시 직경 8m, 깊이 2.4m의 폭파..."
"란체스터 법칙 [Lanchester's Law, Lanchester法則]","전투 행위의 결과를 손실률과 잔존 병력의 수로 모형화한 수학적 모델. 제1차 세계 대전 중 영국의 항공 공학자인 F. W. 란체스터가 고안하였으며, 힘의 법칙을 과학적으로 살펴보고 체계적으로 전략을 구사할 수 있도록 하는 법칙이다."
링크16 [Link16],"UHF 주파수 대역의 L밴드(969~1,206MHz)와 시분할 다중 접속 방식을 이용하여 미군, NATO 등에서 합동 작전 및 연합 작전용으로 사용하는 디지털 전술 데이터 링크. 이미 정의된 양식의 전술 자료와 음성 데이터의 송수신이 가능하며, 항 재밍 및..."
펌웨어 [Firmware],하드웨어 장치에 적재되어 있으며 실행 과정에서 변경이 불가능한 읽기 전용 소프트웨어. 컴퓨터 프로그램과 하드웨어 장치의 조합이다.
바코드 [Bar Code],컴퓨터가 정보를 읽기 쉽도록 하기 위하여 굵기가 다른 검은 막대와 하얀 막대를 조합시켜 문자나 숫자를 코드화한 것. 바코드를 읽어서 컴퓨터에 입력시키는 장치를 바코더 리더라고 한다. 상품 유통 분야에서 바코드는 과학적인 판매 및 재고 관리를...
"수요 예측 [Demand Forecast, 需要豫測]","과거의 수요 실적에 입각하여 장차의 수요량을 예측하는 것. 수요 예측 방법은 목측법, 산술 평균법, 이동 평균법, 지수 평활법, 최소 자승법, 박스젠킨스법(ARIMA), 종합 평가 기법 등이 있다. 군에서는 이외에 통제 수요, 교체 순환 주기 적용법 등을 사..."
"치공구 [Jig, 治工具]",각종 제품을 공작하여 생산할 때 사용되는 공구류. 제품의 치수를 통일시키는 기준 치공구와 제품을 작업대에 고정시키고 주 절삭 공구의 작업을 용이하게 해 주는 생산 치공구가 있다. 이는 주로 제품을 공작하여 대량으로 제작하는 경우에 사용한다...
"서지 현상 [Surge, surge現象]",압축기 깃이 과도한 받음각으로 가스 터빈 엔진의 압축기를 통과하는 불안정한 공기 흐름의 상태. 일반적으로 깃 전 단계에 영향을 미친다.
"신경 해독제 [Nerve Agent, Nerve Agent Antidote, 神經解毒劑]",신경 작용제 오염 시 개인이 직접 또는 전우 간에 주사하여 해독 치료를 하기 위하여 사용되는 약품. 주요 구성물로는 1번 아트로핀 주사기와 2번 옥심 주사기(팜 자동 주사기)가 있다. 개인당 3키트씩 보급하여 평시에는 치장 관리하고 전시에는 개인...
"군대 부호 [Military Symbol, 軍隊符號]","군의 편성, 장비, 시설, 위치, 부대 이동 및 활동 규모 등을 간단하고 용이하게 식별하기 위하여 사용되는 도형. 문자, 숫자, 약어, 색채 등의 조합으로 구성된 기호."
"산학연 [Industry University Institute Collaboration, 産學硏]",산업계와 학계와 연구 분야를 아울러 이르는 말.
"신경 작용제 [Nerve Agent, 神經作用劑]","(1) 흡입 또는 피부 접촉 시 주로 자율 신경 계통인 교감 신경과 부교감 신경의 균형을 파괴함으로써 단시간 내에 사망하게 하는 급속 살상 작용제. 코흘림, 가슴 압박감, 호흡 곤란, 동공 축소, 방분 · 방뇨 등의 증상이 나타난다. 종류에는 지속 시간에..."
"임무형 보호 태세 [Mission Oriented Protection Posture, 任務形保護態勢]","(1) 화생방 작용제가 사용되는 작전에서 개인 및 부대의 생존을 보장하기 위하여 취하는 융통성 있는 보호 방법. 모든 지휘관은 임무, 적 위협, 기상을 고려하여 어떠한 임무형 보호 태세를 취할 것인가를 결정 또는 지시하여야 한다. 임무형 보호 태세..."
"가변 흡기 장치 [Variable Geometric Induction System, 可變吸氣裝置]","엔진 회전수 및 부하 조건에 따라 매니폴드 러너(manifold runner) 길이를 저속에서는 길게, 고속에서는 짧게 가변시킴으로써 흡입 공기의 흐름을 저속에서 고속까지의 전 영역에 최적화하여 엔진 효율(출력)을 극대화하는 장치."
"우선 정보 요구 [Priority Intelligence Requirements, 優先情報要求]",지휘관이 부여된 임무 수행을 위해 가장 시급하고 우선적인 정보를 요구하는 일. 계획 수립과 결심 수립에 지배적인 요소가 되는 적 능력 및 전장 환경과 관련되는 정보를 요구한다.
"경중률 [Weight, 輕重率]",미지의 관측에서 개별 관측값의 정밀도가 동일하지 않을 경우에는 어떤 계수를 곱하여 개개 관측값 간에 균형을 이루게 한 후 최확값을 구한다. 이때 이 계수를 경중률이라 하며 개별 관측값들의 신뢰도를 나타낸다. 경중률의 결정 방법은 주관적 결정...
살라미 전술 [살라미 戰術],협상 테이블에서 한 번에 목표를 관철하는 것이 아니라 문제를 부분별로 세분하고 쟁점화하여 차례로 각각에 대한 대가를 받아 냄으로써 이익을 극대화하는 전술. 살라미 슬라이스 전략 또는 살라미 공격이라고도 한다.
"별동대 [A Detached Force, Partisans, 別動隊]",작전을 위하여 본대에서 따로 떨어져 나와 독자적으로 행동하는 부대.
"단가 계약 [Unit Price Contract, 單價契約]","일정 기간 동안 동종의 제조, 수리, 가공, 매매, 공급, 사용 등의 계약을 체결할 때, 단위당 가격을 정하여 체결하는 계약. 동일 품종 · 규격의 물품 매입 혹은 동일 사양을 기준할 경우와, 일정 기간, 특히 장기에 걸쳐 계속적으로 행하여질 때 주로 이루어..."
"민간 투자 사업 BLT [Build Lease Transfer, 民間投資事業BLT]",사업 시행자가 사회 기반 시설을 준공한 후 일정 기간 타인에게 임대하고 임대 기간 종료 후에 시설물을 국가 또는 지방자치단체로 이전하는 민간 자본 활용 방식. 운영은 정부 규제 하에 수행된다.
"수용성 제독제 [Watersoluble Decontamination Solution, 水溶性除毒劑]","두 개의 분말(Ⅰ, Ⅱ)과 유화제(액체)로 구성되어 있으며, 기존 제독제의 단점을 보완하여 지역 및 장비 제독에 공통으로 적용 가능한 제독제이다. 제독제Ⅰ은 유효 염소 성분을 가진 흰색 과립상이며, 제독제Ⅱ는 알칼리성의 흰색 분말이다. 유화제는..."
"조명 지뢰 [Flame Mine, Lighting Mine, 照明地雷]","지뢰의 내부에 발광 물질이 충전되어 있어 점화가 되면 일정 시간 동안 조명을 제공하는 지뢰. 적의 접근이 예상되는 통로나 철조망, 지뢰 지대 등 장애물 지대 전방에 설치하여 적의 접근을 경고할 때 사용한다."
"핵무기 효과 [Nuclear Effect, 核武器效果]","핵폭발 후 1분 이내에 발생되는 초기 효과와 핵폭발 1분 후에 발생하는 잔류 효과를 총칭하는 말. 초기 효과에는 폭풍, 열 복사선, 핵 방사선, 전자기파(EMP) 등이 있다. 잔류 효과에는 낙진과 감응 방사선이 있다. 잔류 효과는 장기간 지속되기 때문에..."
수리온 헬기 임무 탑재 장비 [---hel機任務搭載裝備],"국내에서 최초로 개발된 다목적 기동 헬기인 수리온의 임무 수행에 필수적인 각종 전자 장비 체계. 임무 탑재 장비는 각종 전자 장비를 통합하고 화면에 전시해 주는 임무 관리 및 시현 장비, 각종 미사일이나 대공포 등으로부터 항공기를 보호하는 생존..."
"수용성 제독제 [Watersoluble Decontamination Solution, 水溶性除毒劑]","두 개의 분말(Ⅰ, Ⅱ)과 유화제(액체)로 구성되어 있으며, 기존 제독제의 단점을 보완하여 지역 및 장비 제독에 공통으로 적용 가능한 제독제이다. 제독제Ⅰ은 유효 염소 성분을 가진 흰색 과립상이며, 제독제Ⅱ는 알칼리성의 흰색 분말이다. 유화제는..."
"조명 지뢰 [Flame Mine, Lighting Mine, 照明地雷]","지뢰의 내부에 발광 물질이 충전되어 있어 점화가 되면 일정 시간 동안 조명을 제공하는 지뢰. 적의 접근이 예상되는 통로나 철조망, 지뢰 지대 등 장애물 지대 전방에 설치하여 적의 접근을 경고할 때 사용한다."
"핵무기 효과 [Nuclear Effect, 核武器效果]","핵폭발 후 1분 이내에 발생되는 초기 효과와 핵폭발 1분 후에 발생하는 잔류 효과를 총칭하는 말. 초기 효과에는 폭풍, 열 복사선, 핵 방사선, 전자기파(EMP) 등이 있다. 잔류 효과에는 낙진과 감응 방사선이 있다. 잔류 효과는 장기간 지속되기 때문에..."
수리온 헬기 임무 탑재 장비 [---hel機任務搭載裝備],"국내에서 최초로 개발된 다목적 기동 헬기인 수리온의 임무 수행에 필수적인 각종 전자 장비 체계. 임무 탑재 장비는 각종 전자 장비를 통합하고 화면에 전시해 주는 임무 관리 및 시현 장비, 각종 미사일이나 대공포 등으로부터 항공기를 보호하는 생존..."
리신 [Ricin],"피마자(아주까리, ricinus communis)에 함유되어 있는 수용성 독성 성분의 식물성 단백질. 화학 무기 금지 협약(CWC)에 등록되어 있는 식물 독소이나 피마자의 지용성 부분은 포마드의 원료이며 사하제(瀉下劑)나 무좀약의 원료 등 의약품으로 많..."
"용병술 체계 [Military Art System, 用兵術體系]","국가 목표를 달성하기 위하여 국가 통수 기구로부터 전투 부대에 이르기까지 군사력을 운용하는 군사 전략, 작전술, 전술의 계층적 연관 체계."
"재고 회전율 [Inventory Turnover, 在庫回轉率]",재고의 보충 빈도. 통제 기간 또는 일정한 검토 기간 중에 재고가 얼마나 고갈되었다가 다시 보충되었는가를 나타내는 재고의 회전 속도를 말한다.
"인가 저장 품목 [Authorized Stockage List, 認可貯藏品目]",보급 제대에 저장하도록 인가한 인가 저장 목록상의 품목. 각급 보급 부대에서 현 보급을 지속적으로 유지하고 장차 예측되는 소요를 충당하기 위하여 항상 저장 · 유지하도록 인가된 보급품을 말한다. 이 보급품을 불출하면 다시 청구 · 획득하여 보충...
검사 및 납품 조서 [檢査-納品調書],"계약 품목에 대한 정부 품질 확인 검사 완료 후 합격된 제품을 납품하고 물품의 대금을 정산하기 위한 서류. 품목, 수량, 금액, 검사 기관, 출납관, 납지 등이 기록된다."
"멸균 [Sterilization, 滅菌]","미생물 특히 세균 균류를 죽여서 이것이 없는 상태. 열, 화학 약품 및 기타 방법으로 살아 있는 세포, 특히 미생물을 죽이는 과정을 의미한다. 살균(殺菌)이 철저한 상태라고 할 수 있다."
"혈액 작용제 [Blood Agent, 血液作用劑]",호흡기를 통해 체내에 흡수되어 사이토크롬 옥시다아제(cytochrome oxidase)라는 효소를 마비시켜 모세 혈관에서 헤모글로빈이 신체 조직에 산소를 운반하지 못하게 하는 작용제. 명칭은 혈액 작용제이지만 실제 작용을 하는 곳은 세포 내 미토콘드...
"유기압 [Hydropneumatic, 油氣壓]",비압축성 유압유와 압축성 공기압을 같이 이용하는 장치.
"시미 현상 [Shimmy, shimmy現象]","횡진동. 주행 중 앞 바퀴의 가로 흔들림 현상. 조향 핸들이 좌우로 흔들려 운전에 지장을 초래한다. 원인은 앞 바퀴 정렬의 부적절, 바퀴 언밸런스, 타이어 공기압 부적절, 현수 장치의 틈새 유격 등이 있다."
"정비 인시 [Maintenance Man Hours, 整備人時]","정비공 한 사람이 한 시간 동안 할 수 있는 작업량을 표시하는 단위. 숙련공 1명이 1시간 동안 실시하는 작업량을 1인시라 한다. 정비공의 능력은 개인마다 차이가 있기 때문에 정비 작업 시 정비공의 기술 수준을 숙련공(1.00), 준숙련공(0.75), 미숙..."
"나노 입자 [Nanoparticle, nano粒子]","크기의 단위가 10억분의 1 미터인 초미세 입자. 금, 은, 실리카, 이황화합물(sulfide) 나노 입자가 대표적이다. 작은 크기에 기인하는 특이하고도 다양한 성질을 보이므로 바이오 칩, 초소형 바이오 센서, 디스플레이 제조 등에 널리 사용된다."
"화학풍 통신문 [Chemical Downwind Message, 化學風通信文]","화학 오염을 예측하기 위해 필요한 제반 기상 요소를 포함한 통신문. 유효 풍속, 유효 풍향, 대기 안정도, 상대 습도, 기후 현상, 구름 양과 같은 요소가 포함된다. 공군 기상 근무대나 포병 기상 관측소에서 획득한 기상 제원을 사단급 이상 화생방반에서..."
"지휘권 [Command Authority, 指揮權]",지휘관이 예하 부대에 대하여 행사하는 일체의 권한. 지휘권에는 자원의 효율적인 사용과 군대의 운용 · 편성 · 지시 · 협조 · 통제에 대한 권한과 책임이 따르며 부하 개개인의 건강 · 복지 · 사기 · 군기에 대한 책임도 수반된다.
"대외 군사 판매 [Foreign Military Sales, 對外軍事販賣]","1961년에 수정된 대외 원조법과 1976년에 수정된 무기 수출 통제법에 의한 미국 안보 원조의 한 부분. 이 원조는 원조를 받는 국가가 이전된 방위 물자와 서비스를 상환해야 한다는 점에서 군사 원조 프로그램, 국제 군사 교육 훈련 프로그램과 다르..."
"저장 탄약 신뢰성 평가 [Ammunition Stockpile Reliability Program, 貯藏彈藥信賴性評價]","저장 탄약의 사용 가능성, 안전성, 성능 등을 평가하여 탄약의 대체 · 정비 · 개수 · 보급 등의 결정을 위한 자료를 제공하여 탄약의 신뢰성을 확보하기 위해 실시하는 종합적인 평가 시스템. 저장 탄약에 대한 주기적인 검사, 기능 및 비기능 시험, 시험 사..."
"전투 준비 태세 [Combat Readiness, 戰鬪準備態勢]","주어진 상황에 대처할 목적으로 부대로 하여금 일정한 준비 태세를 갖추게 하여 제반 조치를 달성 · 유지시키는 일. 적대 행위 이전의 최종 전투 준비 상태를 말하며 주로 전술적 차원에서 사용된다. 군사 태세의 하위 개념으로서 '전비 태세', '전투 태세..."
"정보 전략 계획 [Information Strategy Planning, 情報戰略計劃]","정보 시스템 구축의 출발점인 계획 단계를 이르는 말. 즉, 조직의 정보 시스템 구축에 대한 전반적인 상황의 인식과 지향해야 할 목표를 조명하는 작업이라고 할 수 있다. 정보 전략 계획은 정보 시스템 자체만을 위한 것이 아니라 기업의 경쟁 우위 확..."
예산전용 [豫算轉用],"세출예산의 세항 · 목 간의 경비를 서로 융통하여 사용하는 것을 말한다. 즉, 행정과목 상호 간의 경비유통을 의미한다. 각 중앙관서의 장이 예산을 전용하고자할 때는 그 사유, 과목, 금액을 명백히 한 전용승인신청서를 기획재정부장관에게 제출하여..."
재활용 가능 자원 [再活用可能資源],"사용되거나 사용되지 아니하고 버려진 후 수거된 물건과 부산물 중 원재료로 이용할 수 있는 것. 회수할 수 있는 에너지 및 폐열을 포함하되, 방사성 물질 및 이에 의하여 오염된 물질은 제외한다."
"무인 전투기 [Unmanned Combat Aerial Vehicle, 無人戰鬪機]",적의 방공망 사거리 밖에서 원격으로 공격 목표를 부여하면 비행 방법을 일일이 지정하지 않아도 자체적으로 최선책을 찾아 공격 임무를 수행하도록 만들어진 전투기. 첨단 로봇 공학과 네트워크 통신 기술을 결합하여 조종사를 위험에 노출시키지...
교보재 [敎補材],교육 훈련을 위한 보조 재료.
"착륙 속도 [Landing Speed, 着陸速度]",비행기가 땅에 닿는 순간의 속도.
"관측자 최초 보고 [Nuclear Biological And Chemical First Report, 觀測者最初報告]","적의 화생방 공격을 최초 관측한 인원 및 부대가 상급 및 인접 부대에 관측 내용을 보고 및 전파하는 것. 각개 병사는 NBC1 보고에 포함되는 내용을 숙지하여 육하원칙에 맞게 보고할 수 있어야 하며, 대대급 이상의 부대는 접수된 보고를 종합하여 정..."
노탐 [Notice To Airman],항공기의 안전 운항을 위하여 관계 기관이 승무원에게 제공하는 여러 가지 정보. 항공 · 운항 업무 및 군사 연습 따위의 정보가 제공된다.
"항공 화물 운송장 [Air Waybill, 航空貨物運送狀]","항공기를 이용하여 화물을 운송할 때 운송인이 함께 보내는 통지서. 목적지, 운송 조건, 기타 운송에 관한 제반 사항이 명시된 증표(證票)이다."
"지뢰 살포탄 [Family Of Scatterable Mines, 地雷撒布彈]","포병에 의하여 투발되는, 지뢰를 살포하는 포탄. 포탄 내부에 다량의 지뢰가 들어 있으며 시한 신관을 결합하여 표적 지역 상공에서 살포된다. 155mm 화포에 의해서 사격되며, 대인용 지뢰탄(ADAM)과 대전차용 지뢰탄(RAAMS)의 두 종류가 있다."
"구과량 [Spherical Excess, 球過量]","구면 삼각형의 내각의 합에서 180°를 뺀 값. 구면 삼각형의 내각의 합은 평면 삼각형의 내각의 합인 180°보다 크고 540°보다는 작다. 구과량값은 구면 삼각형의 면적을 F, 구의 반지름을 r이라고 할 때 다음 식으로 구할 수 있다. 구과량(ε″)=(F/r2)x20..."
"전투 지경선 [Boundary, 戰鬪地境線]","인접한 부대, 대형, 지역 간에 작전 협조 및 조정을 용이하게 할 목적으로 지표상에 설정한 선. 전방, 후방, 측방 전투 지경선으로 구분되며, 전투 지경선을 초과하는 작전은 인접 부대의 협조나 상급 부대의 인가 없이 수행할 수 없다."
"편구배 [Cant, 偏勾配]",도로의 곡선부에서 바깥쪽을 안쪽보다 일정 값만큼 높여 준 것. 철도나 도로의 곡선부를 주행하는 차량은 원심력 때문에 바깥쪽으로 떨어져 나가려고 하므로 이것을 방지하기 위해서는 바깥쪽을 안쪽보다 높여 줄 필요가 있다. 편경사라고도 한다.
"건조자 정박 시운전 [Builder's Harbor Trial, 建造者碇泊試運轉]","건조자 시운전 종목 중 함정을 부두에 정박시킨 상태에서 수행하는 시운전. 항해 시운전을 위하여 함정 체계에 대한 준비 상태를 입증하여야 하며, 시운전 과정에서 발생되는 결함 사항 중 항해 시운전에 영향을 미치는 결함 사항은 다음 항해 시운전 실..."
"종지 전압 [Final Discharge Voltage, 終止電壓]",축전지를 더 이상 충전할 수 없는 상태의 방전 한계 전압. 20시간율의 전류로 방전하였을 경우 방전 종료 전압은 1셀당 1.75V이므로 12V용 축전지의 방전 종료 전압은 10.5V이다.
솔레노이드 밸브 [Solenoid Valve],"주로 유압 회로에 사용되는 유압 솔레노이드 밸브와 공압 회로에 사용되는 에어 솔레노이드 밸브, 그리고 단순히 전자력을 이용한 솔레노이드 밸브가 있다. 유압용 솔레노이드 밸브는 주로 유압 펌프에서 가해진 힘을 작동 기기의 시동, 정지 및 운동..."
예정가격 [豫定價格],"국가나 지방자치단체가 당사자가 되어 계약을 체결할 때에 계약금액결정의 기준을 삼기 위하여 입찰 전 또는 계약대상자와의 협상 전에 계약공무원이 미리 작성, 비치하여두는 계약금액의 예정액을 말한다."
"공중 우세 전투기 [Air Superiority Fighter, 空中優勢戰鬪機]","공중 작전에서 아군의 공중 우세를 달성하기 위한 목적으로 사용하는 전투기. 공중 우세 전투기는 제공 전투기, 공중 전투기, 호위 전투기, 침투 전투기로 세분된다."
"함정 건조 기본 지침서 [Top Level Requirement, 艦艇建造基本指針書]","함정 설계 및 건조를 위한 기본 지침서. 개념 설계 결과 및 작전 운용 성능에 근거하여 함정의 임무, 작전 요구 성능, 주요 무기 체계 및 장비의 요구 성능, 정비 및 군수 지원 개념, 함정 편성(승조원 수) 등을 규정하고 있다."
"품류 부호 [Expendable Reparable, 品類符號]","정비에 있어 해당 품목의 품류 및 반납 한계를 구분하여 불출과 반납 실적을 확인하는데 사용되는 보급 수준 조정 부호. 청구 부호라고도 하며, 그 부호는 다음과 같다. K: 등록 장비, P: 기지 반납 대상 수리 부속품, R: 기지 반납 대상 소모품, W: 기지..."
무기 체계 국외 도입 방법 [武器體系國外導入方法],"무기 체계 국외 도입 방법에는 기술 도입 생산, 직구매, 임차가 있다. 기술 도입 생산은 그 형태에 따라 면허 생산, 공동 생산, 조립 생산으로 구분한다. 직구매는 대외 군사 판매, 상업 구매, 조달청에 의한 구매로 구분한다."
"소형 제독기 [Portable Decontaminating Appratus, 小型除毒機]",차량이나 공용 화기에 오염된 화학 작용제를 제거하고 소규모 지역을 제독하는 데 사용되는 소형 제독기. 한국형인 KM11은 2.52L 용량의 제독기로서 장비 제독제(DS2)를 충전하여 사용한다. 보급 기준은 5톤 이하의 전투 및 지휘 차량당 1대이며...
"개량 고폭탄 [Improved Conventional Munition, 改良高爆彈]",시한 신관을 결합하여 공중에서 파열시키는 탄저 방출탄으로 탄두 내부에는 다량의 자탄이 들어 있다. 대인용 개량 고폭탄과 대인 및 대장갑 표적 공격용인 이중 목적 개량 고폭탄(DPICM)의 두 가지 종류가 있다.
"국가 안보 [National Security, 國家安保]","국내외의 각종 군사 · 비군사적 위협으로부터 국가 목표를 달성하기 위하여 정치, 외교, 경제, 사회, 문화, 군사, 과학기술 등의 제 수단을 종합적으로 운용함으로써 당면하고 있는 위협을 효과적으로 배제하고 또한 일어날 수 있는 위협의 발생을 미연에..."
