term,example
E-8 조인트 스타즈,"E-3 에이왁스(AWACS:Airborne Warning and Control System)기가 공중에서 적기를 탐지하고 이를 조기경보하는 데 대하여, E-8 조인트 스타즈에는 육군 소속의 레이더 조작요원이 탑승하여 지상목표물을 탐지하고 공중지상 작전(ALB:Air Land Battle)을 수행한다."
F-100 슈퍼 세이버,미국의 F-100 슈퍼 세이버와 비슷한 외양을 갖추었지만 추진력이 부족하기 때문에 상승성능이 떨어진다는 평가를 받았다.
F-14 톰캣,F-14 톰캣(Tomcat)이라고도 한다.
F-5 전투기,"1960년대부터 F-4, F-5 전투기를 도입하면서 구형기인 F-86 전투기를 대체시켰고, 1980년대는 제공호(號)를 국내에서 생산 ·배치하였으며, 오늘날은 F-16 전투기를 확보하여 최일선 영공방위 임무를 담당시키고 있다."
JAS 39 그리펜,"유사한 성능의 기종으로 중국의 FC-1, 프랑스의 미라주 2000, 스웨덴 사브 JAS 39 그리펜, 이스라엘의 IAI 크피르 등이 있다."
M1 에이브람스 전차,그밖에 M1A2 개조 프로그램에 따라 1079대의 M1 에이브람스 전차가 M1A2로 개조되었다.
M16 소총,"미국의 M16 소총, 소련의AK47 소총 등처럼 경량 ·소형에 많은 탄약을 휴대할 수 있고 단 ·연발 사격이 가능한 것이 널리 보급되었다."
M16 소총,"오늘날 세계적으로 널리 사용되는 소총은,북대서양조약기구(NATO) 가맹국가들의 FN소총, 공산국가들의 AK-47 돌격총, 미국과 그 우방국이 장비하고 있는 M14·M16 소총을 들 수 있다."
M2 브래들리,"FV-510은 미국의 M2 브래들리와는 달리 보병의 승, 하차시에 Drop down ramp가 아닌 두 개의 문을 채용하고 있으며 승차 보병이 사격을 하기 위한 사격포트는 채용하고 있지 않다."
M4 셔먼 전차,주포의 성능은 1000m 사거리에서 미국의 M4 셔먼 전차의 전면 장갑을 쉽게 뚫을 수 있었다.
MG42 기관총,미국은 1940년대 후반 M1918 분대지원화기와 M1919 경기관총을 대체할 새로운 기관총으로 제2차 세계대전 당시 독일군이 사용한 MG42 기관총의 모방 생산을 결정하였다.
Mi-28 하보크,"그 밖에 러시아 Mi-24 하인드·Mi-28 하보크, 이탈리아 PAH2/HAC 등이 대표적이다."
P-3C,"P-3C는 기존 P-3A/B형에 비해 발전된 데이터 처리장비, 항법장비, 전자장비 등을 탑재하고 있어 잠수함 초계 외에 제한적인 공중지휘통제능력도 갖추고 있다."
P-3C,지상기지에서 운용하는 장거리 대잠초계기인 P-3C는 대형 여객기를 개조하여 탑재 공간이 넓기 때문에 다양한 장비를 운용할 수 있다.
P-3C,"P-3C는 AQA-7(v) DIFAR(지향성 주파수 분석/기록 시스템)와 MAD(자기 탐지기)을 탑재하고 있는데, DIFAR 시스템은 투하된 소노부이(음향부표)로부터 바다속의 잠수함 음향을 전송받아 분석/기록하며, MAD는 지구자장 변화를 감지하여 잠수함을 포착한다."
P-3C,많은 개량을 거쳐 현재에는 P-3C형이 운용되고 있으며 많은 개량계획의 취소에도 불구하고 미국 해군은 P-3C의 업그레이드를 2015년까지 유지할 계획에 있다.
P-3C,P-3 시리즈의 첫 번째 모델 P-3A는 1959년 11월 처녀비행에 성공하였고 P-3A를 개량한 P-3C는 1969년 8월부터 미해군에 배치되었다.
P-51 머스탱,P-51 머스탱과 함께 미국의 많은 에이스를 탄생시킨 전투기로 유명하다.
StG44,제2차 세계대전에서 세계 최초의 돌격소총으로 등장하였던 StG44를 개발하였던 기술자들이 설립한 헤클러 & 코흐사(社)가 설계하였다.
Su-30,"오늘날에는 플랭커(Flanker) B라는 코드네임이 붙은 기본형에 최신의 항공기술을 적용한Su-37을 비롯하여Su-35,Su-33,Su-30 등 많은 성능향상형이 나와 있다."
Su-30,"그러나 1996년 40기의Su-30MK(Su-27SK라고도 불린다)를 18억 달러에 도입키로 계약을 체결하고 1997년부터 기체 인도가 진행 중인 인도를 비롯하여 친러시아 국가들이 구식화된미그기시리즈를 대체할 전투기로 이의 도입을 적극 추진하고 있어, 21세기에는 이들 국가들의 주력 전투기가 될 전망이다."
T-50,"대한민국 외 인도네시아, 필리핀, 이라크, 태국에서 T-50을 각 나라별 버전으로 개발되어 운용되고 있다."
T-50,2005년한국항공우주산업(주)에서 개발된 T-50 골든이글(Golden Eagle) 훈련기를 베이스로 개발된 전투기로 다목적 전투기로도 불린다.
T-55 전차,"남아프리카공화국 육군은 1985년부터앙골라와의 전투에 Mk1A를 투입해 큰 효과를 거두었으며, 1987년 말 벌어진 전투에서 앙골라군의 T-54·T-55 전차 62대를 격파하고, Mk1A는 2대만 파괴되면서 우수한 성능이 입증되었다."
T-72 전차,"현재 러시아에서는T-72 전차의 생산은 중단되었지만,우크라이나와 인도 등에서는 그 파생 차종들이 계속 제작되고 있다."
T-80U 전차,T-80U 전차는 최근에 등장한 서방측 3세대 전차 중에서 1990년대 중반 이후 출현한 것을 제외하면 이들과 거의 동등한 성능을 갖고 있다.
V-22 오스프리,"V-22 오스프리 틸트로터기는 벨헬리콥터텍스트론(Textron Inc)과보잉(Te Boeing Company), 그리고 미해군이 공동으로 개발한 틸트로터식 수직이착륙 비행기이다."
각궁,8 m)로 모양은각궁(角弓)과 같으며 애기찌 ·뿔 ·심줄 ·아교·실 ·옻 등으로 만들었다.
각궁,"단궁(檀弓)은박달나무로 만든 목궁(木弓)이고, 맥궁은 쇠붙이나 동물의 뿔로 만든각궁(角弓)이었다."
강습상륙함,2005년 7월 12일 진수한 강습상륙함이자 대형수송함(LPX:Landing Platform Experimental)이다.
강습상륙함,"운용목적에 따라항공모함급의 강습상륙함과 전술처리전산망를 보유한 상륙지휘함, 공기부양선형 고속상륙정까지 그 종류가 다양하다."
강습상륙함,LHA는 Landing Helicopter Attack(헬리콥터공격상륙함)의 약칭이며 미국에서 운용하는 강습상륙함이다.
강습상륙함,"미국 해병대는 타라와급(Tarawa)과 와스프급(Wasp), 2종의 강습상륙함을 보유하고 있으며 2014년에는 최신형 아메리카급(America)을 개발하여 실전에 배치하였다."
강습상륙함,"강습상륙함은 상륙부대를 해안으로 침투시켜 적이 방어하고 있는 해안 방어선을 무력화시키고 신속하게 전투력을 구축하도록 하는 1차적인 임무와 이들을 해상으로부터 지원하는 2차적인 임무를 수행하는데, 이를 위하여 LHA는 먼저 상륙돌격장갑차(AAV)와 고속 공기부양상륙정(LCAC), 헬리콥터 등을 이용하여 해병대 병력을 상륙시킨다."
강습상륙함,대한민국에서 운용하는 강습상륙함으로독도함이 있다.
강습상륙함,"한국은 물론 아시아에서도 가장 큰 강습상륙함으로, 한국 해군이 추진하는 상륙함 가운데 1번함이다."
거북선,"좌우에 각각 6문의 총구멍을 내었는데, 그 전체의 모습이 대략 거북과 같으므로 그 이름을 거북선이라 하였다…”라고 거북선에 대하여 묘사하고 있으며, 한편 《이충무공전서》에는 통제영 거북선의 구조에 대하여 다음과 같이 기록되어 있다."
거북선,임진왜란 당시 육전에서는 연패하였던 반면 해전에서는 거북선과판옥선에 장착되어 있던 천자총통·지자총통·현자총통·황자총통·별황자총통 등 화포의 성능이 매우 우수하여 연전연승을 구가하였다.
거북선,그 후 180여년 간 거북선에 관한 기록이 보이지 않다가 이순신 장군의 임진년(1592) 일기인 《난중일기(亂中日記)》 2월 8일 기사에 “거북선에 사용할 돛 베(帆布) 29필을 받다”라는 기록이 있다.
거북선,"또한 《난중일기》에 따르면 거북선에 비치한 포(砲)를 처음 발사한 날은 임진년(壬辰年:1592) 3월 27일이며, 처음 해전에 참가한 것은 장계(狀啓)에서 “5월 29일 사천해전(泗川海戰)”이라 기록하고 있다."
거북선,"따라서 태종 때의 거북선과 이순신이 말한 거북선과의 관계는 확실히 알 수 없으나, 임진왜란 때 거북선은 이순신의 고안에 의해서 군관 나대용(羅大用) 등이 실제로 건조한 것으로 알려지고 있다."
거북선,"이처럼 기동성과 견고함을 갖춘 판옥선은을묘왜변(乙卯倭變) 이후에는 가장 중요한 전투선 역할을 하였고, 특히임진왜란때에는 거북선과 더불어 많은 활약을 한 가장 규모가 컸던 전투선이었다."
거북선,"임진왜란때 거북선의 승조원은 130여 명이었고, 속력은 이순신의 장계에 기록된 항해시간과 거리를 검토해 보면 약 6km 정도로 추정된다."
거북선,실제로 거북선은 적의 화시(火矢)나 총환(銃丸)으로는 뚫지 못하는 돌격전선으로서 16세기 어느 나라 전선과도 견줄 수 없는 것이었다.
거북선,"임진왜란 초기에 이 거북선이 불과 3척 정도 건조되었으나, 전란 중에 얼마나 더 건조되었는지는 확실하지 않으며, 이순신 장군의 백의종군(白衣從軍) 중에 칠천량(漆川梁)에서 조선수군이 패전할 때 거의 상실된 것으로 알려지고 있다."
거북선,"이와 같은 조선기술은 고려 말과 조선 초의검선(劍船)으로 이어진 것으로 보이며,임진왜란때의거북선도 여기에서 연유한 것이라고 할 수 있다."
거북선,"조선전기의 주력 군선인맹선(猛船)이 임진왜란 직전판옥선(板屋船)으로 대체되면서, 임진왜란 당시 조선 수군의 군선은 판옥선·사후선(伺候船)·거북선등이 있었다."
거북선,"조선 후기에는 대형 전투함 전선을 주력으로 하여, 중형 무장함병선(兵船), 중형 전투함 방선(防船) 및 거북선·사후선이 배치되었다."
거북선,여기에 방선 1척을 추가하거나 전선 대신 거북선 또는 방선을 배치하기도 하였다.
거북선,"거북선은 해상에서 전투력을 고려하여 당시의 전선을 별도로 개장고안(改裝考案)한 것으로서이순신의 장계에는 “…앞에는 용머리를 만들어 붙이고, 그 아가리로대포를 쏘며, 등에는 쇠못[鐵尖]을 꽂았으며, 안에서는 밖을 내다볼 수 있어도 밖에서는 안을 들여다볼 수 없습니다."
거북선,"임진왜란이 끝난 후에는 다시 거북선을 건조하여 “여러 진포(鎭浦)에 배속시켰다”고 하였으나, 현재까지 남아 있는 것이 없으며, 1980년 한국 해군에서 거북선을 복원 ·건조하여해군사관학교앞바다에 띄워 두고 있다."
견인포,"견인포는 105mm (M-101, KH-178), 155mm (M-53, M-114, KH-179), 203mm(M-115) 등이 있다."
견인포,"이밖에 대포를 용도에 따라 야전포·요새포·해안포·해군포 등으로 분류할 수 있고, 사격할 표적에 따라 대공포·대전차포, 견인 방법에 따라 자동차 견인포·자주포, 구경에 따라 경포(輕砲)·중포(中砲)·중포(重砲), 사용하는 병과에 따라 보병포·기병포·전차포 등으로 나눈다."
경기관총,"또 차체 앞부분 가운데 설치한 조종석 양 옆에 승차병력 10명 가운데 2명이 탑승해 왼쪽 대원이 AGS-17, 오른쪽 대원이 분대용 경기관총 RPKS-74를 조작한다는 것도 러시아군 특유의 전투사상을 반영했다는 평가를 받는다."
경기관총,M1918A2는 1939년 개발되고 1940년 미 육군이 제식 채용한 자동 경기관총이다.
경기관총,미 육군과 해병대가 분대지원화기로 사용한 공랭식 경기관총이다.
경기관총,"총신길이는 기본형이 508㎜이며 기관단총, 카빈, 경기관총 등과 서로 교환할 수 있다."
경기관총,"기본형 외에기관단총, 카빈,경기관총등의 변형이 있다."
경기관총,제2차 세계대전에서 미군이 사용한 수랭식 기관총 M1917을 공랭식으로 개조하여 1919년 미 육군이 제식 채용한 M1919는 경기관총으로 분류되지만 삼각대 위에 얹으면 중기관총으로 사용할 수 있다.
경기관총,제2차 세계대전에서 미군의 주력 경기관총으로 활약하였으며 차량 탑재형 등 많은 모델이 개발되어 2000년 이후에도 여러 나라에서 사용되고 있다.
경기관총,"수동식에는리볼버형 권총, 볼트액션 ·레버액션 ·펌프액션 ·중절식(中折式) 등의라이플총이나산탄총이 있고, 반자동식에는 반동이용 구조인 자동권총 ·반동 또는 가스압을 이용하는 라이플총이나 산탄총이 있으며, 전자동식은 반동이나 가스압을 이용하는 라이플총 ·기관단총 ·경기관총 ·중기관총 등이 있다."
경기관총,그러나 제1차 세계대전 뒤 스웨덴·폴란드 등의 경기관총 개발에 기초가 되었다.
경기관총,20발탄창을 사용하여 급탄 벨트식 기관총에 비해 연사 성능이 떨어지지만 1명이 휴대·운용할 수 있는 경기관총치고는 충분한 화력을 제공하였다.
경기관총,제1차 세계대전에서 미 육군이 사용한 경기관총이다.
경기관총,전쟁터에서 1명이 운용할 수 있도록 개발된 경기관총이지만 삼각대를 사용하면 중기관총과 대공기관총으로도 활용 가능한 다목적 기관총이다.
경기관총,"라인메탈사(社)와 마우저사가 공동 개발하였으며, 경기관총 겸 중기관총으로 사용할 수 있다."
경기관총,5㎜탄과 이 탄에 맞는 경기관총 MAC 1929를 완성하였다.
경기관총,미국은 1940년대 후반 M1918 분대지원화기와 M1919 경기관총을 대체할 새로운 기관총으로 제2차 세계대전 당시 독일군이 사용한 MG42 기관총의 모방 생산을 결정하였다.
경기관총,"MG34처럼 1개 분대에 1정이 지급되어 경기관총 또는 분대지원화기로 사용될 뿐 아니라 삼각대 위에 얹으면 중기관총, 대공 조준장치를 부착하여 대공기관총으로도 활용 가능한 다목적 기관총이다."
경기관총,공격화력의 증강을 위한 경기관총 ·휴대용 중기관총의 연구 ·장비가 추진되어 1918년대 보병화기는 중 ·경 기관총이 주가 되고 소총 ·기병총은 자동화기에 부속되는 보조병기화하였다.
경항공모함,"대전 중에 1만 t급의 순양함을 개조해서 다수 건조한 경항공모함(light carrier:CVL), 화물선·상선을 개조해서 만든 호위항공모함 등은, 전후 탑재비행기의 대형화·중량화·고속화에 따라 전투기용으로는 사용할 수 없게 되어 한 때 대잠용이나 비행기수송선, 헬리콥터모함 등으로 이용되었다."
경항공모함,"그때까지 호위항공모함계인 CVHE, CVHA, CVU는 비행기 운반함(aircraft cargo ship:AKV)으로, 또한 경항공모함은 비행기운반특무함(auxiliary aircraft transport:AVT)으로 각각 전용하게 되었다."
경항공모함,제2차 세계대전 이후전함(戰艦) 대신 주력함으로 등장한항공모함가운데 대잠지원항공모함·경항공모함·호위항공모함 등처럼 보조적 역할이나 함대·수송선단의 호위를 주임무로 하는 것과는 다르다.
경항공모함,"미국은제2차 세계대전및 전후에 완성시킨, 순양함 선체를 이용한 경항공모함(CVL)과 상선(商船) 선체를 이용한 호위항공모함(CVE)의 일부를6·25전쟁때부터 대잠용으로 사용하기 시작하였다."
공격기,우수한전투기를 많이 개발한 그러먼사(社) 최초의 함상공격기이며태평양전쟁에서 많은 일본군함을 격침하였다.
공격기,"공격항공모함은 적의 함대·육상의 표적을 공격하기 위한 것으로, 100기 내외의 공격기를 탑재하고, 해상병력의 주력이며, 배수량 6∼10만t의 대함이다."
공격기,영국의 슈퍼마린사가 어태커의 후계기로 개발한 쌍발 엔진을 가진 대형 함상전투기525형을 발전시킨 저고도 함상 전투공격기다.
공격기,사우디아라비아에서도 주력 공격기로 운용되고 있다.
공격기,"전투폭격기는 전투공격기라고도 하며, 대전투기 전투와 지상공격의 임무를 겸용할 능력을 갖추고 있다."
공격기,1970년 TRAM(Target Recognition and Attack Multisensor)을 채용한 A-6E가 개발되어 더욱 강력한 항공기로 거듭났으며이는 미 해군 사상 가장 완벽한 전천후 공격기로 평가되기도 한다.
공격기,"야간 악천후 시의 작전 수행에 중점을 두고 개발되었으며 진보된 DIANE(Digital Integrated Attack/Navigation Equipment)를탑재, 아음속(亞音速)에서의 안정성과 높은 무장 탑재량, 강력한 항공전자장비를 바탕으로 미국 해군의 주력 공격기(Attacker)로서장기간 취역하였다."
공격기,제트기임에도 불구하고 구소련의MIG-15 등에 비해 속도가 느렸기 때문에 주로 지상공격기로 활용되었다.
공격기,"IDS형의 특징은 대부분 구릉과 평야 및 삼림지대로 이루어진 유럽의 평원을 초저공으로 비행하여 적의 레이다망을 피한 후 중요 목표를 타격한다는 개념 하에 개발되었으나,걸프전쟁초기에 사막에서의 초저공 비행 진입을 하다가 다국적군 공격기 중 유일하게 격추되어 그 약점을 들어냈다."
공격기,"원거리폭격기는, 때로는 전술목적에 사용되는 경우도 있으나 원칙적으로 전략목적에 사용되며, 중거리폭격기는 주로 전략공격에 사용되나 전술목적에도 사용될 수 있고, 공격기는 전술공격에만 사용된다."
공격기,"그러나 발착시설이 보강되고 최신형 공격기를 탑재하며, 온갖 현대식 장비와 지휘 ·정보시설 등이 구비됨에 따라 오늘날은 자국의 해상교통로 확보에 주역을 담당하는 해군력의 주력으로 재평가 받게 되었다."
공격기,"원거리폭격기는 최대항속거리가 9,600km이상인 것, 중거리폭격기는 최대항속거리 5,600~9,600km,공격기는 그 이하의 것을 가리킨다."
공격기,"현재는 일반적으로 항속거리에 따라 원거리폭격기 ·중거리폭격기 ·공격기(또는 근거리폭격기) 등으로, 공격 목적에 따라 전략폭격기 ·전술폭격기 등으로 분류된다."
공격기,미국 록히드사(社)가 개발하여 미 육군항공대에 배치된 해양초계공격기A-29의사격연습과항법훈련을 위한연습기이다.
공격기,"또한, 공격기들을 직접 엄호하는 위치로 비행하기도 하고 적의 전파를 더욱 효과적으로 방해할 수 있는 위치로 가기 위하여 직접 상공으로 비행하기도 한다."
공격기,구소련의 미코얀 설계국이 MIG-23B 기체를 개량해 재설계한 단좌단발 대지공격기이다.
공격기,현재까지도 프랑스 공군의 제공기·요격기·정찰기·핵폭탄 탑재 저공침투폭격기·근접지원기·침투공격기로 활동하고 있다.
공격기,"미국에서 개발 중인 유일한 지상공격기 개발계획으로, 이 프로젝트에는 영국 해군도 참여하고 있다."
공격기,"공군,해군,해병대에서 사용하는 각종 항공기의 기능을 한 기종으로 통합한 전투공격기가 JSF(Joint Strike Fighter)이다."
공격기,"이란·이라크·불가리아·헝가리·체코·앙골라등에 수출되어 주력 공격기로 활약 중이며,북한도 20대를 보유하였다."
공격기,"그리고 공격기에는 미국의F-4 ·F-105 ·A-4 ·A-6A ·A-7, 러시아의IL-28 ·SU-7 ·TU-22 ·Yak-28 ·Mig-23 등이 있다."
공격기,프랑스 공군이 1950~1970년 요격기와 대지공격기로 운용하였다.
공격기,"첫번째 양산형 ⅣA는 1954년 5월 1번기가 제작되고, 1955년부터 대지공격기로 프랑스 공군에 배치되었으며, ⅣA 50번기까지는 롤스로이스 테이 250 엔진을 장착하였다."
공격기,제2차 세계대전에서 맹활약한 구소련의 대지공격기로써 스투르모빅이라고도 한다.
공격기,"영국과 프랑스가 공동 개발한 지상지원, 차단용 경공격기이다."
공격기,한국의 차세대 경공격기 선정에 참가하였으나 양국간의 거리가 멀고 지속적인 부품조달이 곤란한 점 때문에 유로콥터의 BO 105에 패배한 적이 있다.
공격기,모두 5700대 이상 생산된Ju87 시리즈는 속도가 느려 전투기에 대적할 수는 없었지만 신뢰성 높은 대지공격기라는 평가를 받았다.
공격기,전투기 외에 지상공격기함재기등의 파생형도 제작되었다.
공격기,전투기로서의 성능을 한정시키고 그 대신 스텔스 성능을 최대한으로 살린 1인승 공격기로서 적의 통신·사령부 시설 등에 선제 공격을 가하는 것을 주임무로 한다.
공격기,적의 레이더나적외선탐지장치에 탐지되지 않고 적지 깊숙이 침투할 수 있는 스텔스 공격기이다.
공격기,"긴 활주로가 필요하지 않고 아무데서나 이착륙할 수 있으므로 지상작전의 근접항공지원용 공격기로서, 정찰임무 등에 유효하게 사용될 수 있으나, 전투성능면에서는 최신의 전투기에 미치지 못한 것으로 평가된다."
공격기,"수호이 설계국이 발표한 SU-39는 지상의 모든 표적을 정확하게 격파할 수 있으며, 디젤 연료를 사용하는 값싸고 효과적인 공격기다."
공격기,"SU-25 근접지원기의 전자장비를 개선하고, 전천후 야간 작전성능을 추가한 러시아의 지상공격기이다."
공격기,항공기는 용도에 따라폭격기·공격기·전투기·정찰기·초계기·조기경계기·공중조기경계관제기·지휘연락기·수송기·급유기 등이 있다.
공격기,제트기임에도 불구하고 구소련의 MIG-15 등에 비해 속도가 느렸기 때문에 주로 지상공격기로 활용되었다.
공격기,오늘날 사용되는 군용기를 크게 구별하면폭격기·공격기·전투기·정찰기·경계기·초계기·수송기·급유기·구조기·구난기·지휘기·연락기·연습기와 실험 등에 사용되는 특수용도기가 있다.
공격기,"그리고 공격기에는 미국의 F-4 ·F-105 ·A-4 ·A-6A ·A-7, 러시아의 IL-28 ·SU-7 ·TU-22 ·Yak-28 ·Mig-23 등이 있다."
공격기,"원거리폭격기는 최대항속거리가 9,600km 이상인 것, 중거리폭격기는 최대항속거리 5,600~9,600km, 공격기는 그 이하의 것을 가리킨다."
공격기,"에탕다르 Ⅳ 후계기종을 선정할 때미국제 함상공격기 A-4 스카이호크와 A-7 코세어 Ⅱ, 프랑스의 미라주 F1, 영국과 프랑스가 공동 개발한 재규어 등과 경쟁하였다."
공격기,프랑스해군이 에탕다르 Ⅳ 함상공격기의 후계기로 채용한 기종이다.
공격기,"전투기의 이름인 FA는 영어 Fighter와 Attacker의 약자로 전투기와 공격기를 의미하며, 50이라는 숫자는 대한민국 공군 창설 50주년을 의미한다."
공격기,시나노는 처음에 함선으로 개발되었기 때문에 항공기를 탑재할 수 있는 공간이 많지 않았고 또한 미드웨이 해전에서 대패한 이후 일본의 전세가 기울어가는 시점에 취항하였기 때문에 항공모함에 탑재할 수 있는 공격기도 얼마 남지 않은 상황이었다.
공격기,독일에서 개발된 대지공격기이며 1917년 첫 비행에 성공했다.
공격기,1938년 말전차를 파괴할 수 있는 항공기에 주목한 소련정부가 소비에트중앙설계국에 대지공격기 개발을 지시하였다.
공격기,"소비에트중앙설계국(Soviet Central Design Bureau)의 기사 일류신(Ilyushin, Sergei V)이 설계하였으며 강력한 무장과 방어력을 갖춘 걸작 공격기라는 평가를 받는다."
공격기,"해전에서 전투의 양상이 공격기와뇌격기에 따라 승패가 좌우되자 1943년 7월 야마토 함은 쿠레 해군공창에서 대공방어 능력을 강화하기 위해 155mm 3연장포를 6문으로 줄이고 대신 레이더와 127mm 고사포, 13mm 기관포를 증대하였다."
공격기,"제2차 세계대전 때 항공모함이 탑재한 함상기는 전투기 ·뇌격기(雷擊機) ·급강하 폭격기의 3기종(機種)이었으나, 오늘날 미국 대형 항공모함은 전투기 ·대형 전천후공격기 ·경(輕)공격기의 3기종을 주력으로 하고, 조기경보기 ·대잠기(對潛機) ·전자전기(電子戰機) ·정찰기 ·공중급유기·수송연락기와 대잠(對潛) ·구난(救難) 헬리콥터도 탑재한다."
공격기,"미라주 2000D는 미라주 2000N의 파생종으로 복좌기이며, 공대지 공격기이다."
공대공 미사일,Su-37기는 후방의 적을 향해 발사할 수 있는 공대공 미사일에 의한 공격 시스템 및 전방향 탐지능력을 갖춘 위상배열 레이더를 장착하고 있는 등 모든 면에서 '차세대 전투기'로서의 모습을 갖춘 전전후 전투기이다.
공대공 미사일,"무장은 각 날개에 있는 3개의 장착대에 6발의 단거리적외선공대공미사일또는 4발의 R-60T/MK와 2발의 중거리레이더유도 미사일을, 예비 공중전투 무장으로 단거리 적외선 공대공 미사일을 탑재할 수 있다."
공대공 미사일,"대공 미사일로서는 지대공 미사일인 SAM-D, 공대공 미사일인 페닉스가 있다."
공대공 미사일,"무장은 각 날개에 있는 3개의 장착대에 6발의 단거리적외선공대공미사일또는 4발의R-60T/MK와 2발의 중거리레이더유도 미사일을, 예비 공중전투 무장으로 단거리 적외선 공대공 미사일을 탑재할 수 있다."
공대공 미사일,4개의 사이드와인더 단거리 공대공 미사일과 4개의 스카이플래시(Sky Flash) 중거리 공대공 미사일을 장착하고 있다.
공대공 미사일,그리고 중거리 공대공 미사일인 AIM-120 암람과 공대지 순항미사일도 장착가능하다.
공대공 미사일,⑶ 공대공 미사일:비교적 소형이고 사정거리도 짧다.
공대공 미사일,방공 미사일에는 지대공 미사일·함대공 미사일·공대공 미사일 등이 있다.
공대공 미사일,"주무장은 트라이갓(Trigat) 대전차미사일, 미스트랄 공대공 미사일,기관포,로켓포등이다."
