term,pdf,example
사드,261 국방과학기술플러스_최종안,"무선기기가 폭증함에 따라 전자파에 대한 관심이 높아지고 이에 대한 우려로 인해서 사회적으로 과도한 비용이 발생하고 있으며, 기상청 레이다 논란, 해상관제용 레이다 논란, 사드 논란 등 전자파 영향 여부를 둘러싼 진실 공방으로 사회적 갈등이 확산되고 있다."
상륙돌격장갑차,259호_국방과학기술플러스,"해병대의 경우도 그와 유사하게 공수강하시뮬레이터, 상륙돌격장갑차 KAAV 시뮬레이터, 합동화력 시뮬레이터, KUH-1 시뮬레이터 등과 같은 다양한 시뮬레이터를 보유하고 있으나 이것들은 개별 체계의 숙달 훈련 위주로 활용되고 있다."
알레이버크급 구축함,국방과학기술플러스 Vol.256,"55m, 무게는 50kg, GPS/INS 유도항법 기능을 갖고  있어, CEP 20m의 정확도 사격이 가능한 것으로 알려졌고, 알레이버크급 구축함에서 발사하여 최대 110km 떨어진 지상표적 타격이 가능한 것으로 알려졌다."
어뢰,국방과학기술플러스 262호,어뢰 체계의 형상 제한 조건에 따라 수반응 추진제 끝단의 면적은 정해지므로 수반응 추진제의 연소속도가 해수흡입 추진기관의 추력을 결정한다.
어뢰,국방과학기술플러스 262호,따라서 어뢰 체계 요구조건에 따른 수반응 추진제의 연소속도가 해수흡입 추진기관의 핵심기술이라 할 수 있다.
어뢰,국방과학기술플러스 262호,"수반응 금속연료 추진제 개발  수반응 금속연료 추진제는 초공동 어뢰의 핵심 구성품으로서, 금속 기반의 연료과농 고체 추진제가 물과 화학반응을 할 때 생성되는 열과 추력을 이용한다."
어뢰,국방과학기술플러스 262호,이러한 과정을 통하여 도출된 해수흡입 추진기관 기술이 초공동 형성 및 제어 기술과 통합된다면 향후 요격어뢰 혹은 중어뢰 기술 등으로 발전 가능할 것으로 판단되며 추진기관 기술에 대한 개발 뿐 아니라 운용개념 및 적용 체계에 대한 연구 개발이 종합적으로 이루어져야 요소기술이 활용될 수 있는 것으로 판단된다.
어뢰,259호_국방과학기술플러스,"본 연구팀은 기포층에 의한 음파 산란, 음파 흡수, 감쇠 및 음속변화 등 기포층의 음향 성능변화에 집중하여 음향탐지 모델 개발에 주력하였으며, 어뢰체계 탐지/로직 등 유사과제 개발 경험을 바탕으로 실제 전장환경에 근사한 기만 효과 구성 모델을 성공적으로 구축하였다."
어뢰,259호_국방과학기술플러스,한국 해군이 항적추적어뢰의 위협으로부터 한시라도 빠르게 벗어나기 위해서는 후속 연구수행이 시급히 요구되는 상황이다.
어뢰,259호_국방과학기술플러스,기술개발에 필요한 핵심기술수상함에서 항적추적어뢰의 공격이 식별되면 어뢰의 추적을 방해하기 위하여 매우 짧은 시간에 충분한 양의 기포항적을 생성시켜야 한다.
어뢰,259호_국방과학기술플러스,"따라서, 우리는 대량의 기포항적을 빠르게 생성시킬 수 있을 뿐만 아니라, 항적추적어뢰 기만에 효과적인 크기를 가지는 기포를 발생시키고, 기포의 발생 심도, 생존 시간 등을 제어할 수 있도록 화학물질을 이용하여 기포항적을 생성시키는 방법을 연구하였다."
어뢰,국방과학기술플러스 262호,"시동부스터는 어뢰를 순항 속도까지 가속시키는 역할과 함께 수반응 추진제를 점화시키는 역할도 동시에 수행하며, 시동부스터의 작동 중단에 따라 연소실로 유입된 해수는 수반응 추진제 연소가스와 반응하여 추력을 발생시키게 된다."
어뢰,259호_국방과학기술플러스,"기포항적에 의한 기만 효과 분석 연구제조된 기포발생물질에 의해 발생되는 기포항적의 물리적, 음향적 및 분포적 특성은 수조실험, 호수실험, 해상실험 등 단계적인 검증 실험을 통해 신뢰도 있는 자료를 확보하였으며, 확보된 자료는 최종적으로 항적추적어뢰 공격을 기만하기 위한 효과 분석 모델에 적용하였다."
어뢰,국방과학기술플러스 262호,추진제 이송시스템 개발  해수흡입 추진기관의 경우 어뢰의 속도로 인한 유입되는 유체의 동압을 통하여 유체가 연소기 내부로 분무되고 이를 바탕으로 추진력을 얻는 것으로 알려져 있다.
어뢰,259호_국방과학기술플러스,최근 어뢰는 음향추적 기능과 함께 항적추적 기능을 추가하여 운용한다.
어뢰,259호_국방과학기술플러스,"그림 11은 항적추적어뢰가 특정 방위각에서 수상함을 공격하는 특정 시나리오를 가정하였을 때, 기포항적에 의한 기만 효과를 분석한 예제를 보여준다."
어뢰,259호_국방과학기술플러스,항적추적어뢰는 현재 존재하는 기만기 주파수 보다 높은 고주파의 항적탐지기를 이용하여 근접거리의 항적을 탐지하며 추적하기 때문에 현재 개발되어 있는 부유식/자항식 기만기로는 대응이 불가한 것이 현실이다.
어뢰,259호_국방과학기술플러스,"본지에서는 항적추적어뢰를 기만할 수 있는 방법 중 하나로, 그림 1과 같이 인공적인 기포항적을 수상함 항적 인근에 생성시켜 항적추적어뢰의 추적을 방해하는 방법을 소개한다."
어뢰,259호_국방과학기술플러스,"이어 국방과학연구소 해양기술연구원에서는 미사일연구원과 함께 2019년부터 2022년까지 선행핵심 과제를 통해 기포발생물질에 의한 기포발생 기술, 기포특성 측정 기술, 그리고 기포항적에 대한 항적추적어뢰 기만 효과를 분석하는 기포항적 모델링 기술 등 기포항적 생성을 위한 핵심기술을 확보하였다."
어뢰,259호_국방과학기술플러스,"항적추적어뢰가 공격하는 것을 수상함에서 식별하게 되면, 수상함은 회피 기동 및 음향 기만기를 투하하는 등 어뢰공격에 적극 대응하는데, 기포항적을 이용한 기만 대응을 수행함에 따른 아군 수상함 생존률의 변화 정도를 시나리오 조건에 따라 분석하였다."
어뢰,259호_국방과학기술플러스,항적추적어뢰 기만 효과를 분석하기 위해서는 기포발생물질과 기포항적 모델 외에도 매우 많은 구성모델이 필요하다.
어뢰,259호_국방과학기술플러스,"기포발생물질에 의해 생성된 기포항적은 실해역 실험을 통해 항적추적어뢰 기만에 필요한 충분한 산란강도를 가지는 것을 확인하였으며, 기포 분포에 대한 3차원 영상화를 통해 기포항적 발달 전주기를 가독성있게 관찰할 수 있었다."
어뢰,259호_국방과학기술플러스,그림 12는 특정 조건에서의 어뢰대응 상황에 따른 기만 효과를 보여주는 일례이다.
어뢰,259호_국방과학기술플러스,[그림 12] 어뢰 대응상황에 따른 기만 효과 분석 예제 본 연구를 통해 구축된 기만 효과도 모델은 다양한 시나리오 환경에서 기만 효과도를 예측할 수 있기 때문에 시험개발 또는 체계개발 시 체계사양 도출을 위한 도구로 활용 가치가 클 것으로 기대된다.
어뢰,259호_국방과학기술플러스,"수상함의 경우 운동모델 및 어뢰 경보거리를 초기변수로 적용하였고, 수중 유도무기는 탐색방식, 운동모델, 초기발사조건 등을 초기변수로 적용하였다."
어뢰,259호_국방과학기술플러스,"수상함과 수중 유도무기, 기만기에 대한 시나리오 조건을 설정하고, 해양환경에 따라 임의적으로 달라질 수 있는 조건을 확률적 변수로 적용하여 항적추적어뢰 공격에 대한 기만 성공률을 반복적으로 도출하였다."
어뢰,259호_국방과학기술플러스,"본 연구를 통해 확보한 핵심기술은 후속 개발될 항적추적어뢰 기만기체계 개발에 적극 활용되어, 한국 해군 수상함의 생존력 증대에 기여할 수 있기를 기대한다."
어뢰,259호_국방과학기술플러스,"[그림 7] 기포항적 산란강도 도출 결과 예제 기포발생물질 조성, 밀도, 무게, 형상 등 조건에 따른 측정실험을 반복적으로 수행하여, 기포발생물질에 의해 발생되는 기포항적의 산란강도 프로파일 단면을 데이터베이스화하였으며, 최종적으로 항적추적어뢰 탐지기능을 기만하기 위한 효과도 분석 구성모델로 활용하였다."
어뢰,259호_국방과학기술플러스,"항적추적어뢰는 항적탐지 기능을 이용하여 수상함 항적을 추적하여 공격하는 어뢰로, 항적이 존재하는 수상함에게는 매우 치명적인 위협을 가하는 수중 유도무기이다."
어뢰,259호_국방과학기술플러스,본 연구팀은 이를 몬테카를로 방법(Monte-Carlo method)을 통해 항적추적어뢰 공격에 대한 기만 효과를 통계학적으로 분석하였다.
어뢰,259호_국방과학기술플러스,기술현황선진국의 어뢰방어체계 기술은 함정의 생존과 직결되는 매우 중요한 기술로써 구체적인 정보의 접근이 제한된다.
어뢰,259호_국방과학기술플러스,"대규모의 기포항적을 대상으로 측정된 음향학적, 분포학적 특성을 측정하고 분석함으로써, 제조된 기포발생물질의 조성이 항적추적어뢰 기만 효과가 있는지를 최종적으로 확인하였다."
어뢰,국방과학기술플러스 Vol.257,"국방과학연구소(해양기술연구원)에서는 이 QUEST 프레임워크를 이용하여 국과연 주관 연구개발 체계인 함정전투체계, 어뢰체계, 음탐기체계 등의 개발 과정에서 어뢰전/대어뢰전/대잠전 모델을 개발하고 효과도분석, 전술 개발 등에 적용하고 있다."
어뢰,국방과학기술플러스 Vol.257,이때 만재 배수량 = 베이스 중량 + 조합에 참여하는 구성요소 중량 + 기타 중량 (유형1의 예제에서는 경어뢰와 중어뢰 관련 시스템과 무장의 중량)이다.
어뢰,2021_국방과학기술플러스_253호,"또한 함정내 탑재장비, 유도무기, 어뢰와 같은 실물장비를 자주 접하지 못하는 고가의 장비일수록 더욱 교육훈련이 중요하기에 대체재로서 가상교육훈련장비의 구축 및 운용이 필요하다."
어뢰,국방과학기술플러스 262호,"해당 순항 속도에서는 초공동 어뢰의 운동으로 인해 초공동 어뢰 입구에서 약 50bar에 이르는 고압으로 해수를 흡입하게 되며, 흡입된 해수는 해수흡입 연소기의 인젝터와 수반응 추진제 이송을 위한 피스톤으로 공급된다."
어뢰,국방과학기술플러스 262호,"이러한 문제를 보완하기 위하여 그림 1과 같이 중요한 시설 보호를 위하여 고정식 발사 플랫폼을 활용하거나 수상함에서 발사하는 개념이 제안되고 있으며, 이란의 초공동 어뢰인 후트(Hoot)의 경우 수상함에서 시험 발사하는 장면을 확인할 수 있다."
어뢰,국방과학기술플러스 262호,"하지만 이러한 초공동 어뢰의 경우 소음이 크고, 상대적으로 사거리가 짧으며 유도기능이 제한적이라는 단점이 존재한다."
어뢰,국방과학기술플러스 262호,"Mg/NaNO3 추진제는 전통적인 조명제의 조성으로 러시아와 이란을 제외하고 초공동 어뢰에 적용한 사례가 없으며, 금속연료 추진제를 대형으로 제작하는 관련 기술도 공개되어 있지 않다."
어뢰,국방과학기술플러스 262호,개발기관인 DIEHL BGT Defence에 의하면 바라쿠다는 수중 및 수상의 타켓뿐만이 아니라 러시아에서 운용하고 있는 쉬크발 어뢰를 직접적으로 요격이 가능하다고 공개하였다.
어뢰,국방과학기술플러스 262호,독일  1988년 독일은 초공동화연구를 시작하여 최근까지 최대속력 400km/h 이상을 만족하는 바라쿠다(Barracuda) 어뢰를 개발중에 있다.
어뢰,국방과학기술플러스 262호,순항 심도에 도달한 초공동 어뢰는 시동부스터를 점화하여 순항 속도인 100m/s까지 가속한다.
어뢰,국방과학기술플러스 262호,"초공동 어뢰는 발사관에서 발사된 후, 사출모타를 통해 초기 가속되며 순항 심도까지 이동한다."
어뢰,국방과학기술플러스 262호,사출모타는 작동 후 어뢰로부터 분리된다.
어뢰,국방과학기술플러스 Vol.257,"이 예제에서는 운용개념 분석을 통해 임무수행 영역을 대잠전, 대어뢰전, 대함전, 대공전으로 분류하고  각각의 수행영역에 8, 8, 5, 6개의 탑재체계 대안을 상정한다."
어뢰,국방과학기술플러스 262호,러시아(구 소련)는 미국의 고속 원자력 잠수함과의 교전과 항공모함을 공격하는 목적으로 초공동 어뢰 개발에 착수하였다.
어뢰,국방과학기술플러스 262호,러시아서두에 언급한 바와 같이 해수흡입 추진기관을 초공동 어뢰에 적용한 사례는 러시아의 쉬크발이다.
어뢰,259호_국방과학기술플러스,본 연구팀에서는 항적추적어뢰의 항적탐지 기능에 대해 기만 능력을 가지는 기포항적을 생성시키기 위하여 필요한 3가지 핵심 기술을 다음과 같이 식별하였다.
어뢰,259호_국방과학기술플러스,기포특성 측정 기술제조된 기포발생물질이 항적추적어뢰의 공격을 기만할 수 있는 지의 여부를 판단하기 위해서는 기포발생물질에 의해 생성되는 기포항적의 음향학적 특성과 분포학적 특성을 측정할 필요가 있다.
어뢰,259호_국방과학기술플러스,항적추적어뢰의 공격을 효과적으로 방어하기 위해서는 원하는 심도에서 원하는 크기를 가지는 기포를 원하는 시간 내에 발생시켜야 한다.
어뢰,259호_국방과학기술플러스,본 소개글에서는 항적추적어뢰 항적탐지 기능에 대해 기만 능력을 가지는 기포항적 생성기술 확보를 위해 요구되는 세 가지 핵심기술에 관하여 보다 자세하게 살펴보고자 한다.
어뢰,259호_국방과학기술플러스,"셋째, “기포항적 생성 모델링 기술”은 측정된 자료를 모델화하여 항적추적어뢰 기만 효과 분석하기 위한 기술로, 기만 효과에 필요한 구성 모델을 연구하고 통계학적 방법으로 항적추적어뢰에 대한 기만 효과를 분석하는 기술이다."
어뢰,259호_국방과학기술플러스,"또한 기포항적 기만 시 수상함 회피기동 여부, 음향기만기 사용 여부 및 종류, 개수 등과 어뢰 경보거리, 어뢰 및 수상함 속도, 계절, 해역 등 다양한 변수를 복합적으로 동시에 고려하여야 한다."
어뢰,국방과학기술플러스 262호,더불어 2004년도에는 새로운 초공동 어뢰개발을 착수하였으나 뚜렷한 프로젝트의 성과는 보여주지 못하고 있다.
어뢰,국방과학기술플러스 262호,러시아의 초공동 어뢰인 쉬크발(Shkval)의 경우 초공동 현상 발생장치와 해수흡입 추진기관을 조합하여 약 200노트의 속도를 내는 것으로 알려져 있다.
어뢰,국방과학기술플러스 262호,4mm/s의 고연소속도를 갖기 때문에 초고속 어뢰용 금속연료 추진제로 적용 가능할 것으로 판단된다.
어뢰,국방과학기술플러스 262호,이란은 2006년 4월 2일과 3일 양일에 걸쳐 자체개발 초공동 어뢰인 후트의 발사시험을 진행하였고 성공적으로 목표물에 타격했다는 영상을 공개하였다.
어뢰,국방과학기술플러스 262호,"1960년대에 쉬크발(Shkval)이라는 명칭으로 개발을 시작하였으며, 약 200노트(370km/h)의 속력으로 바닷속에서 항주가 가능하여 기존 어뢰 대비 4~5배의 빠른 속력으로 알려져있다."
장갑차,259호_국방과학기술플러스,"해병대의 경우도 그와 유사하게 공수강하시뮬레이터, 상륙돌격장갑차 KAAV 시뮬레이터, 합동화력 시뮬레이터, KUH-1 시뮬레이터 등과 같은 다양한 시뮬레이터를 보유하고 있으나 이것들은 개별 체계의 숙달 훈련 위주로 활용되고 있다."
장갑차,2021_국방과학기술플러스_253호,"무인포탑 기술은 미래의 유사체계(전차, 장갑차, 자주포, C-RAM)의 자동화 포탑 모듈 개발에 활용 가능한 장점이 있다."
장갑차,2021_국방과학기술플러스_253호,포탄 적재이송 자동화 기술탄약운반장갑차인 K56과 K10에 적용된 탄압지(Grip) 기술과 포탄 적재이송장치의 기구메커니즘 활용이 가능할 것이다.
장갑차,2021_국방과학기술플러스_253호,"[그림 7] M1299 차세대자주포국내의 경우는 1999년 12월에 K9자주포가 전력화된 후, K10 탄약운반장갑차가 2006년에 개발되었고, K55자주포와 K9자주포 성능개량(PIP11)) 사업으로 K55A1, K9A1이 각각 개발되었다."
장사정포,국방과학기술플러스 Vol.256,"우리나라 수도권의 최대 위협으로 간주되는 북한의 장사정포인 170mm M1989 자주포와 240mm M1991 방사포의 경우 사거리가 60km에 달하여, 70km이상의 초장사정 포탄 개발이 시급한 실정이다."
장사정포,2021_국방과학기술플러스_253호,"2006년에는 서울 불바다 발언으로 인한 장사정포대응 무기체계개선 TF15)가 구성되었고, 연구결과에 따라 ‘K9 전자신관 적용 사통장치체계 개선’을 수행하여 현재 K9A1 성능개량 자주포에 적용하고 있다."
전략 폭격기,국방과학기술플러스 Vol.255,"미 항공모함 및 함정 격침을 목표로 하며, 향후 핵잠수함, 전략 폭격기, 스텔스 폭격기에도 장착할 예정이다."
전익기,2021국방과학기술플러스(254호),"90년대 후반 미국에서도 유사 기능의 상태감시 시스템을 허니웰(Honeywell)에서 개발하여 육군 회전익기(UH-60, AH-64, CH-47D)에 장착하였다."
전자전기,국방과학기술플러스 Vol.256,"현재, 중국 육군은 Y-9 항공기를 수송기, 공군 및  해군은 전자전기 용도로 개조하여 운용 중인 것으로  파악되고 있다."
전자전기,국방과학기술플러스 Vol.256,원격지원 전자전기는 기존 자체보호 전자전장비와 호위용 재머와는 달리 수백km 에 달하는 신호정보 정찰 및 교란능력을 갖출 수 있는 전자전 무기체계 이다.
전자전기,국방과학기술플러스 Vol.256,"전략급 작전 수행 간 합동 전력의 생존성 보장 및 작전 성공율· 효율성 향상을 위해서는 공세적 광역교란을 위한 원격 지원 전자전 능력이 반드시 요구되며, 미국 등 국방 선진국 에서는 EC-130H 등의 원격지원 전자전기를 개발 및  운용하고 있다."
전자전기,국방과학기술플러스 Vol.256,"따라서, 원격지원 전자전기 보유는 수동적인 방어 에서 벗어나 능동적이며 공세적인 광역 전자교란을 통해 한반도 주변에서 전장 주도권을 확보할 수 있게 해주며, 잠재적 위협국에 대한 최선의 방어이자 공격이 가능한  무기체계라 판단된다."
전자전기,국방과학기술플러스 Vol.256,[그림 25] 미국 우주군 위성 탑재 재머 개념도[그림 26] 고출력 슈퍼 재머 개념도[그림 28] 원격지원 전자전기(SOJ)개념도[그림 29] 신호정보정찰위성 개념도[그림 27] 미 우주군의 고출력 통신재머적 위성 대응 방안으로 저궤도 위성 및 무인기에 탑재하여 운용되는 재머를 개발하는 방안이 있다.
전자전기,국방과학기술플러스 Vol.256,"중국은 2010년 시안 항공사에서 Y-8 을 대체하기 위한 용도로 Y-9 수송기를 개발하여 공개한 이후, 육·해·공군에서 Y-9을 다양한 용도(수송기, 정찰기, 전자전기 등)로 개조하여 운용중 이다."
전자전기,국방과학기술플러스 Vol.256,그림 28은 원격지원 전자전기의  운용개념을 보여준다.
전자전기,국방과학기술플러스 Vol.256,"또한, 2014년도 이후부터는 중국, 구·소련, 러시아의 무인기를 변형하거나 복제한  모델을 이용한 북한 소형무인기의 침범이 다수 발생하고 있어, 중국의 스텔스 무인기를 이용한 한반도 상공 정찰, 중국의 항공 유인 전자전 무기체계는 한반도주변 에서 자주 목격되고 있는 정찰기와 전자전기로 대표된다."
정찰기,국방과학기술플러스 Vol.256,무인기 테러 사례1) 디코이 이용 신호수집 방해KADIZ를 침범하는 중국 정찰기의 주요 목적은 한반도內 레이더 등 방공망의 신호정보를 수집하는 것으로  추정되고 있다.
정찰기,국방과학기술플러스 Vol.256,"한국은 위성항법 기반 소형 무인정찰기의 접근 및  중요시설 촬영에 대한 방비가 미흡한 상태로써, 이에 대한 대응책이 시급하다."
정찰기,국방과학기술플러스 Vol.256,"해당 개념의 원격운용 디코이는 평시 및 전시에 모두  운용될 수 있으리라 사료되며, 평시에는 중국 정찰기  출현 시 허위 레이더 신호를 송출하여 신호수집을 방해 하거나 오정보 수집을 유도할 수 있으며, 전시에는 주변국 대방사 미사일 대응을 위한 디코이(유인체)로 활용되어 아군 조기경보 레이더 및 지대공 미사일 기지를 보호할 수 있다."
정찰기,국방과학기술플러스 Vol.256,"그림 21은 적 정찰기에 대응하기 위한 위성항법수신기 기만 재머 형상(예)과 기만 재머 예상 위치로써, 해당 재머는 KADIZ 침범 경로주변에 배치되어야할 것이며, 기만  재머의 성능은 정찰기 종류, 접근 거리, 고도, 탑재된 항법수신기 등의 제원에 따라 결정될 수 있으리라 판단된다."
정찰기,국방과학기술플러스 Vol.256,"GNSS 수신기 기만을 통한 정찰기 운항 방해보다 공세적인 방안으로는 중국 정찰기에 사용되는 위성항법장치(GNSS, Global Navigation Satellite System) 수신기를 전자파로 교란하여 정찰기의 운항을 방해하는  방법이 있다."
