용어,설명
거북선의 성능,"거북선은 노와 돛을 혼용하였다. 주로 먼 곳을 항해할 때는 돛을 사용하였으며, 돛대는 뉘었다 세웠다 할 수 있었다. 선봉 돌격선의 임무를 띤 전선으로서 별도로 귀선돌격장(龜船突擊將)이 선장으로 임용되어이순신의 지시에 따라 움직였다. 《충무공행록(忠武公行錄)》에 따르면 거북선은 전투시에 “거적으로 개판(鎧板) 위의 도추를 덮고 맨 먼저 적진에 돌진하였는데, 적병이 배 위에 올라 덤벼들다가는 도추에 찔려서 거꾸러지고, 또 에워싸고 엄습하려 하면 좌우 전후에서 일시에 총을 쏘아 적선이 바다를 덮어 모여들어도 이 배는 그 속을 마음대로 드나들면서 공격하므로, 가는 곳마다 쓰러지지 않는 놈이 없었기 때문에 크고 작은 해전에서 이것으로써 항상 승리를 하였다”고 한다.임진왜란때 거북선의 승조원은 130여 명이었고, 속력은 이순신의 장계에 기록된 항해시간과 거리를 검토해 보면 약 6km 정도로 추정된다. 개판의 재료에 관하여 한국측 문헌에는 판(版)·후판(厚版)을 덮은 것으로 되어 있으나, 일본 문헌에는 철(鐵)이었던 것으로 기록되어 있다. 실제로 거북선은 적의 화시(火矢)나 총환(銃丸)으로는 뚫지 못하는 돌격전선으로서 16세기 어느 나라 전선과도 견줄 수 없는 것이었다.임진왜란 초기에 이 거북선이 불과 3척 정도 건조되었으나, 전란 중에 얼마나 더 건조되었는지는 확실하지 않으며, 이순신 장군의 백의종군(白衣從軍) 중에 칠천량(漆川梁)에서 조선수군이 패전할 때 거의 상실된 것으로 알려지고 있다. 임진왜란이 끝난 후에는 다시 거북선을 건조하여 “여러 진포(鎭浦)에 배속시켰다”고 하였으나, 현재까지 남아 있는 것이 없으며, 1980년 한국 해군에서 거북선을 복원 ·건조하여해군사관학교앞바다에 띄워 두고 있다."
노 [弩],"중국 전국시대에 나타나 한(漢)나라 때 위력을 떨친 이래 각 시대에 걸쳐 무기로 
	사용되었다.
한나라 때 노는 한국에 있는 낙랑군의 왕광묘와 석암리 제212호 분(墳)에서 
	출토되었고, 최근에 중국 본토의 창사[長沙] 등지에서 출토되어 그 모양이 명백하게 
	드러났다. 목제(木製)의 쇠뇌 자루[臂]는 칠(漆)을 하였고 여기에 청동제(靑銅製) 
	기계가 달렸는데, 기계인 노기(弩機)는 곽(郭)·아(牙)·현도(懸刀) 등의 
	부분품으로 이루어졌다. 시위[弦]를 당기는 방법에는 손으로 하는 것과 발로 하는 
	방법의 두 가지가 있었다.
《사기(史記)》의 <소진전(蘇秦傳)>에는 허난[河南]의 한(韓)에서 유행하였다 하며, 
	《오월춘추(吳越春秋)》에서는 후난[湖南]의 초(楚)에서 발명되었다고 쓰여 있다. 
	노를 사용·취급하는 실상(實狀)에 대해서는 산둥무씨사[山東武氏祠]의 
	한대화상석(漢代畵像石)이나 동진(東晉) 고개지(顧愷之)의 
	《여사잠도(女史箴圖)》에서 볼 수 있다. 인도로부터 남방의 만족(蠻族)을 통하여 
	중국 각지에 퍼졌다는 설도 있고, 유럽에서는 일반적으로 동양 계통의 무기로 보고 
	있어 중국으로부터 전래된 것이라고 볼 수도 있다.
한나라에서는 노를 구별하는 데 쏠 수 있는 돌의 수로 표시하였으며, 이에는 
	1석에서 10석까지 8종이 있는데, 이것은 시위 탄력의 한계와 궁신(弓身)의 강도를 
	나타낸 것으로 볼 수 있다. 노는 단궁(短弓)보다는 우수하고, 장궁(長弓)보다는 
	성능이 뒤떨어진다.
그래서 유럽의 100년전쟁 때인 1346년 ‘크레시(Crécy) 전투’에서 증명된 것처럼, 
	후에 화포(火砲)나 소총의 출현으로 무기로서 자취를 감추었다."
"지연신관 [delay fuze, 遲延信管]","포탄용 지연신관의 지연시간은 통상 몇분의 1초 또는 수초에 불과하다. 따라서 이 신관을 대전차철갑탄에 장착할 경우, 포탄이 장갑판에 명중되는 순간에 폭발하지 않고, 장갑판을 뚫고 들어간 후 전차 안에서 폭발하므로 전차의 파괴효과를 높일 수 있다. 또한 견고한 지형이나 암석지대에 사용하면 포탄이 땅속으로 들어가지 못해서 공중으로 튀어오른 후 공중에서 폭발하므로 흩어져 있는 인원에 대한 살상효과를 높일 수도 있다.한편폭탄에 신관을 장치하면 지상에 낙하한 후에도 일정한 시간 동안 폭발하지 않으므로 불발탄으로 오인시킬 수가 있고, 또 불의에 폭발함으로써 공포심을 줄 수도 있다.
현재 사용되고 있는 대전차 철갑탄의 신관은 거의 지연신관이다."
"총검 [bayonet, 銃劍]","대검(帶劍)이라고도 한다. 17세기 초프랑스바욘(Bayonne)에서 처음으로 만들어졌기 
	때문에 바요넷(bayonet)이라고도 한다. 당시 총검은 총구 안에 꽂도록 되어 
	있었으나, 1688년 프랑스 육군에 의해서 총구를 막지 않고 총신에 꽂을 수 있도록 
	개량되었다. 현대의 총검은 필요시에만소총에 꽂도록 된 것과 원래부터 총에 
	장착되어 있는 것이 있으며, 모양도 단검과 같은 모양으로 된 것과 송곳처럼 끝이 
	뾰족하게 만들어진 것이 있다.
원래부터 총검은 총에 꽂아서 사용하게 되어 있으나, 좁은 참호 속에서백병전, 
	은밀하게 활동하는 유격전 등에서는 총검만을 사용해서 격투를 하는 경우도 있다. 
	오늘날 전투에서는 백병전이 수행되는 경우가 매우 적으나, 소총은 여전히 총검을 
	꽂을 수 있도록 만들어져 있으며, 모든 군대가 총검을 제식무기로 채택하고 있다. 
	그리고 많은 국가에서는 의장행사(儀仗行事) 때 군대의 위용을 갖추기 위한 수단으로 
	착검하는 것을 상례로 하고 있다."
바주카포 [bazooka],"일반적으로 로켓포라고도 한다.구경5.9cm,8.9cm등이 있다.제2차 세계대전중에 
	미국에서 개발되어 1942년 북아프리카 상륙작전에 처음으로 사용되었다. 6 ·25전쟁 
	때 미군이 사용하였다. 포신의 앞부분이 당시 희극배우B.번스가 사용한 나팔과 
	비슷하여 명명되었다.
경금속체의 원통으로 된 발사통(포신)과, 조준기구 및 방아쇠로 구성된 간단하고 
	가벼운 화기로, 병사 한 사람이 어깨에 얹어서 조준 ·발사한다. 탄알은 
	성형작약(成形炸藥)에 탄저신관(彈底信管)을 사용하며, 탄체에 추진화약을 내장해서 
	스스로 추진하도록 되어 있으므로 반동이 없다. 탄알이 명중하면 전차의 
	장갑(裝甲)에 구멍을 뚫고 내부의 인원과 장비를 살상 ·파괴한다. 유효 사정거리가 
	짧아, 근거리에서 사격해야 하며, 일단 발사하면 로켓의 분사화염(噴射火焰)으로 
	인해서 위치가 노출되므로, 1발에 명중시키지 못할 때는 역습을 받기 쉽다."
레드스톤미사일 [Redstone missile],"1958년에 실용화되어 한때 유럽에 배치되었으나,고체연료를 사용하는 퍼싱미사일로 
	교체되었다. 사정거리 약 320km이며,핵탄두를 장착하고 있다. 미국의 장거리 
	미사일이나 위성발사 로켓의 원조가 되었다. 중거리탄도탄(Intermediate Range 
	Ballistic Missile:IRBM) 주피터나 미국 제1호 위성 익스플로러 1호도 레드스톤을 
	기본으로 한부스터를 사용하였다."
"M16소총 [M16 rifle, ─十六小銃]","1957년에 개발되어 1967년에 미국 육군의 제식총(制式銃)으로 채택되었다.구경5.56mm,무게 2.9kg,길이 99cm,최대사거리 2,653m,유효사거리 460m,최대발사속도 분당 700∼800발. 특징은 구경이 5.56mm에 불과하다는 점이다. 따라서, 무거운 소총을 휴대할 때에 비해서 다량의 탄약을 개인이 휴대할 수 있도록 고려된 것이다.
베트남전쟁에서 사용된 대표적인 소총으로, 미국 외에도 한국을 비롯한 여러 나라에서 제식소총으로 채택하고 있다."
사조구 [四爪鉤],임진왜란때수군통제사(水軍統制使)이순신(李舜臣)이 만들었다고 한다. 이 무기는 배의 닻의 형상을 모방하여 만든 것으로서 네 개의 갈고리는 적선(敵船)을 끌어당기는 데 매우 효과적이었다.
민스크 항공모함 [Minsk aircraft carrier],"키예프급(級) 항공모함의 제2호함으로 1978년에 취역하였다.수직이착륙기를 탑재하므로 비교적 소형으로도 종래의 항공모함 임무를 수행할 수 있고, 제작비와 운영비가 저렴하여 새로운 항공모함으로 주목을 받게 되었다.블라디보스토크의 극동함대에 배치되어 임무를 수행하다가 1993년 6월 30일 퇴역하였으며, 2000년부터 중국 선전(深圳) 시의 군사테마파크인 민스크 월드(Minsk World)에서 전시되고 있다."
"잠수함 [submarine, 潛水艦]","소형은 잠수정 또는 잠항정이라고 하며, 잠수정이나 잠수함이 아닌 모든군함을 수상함이라고 한다. 잠수함은 바닷속을 운항하여 표적물에 접근하여 공격목표로 선택한 때와 장소에서 공격을 가한다. 하지만 해수면으로 부상(浮上) 중에는노출되어 적의 공격에 취약하다. 초기 잠수함(잠항정)은 소형이고, 항양성(航洋性)과 항속력(航續力) 및 수상항주 때 속력이 거의 없어, 다만 잠수할 수 있는 성질을 가졌다 하여 영어로는'submarīne'이라고 하였다.
초기 잠수함은 주로항만의 방어나 국지용으로 사용되었다. 제1차 세계대전이 시작되기 수년 전부터 디젤기관이 발달함에 따라 수상에서 항속력이 급격히 향상되어, 작전해역에 진출할 때까지는 수상에서 항해하고, 공격목표를 발견하였을 때는 잠항해서 표적을 공격하는 가잠함(可潛艦:submersible)으로 발전하였다. 두 차례의 세계대전을 통해서 활동한 거의 모든 잠수함은 가잠함이었다. 그후 제2차 세계대전 말기에 원양 작전용의 수중고속잠수함이나스노클이 보급되고, 특히 대전 후에 원자력이 잠수함에 도입됨으로써 잠수함의 시대가 열렸다."
언월도 [偃月刀],"칼날의 모양이 초승달 같은 데서 연유한 이름이다. 길이 약 2.1m,칼날의 길이 78cm,자루는 130cm정도이다. 칼날은 위가 넓고 끝이 뾰족하며 뒤로 
	젖혀져 있고 칼등은 두 갈래로 되어 아래 갈래에 구멍을 뚫어서 삭모(槊毛:붉은 빛깔의 
	가는 털)를 달고 밑에는용의 아가리를 물리었다. 칼자루는 붉은 칠을 하여 끝에 12cm정도의 물미(끝이 뾰족한 쇠)를 맞추었다."
토카레프,"제2차 세계대전에서 구소련군이 사용한권총으로써 보통 1933년 구소련군이 제식 채용한 TT-33을 가리킨다. 미국의 M1911을 모방하여 툴라 조병창 주임기술자 토가레프(Tokarev, Fedor)가 설계하였다. TT는 툴라 토가레프(Tula-Tokarev)의 머리글자이며 6·25전쟁에서 TT-33을 사용한 북한군은 떼떼권총이라고 불렀다.구소련은 1930년 토가레프 TT-30을 제식 채용하였고 1933년 초 TT-30을 대량 생산하기 쉽도록 개량한 TT-33이 개발되었다. TT-33은 1941년 7월 22일까지 약 60만정 생산되어 구소련군장교와 부사관들에게 지급되었다. 제2차 세계대전 기간에는 더 많은 수가 생산되어 구소련군의 주력 권총으로 사용되었다.7.62×25㎜탄을 사용하며총신길이는 116㎜,강선은 사조우선(四條右線)이다. 8발탄창을 사용하여 장탄수는 9발, 총구속도는 420m로써 매우 빠르다. 총구속도가 빨라 다른 권총과 비교하여 관통력이 세지만 살상력은 상대적으로 약한 편이다. 가장 큰 특징은 대량 생산을 위해 안전장치를 없앴다는 점이다. 다만 일부 수출형과 라이선스생산형은 수동식 안전장치를 설치하였다.
1940년대 후반부터바르샤바조약기구를 비롯한 많은 친소(親蘇) 국가들에 보급되었다. 구소련군은 1960년대까지 TT-33을 사용하였다.베트남전쟁에서는 북베트남군과베트콩이 중국이 라이선스생산한 54식을 주력 권총으로 사용하였다. 북한도 TT-33 개량형을 68식이라는 이름으로 라이선스생산하여 제식 권총으로 장비하고 있다."
스노클 [snorkel],"잠항(潛航) 중인 잠수함의 디젤기관을 운전하기 위해서 흡입관과 배기관을 해상에 
	내밀어, 해상의 공기를 빨아들이고 배기가스를 밖으로 내보내는 장치이다. 원래 
	네덜란드 해군이 발명한 것을 제2차 세계대전 중 독일이 네덜란드를 점령하면서 
	이것을 취득·개량해서 실용화하였다. 영국에서는 스노트(snort), 독일에서는 
	슈노르헬(Schnorchel)이라 한다.
제2차 세계대전까지 잠수함은 해상에 부상(浮上)해서 항해할 때에는 디젤기관으로 
	추진하고, 잠항 중에는축전지로 전동기를 돌려서 추진하였으므로 축전지를 충전하기 
	위해서 야간에는 부상해야 했다.1943년경부터 연합군 대잠병력이 강화되고레이더가 
	발달하면서 잠수함이 부상하기가 어렵고, 잠항 중의 동력원인 축전지만으로는 속력·항속력이 제한받는다는 이유 때문에 잠항 중에 공기를 흡입해서 디젤기관을 
	가동시켜 그 동력으로 축전지를 충전, 수중에서의 추진도 디젤기관으로 할 수 있게 
	할 필요 때문에 개발되었다. 오늘날 여러원자력잠수함에 장기간 잠항하기 위해서 
	환기용으로 장착된다. 스노클이라는 용어는 스쿠버 잠수기인 아쿠아렁의 한 부속기구를 
	뜻하기도 한다."
"무인비행기 [remotely piloted vehicle, 無人飛行機]","무인기(無人機)라고도 한다. 종래에는 주로 정찰 ·표적용으로만 사용되어 왔으나 
	근래에는 후방에 있는 조종사의 전파 ·광선을 이용한 원격조정으로 정찰 ·폭격 
	·공중전 등 모든 공중활동을 한다. 따라서 조종사의 눈 구실을 하는 카메라를 
	비롯한 각종 전자장치를 탑재하고 있다.‘닉슨 독트린’에 의해 해외병력을 가능한 한 철수하여 자국 병력의 피해를 
	최소한으로 막으면서, 동시에 우방국에 대한 방위공약을 준수할 목적으로 
	무인비행기의 연구 개발이 추진되었다.
1965년 미국은 중국 본토 정찰, 베트남전쟁 말기에하노이·하이퐁지역의 정찰에 
	무인비행기를 사용하였다. 제4차 중동전에도 이스라엘이 전차 기만용(欺瞞用)으로 
	사용하였다. 오늘날에는 전자광학의 발달로 정찰뿐 아니라 공대지 ·공대공 공격 
	등에 응용을 고려하고 있다.대표적인 것으로 미국의 AQM-34, 영국 ·캐나다 ·독일 등의 CI-89, 이스라엘의 
	스카웃 등이 있다."
미니트맨 [Minuteman],"종류는 I ·II·III형이 있으며, 미국의 핵전력 중에서 중추적인 위치를 차지한다. 
	1958년부터보잉항공사(社)가 개발을 착수하여 1961년 2월플로리다주(州) 
	케이프커내버럴 실험에서 약 6,400km를 나는 데 성공하였다. 1962년 지하 
	사일로로부터 발사에 성공하여 7월부터 실전에 배치되었다.아틀라스·타이탄등과 
	같은 초기ICBM은액체연료를 사용하였기 때문에 발사준비에 많은 시간이 소비되고, 
	발사에 실패하는 경우도 있었다. 이러한 결점을 없애기 위해고체연료로 전환이 
	요구되어, 개발된 것이미니트맨이다.
1962년에 배치된 것이 I형(LGM30A)이고, 개량형인II형(LGM30F)은 1966년부터 
	배치되었으며, 1970년에 새로 개량된III형(LGM30G)이 제작되면서 기존의 I ·II형과 
	교체되었다.III형은 길이 18.2m,무게 34.5t,사정거리 1만 1250km에 이른다."
B-2 [Spirits],"노스럽그러먼이 스텔스 기술을 최대한으로 응용하여 개발한 장거리 전략 폭격기이다. 애칭은 스피릿(Sprits)이다. 1987년 7월에 최초의 시험 비행이 실시되었다. 1993년 12월에 14대의B-2가 최초로미주리주의 화이트맨 공군기지의 작전 항공대에 배치되었다. 전체 형태는 전익(全翼·無尾翼)형의부메랑모양이다.B-2 전략폭격기가 개발된 배경은 구소련의 방공망을 뚫고 침투가 가능한 폭격기를 개발하기 위함이었다.B-2는 몰래 조용히 적진을 침투하기 위한 최적의 폭격기로 개발되었다.
복합재(複合材)로 만들어진 특수한 형태의 동체와 전파를 흡수하는 외면 도장(塗裝)에 의하여 전파 반사율이B-52폭격기의 100분의 1밖에 되지 않아 레이더 망에는 중간 크기의 새 정도로 파악된다. 레이더에 탐지되지 않는 '보이지 않는 폭격기'로 적의 레이더망을 피하여 적진 깊숙이 침투할 수 있다. 또,항속거리가 6,000마일에 이르고 16톤 가량의 폭탄 및 미사일을 적재하고 수 시간 내에 도달할 수 있는 능력을 갖추고 있다.
고도 5만 피트에서 공격임무을 수행할 수 있고, 위성의 관제를 받으면서 비행하고 1,500마일의 사정거리를 가진 순항미사일을 발사하여 정확하게 목표를 명중시키는 능력을 보유하고 있다.B-2는 4만 파운드까지의 정밀유도 무기, 중력폭탄, 다양한 해상 무기형태로 된 재래식 및 핵무기를 적재할 수 있다. 이 모든 무기는 동체 중앙 내부에 있는 2개의 분리된 무기고에 장착되어 있다. 각 무기고에는 1개의 회전식 발사대와 2개의 폭탄 적재대가 있다.
미국 공군의 평가보고서에 따르면, 정밀무기로 무장한 2대의B-2기는 스텔스 기술이 적용되지 않은 재래식 항공기 75대분의 역할을 하는 것으로 되어 있다. 이것은 132명의 공군요원의 몫을 단 4명의 승무원이 수행할 수 있다는 뜻이다. 승무원은 보통 2명이 탑승하는데, 특수 임무를 수행하기 위하여 커맨더나 인스트럭터가 1명 더 탑승할 수 있다. 조종사는 간단한 3개의 스위치 조작을 통하여 이륙 모드, 전투 모드, 착륙 모드에 부합되는 비행과 임무 장비의 최적의 선택을 할 수 있다. 구소련의 체재가 무너지자 1999년 말까지 단 21대만의B-2가 생산되어 미국 공군에 인도되었다. 1999년 나토의 일원으로 세르비아를 공격하는 실전에 처음 투입되었다. 당시 대당 가격은 21억 달러였다."
"전차상륙함 [LST(landing ship tank), 戰車上陸艦]","제2차 세계대전중인 1942년 첫 함(艦)이 개발되어 사용되었다. 북아프리카 ·노르망디·태평양 등 여러 전쟁에서상륙작전에 사용되었고,베트남전쟁에서도 수송함으로 비중있게 사용되었다. 전쟁을 거치면서 여러 개량형이 건조되어 크기와 성능에 차이가 있으며,배수량은 화물만재시 4,000∼6,000 t에 이르고 10~15 kn의 속력을 낼 수 있었다. 또한 원양(遠洋) 항행능력을 가져었다. 
	이후 상륙함은 다양한 형태로 개발되었으며 보다 많은 전차 ·차량 ·물자 ·인원 등을 탑재하기 위해 선박의 크기는 대형화 되었다. 또한 수심이 얕은 해변에도 접안할 수 있는 조건을 만족시켜야 했다. 육지에 접안하면선수를 좌우로 열고, 다리를 내려서 탑재인원과 물자를 차량에 실은 채로 양륙한다. 접안 및 양륙을 위해서 닻(anchor)이 함미에 있는 것이 특징이다. 오늘날 미국을 비롯한 선진국에서는 보다 개량된 형태와 성능을 지닌 상륙함이 개발되어 운용되고 있으며 대한민국에서도 2차대전 당시 사용되었던 미국제 함을 도입하여 운용하였다가 자체 개발한 성인봉함(4,300톤) 등 약 4척의 상륙함을 운용하고 있으며 앞으로 헬리콥터를 탑재할 수 있는 차세대 상륙함(LST-Ⅱ)을 개발하여 운용할 예정이다."
"지대지미사일 [surface-to-surface missile, 地對地─]","전술용 지대지미사일에는미국의 토우,러시아의 AT-2 스윗타, 영국의 스윙파이어 
	등과 같은 소형의 대전차 미사일을 비롯하여 미 육군의 퍼싱·서전트, 러시아 
	육군의 샤이스터 등의 지상군용 지대지미사일과, 미국 해군의 시랜드, 러시아 
	해군의 스틱스,프랑스해군의 에그소세 등의 함재미사일 등이 포함된다. 또한 
	미국의 타이탄 ·미니트맨, 러시아의 SS-9 스카프·SS-11 서베이지 등 대륙간 
	탄도미사일은 전략적 지대지미사일의 대표적인 것이다."
장보고함 [張保皐艦],"1982년부터 잠수함 사업을 본격화하면서 독일에서 도입한 것으로, 1993년 6월 2일 실전에 배치되었다. 독일 HDW사 제작의 209형(1,200t급)으로 길이 56m, 너비 6.25m, 높이 5.5m, 속도는 수상 11kn, 잠항시 22kn이다. 최대 항적거리 7,500마일(수상 8kn 속도)에어뢰8문(21인치), AEG 미사일 14기,기뢰28기 외에 첨단 음향탐지기 등 각종전자전장비를 갖추고 있다. 승무원수는 33명으로, 특히 잠수함 작전의 중요 요소인 소음 수준이 아주 낮아 북한이 보유한 25척의 위스키(Whisky)급, 로미오(Romeo)급 잠수함보다 여러 가지 성능면에서 우수한 것으로 평가되고 있다."
"폴라리스잠수함 [Polaris submarine, ─潛水艦]","탄도미사일이 가지는 방어 돌파성,핵무기가 가지는 대파괴력, 원자력잠수함의 
	은밀한 기동성 등이 결합된 전략무기체계이다. 수중배수량 8,000t 내외, 
	누적형선체(淚滴形船體:teardrop)에 원자력기관을 장비, 수중에서 최대속력 시속 
	60km, 시속 40km의 속력으로 1만 km를 항속할 수 있으며, Mt급 탄도미사일 16기를 
	탑재한다.
1960년 7월 20일 제1함 ‘조지워싱턴호(號)’가 30m 수중에서 폴라리스 A1형 미사일 
	발사실험에 성공한 후, 11월부터 배치되었다. 67년 4월 ‘월러저스호’가 
	취역함으로써 폴라리스잠수함 41척, 폴라리스 탄도미사일 656기의 폴라리스체계가 
	완성되었다. 그 후 폴라리스 미사일은 A2형 ·A3형을 거쳐 포세이돈 미사일로 
	개량되었고,대륙간탄도미사일(intercontinental ballistic missile:ICBM)인 
	미니트맨 및 전략폭격기와 함께 미국 전략억제력 3대 지주의 하나였으나, 그 
	중에서도 은밀성 ·기동성면에서 가장 뛰어난 핵무기체제로 평가된다. 영국 
	·프랑스에서도 이러한 종류의 잠수함 4∼5척을 보유하고 있으며, 러시아는 60년대 
	말부터 같은 종류에 속하는 Y형 잠수함을 건조하기 시작하여 현재 34척을 보유하고 
	있다.
오늘날 미국은 사정거리 8,000km의 신형 탄도미사일을 탑재한 트라이던트 잠수함을 
	건조하였으며, 러시아도 이것에 상당하는 D형 잠수함을 보유하고 있다."
MP5 [Machine Pistol 5],"독일 헤클러 & 코흐가 1960년대에 
	실용화한 기관단총이다. 개발사 특유의 총기 분류방법에 따라 HK54라고도 한다. HK는 헤클러 & 코흐의 머리글자이며 54에서 5는 기관단총, 4는 9×19㎜권총탄을 사용한다는 뜻이다. 세계 최고의 기관단총이라는 평가를 받으며 독일을 비롯한 세계의 많은 특수부대에서 채용하였다. 한국군과 경찰 특수부대도 사용하고 있다.
MP5는 독일 육군이 제식 채용하였던 돌격소총 HK31(G3)을 이용하여 개발하였다. 헤클러 & 코흐사는 1950년대 시제품을 완성하고 1964년 HK54(HK MP-54)라는 이름을 붙였다. 1966년 중반 독일국경경비대의 시험을 통과하면서 MP(Maschinepistole;기관권총)5로 제품화됨과 동시에 독일 경찰과 국경경비대가 MP5와 MP5A1을 채용하였다.
MP5가 유명해진 계기는 1977년 10월 17일소말리아모가디슈국제공항에서 벌어진 독일 루프트한자항공 소속보잉 707여객기납치사건이었다. 납치범들에게 인질로 붙잡힌 승무원·승객들을 구출하기 위해 투입된 독일의 대테러부대 GSG9(Greszschutzgruppe９;국경경비대 제9반)가 MP5를 사용하여 납치범들을 진압하면서 GSG9와 함께 MP5도 세계 특수부대의 관심을 모았다.
모두 120종 이상의 모델이 개발된 MP5 시리즈는 1970년대 초부터 미국에 수출되기 시작하였다. 미군의델타포스와 씰(SEAL), 스와트(SWAT),FBI등이 사용하고 있다. 독일과 미국 외에 특수부대를 중심으로 50개 나라 이상의 군대와 경찰이 채용하였다."
He 100 [Heinkel 100],"He100은He112 보다 번호가 빠르지만 실제로는Hw112 이후에 개발된 기체이다.RLM이 1935년 실시한 전투기 심사에서He112가Bf 109에 패한 후 하인켈사(社)가Bf109를 
	능가하는 전투기를 목표로 만든 기체가He100이다. 시제 1호기He100 V1은 1938년 
	1월 22일에 처녀비행 하였다.
이 기체는 주 날개 표면을 사용한 증기냉각방식을 채용, 
	공기저항을 최소화한 디자인으로Bf109를 능가하는 빠른 속도를 발휘하였다. 또한 
	단시간에 1,800마력을 뿜어내는 개조형DB601을 탑재한He100 V8은 1939년 3월 30일 
	시속 746.6km라는 세계속도기록을 갱신하였다. 나치는 이것을He112U에 의한 기록이라 
	하며 선전에 이용하였다.
고성능임에도 불구하고He100 정식 채용이 늦어졌기 때문에 하인켈사는 자비로 대량 생산형인He100D-0를 3기, 대량 생산형인He100D-1을 12기 제작하였으나 결국 채용되지 않았다. 
	시제기 8기 중 6기는 소련에D-0중 1기는 일본에 매각되었다. 나머지는He113이 대량생산되어 
	실전 배치되었다는 나치의 선전에 이용되었다."
독일 2호 전차,"제2차세계대전 당시 독일군이 보유한 1호전차가 7.92mm기관총밖에 무장하지 않았기 
	때문에 전선에서 어려움이 예상되자 독일 1호 전차를 보좌할 목적으로 개발된 전차이다. 1934년 독일 1호 전차 A형의 생산 개시와 함께 2호 
	전차 개발이 결정되었다. 차량의 포탑에는 20mm의KwK30 기관포가 설치되었고 7.92mm기관총으로 무장하여 화력은 
	1호 전차를 능가했다. 하지만 장갑판은 1호 전차와 마찬가지 여서 적의 공격에 매우 
	취약하였다.  a2형 25대, a3형 등 개량형이 속속 개발되었고 1937년 2월까지 생산되었다. 1937년 3월부터 생산에 들어간 c형에서야 비로소 기본 모양이 갖추어졌다. c형에서 C형까지 1113대가 생산되었고, 계속해서D,E형이 1939년까지 43대가 생산되었다. F형은 1941~1942년에 걸쳐 524대가, 속도가 향상된 G형은 12대가, 장갑판이 강화된 J형은 22대가 생산되었다."
BT-5 고속전차,"T-26과BT전차에 탑재할 목적으로 45mm포 장착의 신형 포탑 개발이 시작된 1932년, 이 신형 포탑을 탑재한BT전차를BT-5로 불렀다. 생산이 시작된 직후에 포탑 후부가 대형화되는 등 개량형 포탑이 개발되었기 때문에 초기 생산 차량 이외에는 이 개량형 포탑을 탑재해서 완성했다.1933년부터 개발이 시작되어 1934년까지 1884대가 생산되었는데, 후기 생산 차량에서는 후부에 설치된 대형 배기 머플러는 없어지고 기관실에서 직접 배기관이 돌출한 형태로 수정되었다. 차체는BT-2보다 세련된 스타일로 바뀌었지만, 현가장치는BT-2와 동일했다.파생형으로는BT-5UT가 있고, 76.2mm야포를 45mm로 바꿔 장착한 근접 지원형BT-5 A와 화염방사기를 장착한 화염방사기형이 제작되었는데, 시험 제작으로 끝났다.또한,BT-5에 슈노켈 등을 장착한 잠수 전차가 제작되어 1935년경에 생산되었다."
순항전차 MK6 [Crusader MK6(A15)],"1938년부터 개발 요구가 나온 A13을 지원하는 순항전차로 계획되어 개발된 전차이다. 4종의 개발안 중에서 A13MK3을 기본으로 확대 개량한다는 조건으로 A15 안이 채택되어 개발되었다.A13MK3를 기본으로 했기 때문에 전체 모양은 가버넌트와 유사했는데, 포탑 등은 그대로 유용되었다. 엔진만은 리버티 엔진으로 교체되었다. 또한, 전면부의 라디에이터의 배치도 수정되었기 때문에 차체는 30mm정도 연장되어 전륜이 1조씩 증가했다. 하지만 엔진은 변함없이 과열하는 경우가 많았고, 트랜스미션을 중심으로 기계적인 결함이 자주 발생했다.1939년 7월부터 1943년까지 5300대가 생산되어 북아프리카를 주 전장으로 튀니지 전 종료 시까지 제일선에서 활약했다.2파운드 포탑 적재의MK1/2, 3인치 유탄포 탑재의Mk및MKCS,6파운드 포로 교체한MK3dl주요 생산 모델이었다. 그 밖에 20mm연장포나 40mm기관포를 탑재한 대공형, 차체만을 유용한 포 견인차, 회수차, 지뢰 처리차 등 많은 파생형이 제작되었다."
독일 3호 전차,"1호와 2호 전차를 만든 경험을 살려, 주력전차로 개발한 중전차가 3호 전차이다.1937년에ZW/1로써 10대가 발주되어 A형이라는 명칭이 부여되었다. 궤도는 독립한 코일 스프링을 제거하고 5조의 중구경 전륜이 각각 배치되었고, 차체 상부에 놓인 포탑에는 3.7cm포와 동축 기관총 2정이 장착되었다. 같은 해에 15대가 생산된 B형은 상부 전륜이 하나 늘어나 서스펜션이 향상되었고, 1937에서 1938년 사이에 생산된 C형은 서스펜션이 더욱 향상되었다. 1938년에는 D형 30대가, 1938년부터 1939년 사이에 E형이 96대가 생산되었다. E형은 15mm였던 장갑판을 30mm로 강화했고, 3.7cm포를 42구경 5cm포로 바꿨다.더욱 개량된 F형이 435대, G형이 600대 생산되었는데, E형과 크게 다르지 않았다. 계속해서 H형, J형, L형, M형, N형이 생산되었고, 지휘전차형과 화염방사형 등 파생형이 등장하기도 했다."
