기사제목,기사내용
"한국조선해양, 필리핀 원해경비함 6척 수주...7449억원 규모","[국방신문=오동준 기자] 한국조선해양이 필리핀 정부로부터 7449억원 규모의 원해(遠海)경비함(OPV) 6척을 수주하는 데 성공했다.
한국조선해양은 27일 필리핀 국방부와 마닐라 청사에서 2400t급 원해경비함 6척에 대해 건조계약을 체결했다고 밝혔다.
이번에 수주된 원해경비함은 길이 94.4m에 폭 14.3m로 최대속력 22노트(시속 약41km), 순항속력 15노트(시속 약 28km)의 성능을 낼 수 있다.
또 항속거리가 5500해리(약 1만190km)에 달해 장시간 작전 수행이 가능하다.
이와 함께 76mm 함포 1문과 30mm 부포 2문이 탑재됐으며, 헬리데크를 보유하고 있어 헬기와 무인기 운용능력도 갖췄다.
함정은 울산 현대중공업에서 건조해 2028년까지 인도할 예정이다.
이번 계약은 필리핀에 인도한 호위함 건조 경험을 바탕으로 필리핀 측의 요구를 반영해 수주한 맞춤형 계약인 것으로 전해졌다.
앞서 2016년 현대중공업은 필리핀 국방부로부터 호위함 2척을 수주해 최근 인도한 바 있다.
남상훈 현대중공업 특수선사업본부장은 “세계 시장 수요를 파악해 다양한 유형의 함정을 개발하고 수출한 경험이 결실을 맺었다”며 “앞으로도 사업 다각화 전략과 함께 연구개발에 대한 집중적인 투자를 통해 기술 중심으로 신시장을 선도할 것”이라고 말했다.
이날 현대중공업은 지난해 2월과 2020년 5월에 인도한 필리핀 호위함 2척에 대한 수명주기지원(MRO) 사업 계약도 체결했다.
"
"방사청, 방산업체 기술보호 역량 강화 나서...맞춤형 교육 실시","[국방신문=오동준 기자] 최근 전 세계적으로 방산기술 유출사고가 증가하는 것에 따라 방위사업청이 방산업체의 기술보호 역량 강화에 나섰다.
방사청은 ‘2022년 방위산업기술보호 교육’을 27일부터 분야별 맞춤형으로 운영하겠다고 이날 밝혔다.
방사청은 “기술유출 방지를 위해선 물리적인 보호체계 구축도 필요하지만 개개인의 보호인식이 더욱 중요하다”며 이번 교육의 취지를 설명했다.
교육은 방산기술 취급자와 일반 직원을 대상으로 하는 방문자 교육, 기술보호 책임자 교육, 전산보안 교육, 중소 협력업체 대상 교육과정 등 4가지 분야로 나뉜다.
특히 올해부터 신설된 전산보안 교육은 재택근무 증가와 악성메일의 정보보호체계 침해가 늘어나는 추세에서 시의적절한 교육으로 평가받는다.
교육은 이날부터 안양의 삼양화학 연구소를 시작으로 경기·대전·창원·광주 등 방산업체가 있는 지역을 찾아가는 현장교육 형태로 50회 이상 진행될 예정이다.
이와 함께 나라배움터를 통한 온라인 교육도 병행한다.
이영빈 방사청 국방기술보호국장은 “기술보호는 정부의 노력만으로 완성되는 것은 아니고, 기업 임직원 모두의 관심과 예방 활동이 필요한 분야”라며 “기업이 자율적인 기술보호경영을 할 수 있도록 지원을 아끼지 않을 방침”이라고 밝혔다."
"이종섭 국방 “방산, 국가전략산업 육성...수출 확대 걸림돌 치울 것”","[국방신문=오동준 기자] 이종섭 국방부 장관은 17일 국내 방산업체 최고경영자(CEO)들과 만나 “국방부는 걸림돌을 제거하는 등 수출 확대를 적극 지원할 것”이라고 약속했다.
이 장관은 이날 육군회관에서 열린 제8회 ‘방산업체 CEO 간담회’를 주관하며 “대통령도 방위산업을 국가전략산업으로 육성하려는 의지가 크고 방위산업이 미래 대한민국의 먹거리 산업이 될 것”이라고 밝혔다.
이 장관은 “축구에 비유하면 이 자리에 계신 분들은 주전선수고, 국방부는 뒤에서 열심히 물을 떠 나르고 수건 나르면서 걸림돌을 제거하는 역할”이라고 비유했다.
그러면서 지난 10일부터 12일 싱가포르에서 열린 아시아안보회의(샹그릴라 대화)를 언급하며 “여러 국가에서 대한민국 방산업체에 대한 평가가 굉장히 좋았다”며 “여러 국가가 제안해오고 있어서 상당히 고무적”이라고 말했다.
이번 간담회는 국정과제인 ‘첨단전력 건설과 방산수출 확대의 선순환 구조 마련’ 추진을 위한 업계 의견을 청취하기 위해 마련됐다.
이 자리를 통해 방산업체들은 주요 방산수출 사업에 대한 정부 차원의 관심과 지원을 요청했다.
또 방산수출 허가제도 개선, 수출 경쟁력 강화를 위한 방산 인프라 확충 등을 제안했다.
김유진 한국방위산업진흥회장은 “경제·안보적 격변의 시기이자 기회의 시기에 적극적인 정책·외교·금융지원과 정부 및 업체의 다각적인 공동 노력이 필요하다”며 “하나의 목표를 향해 나간다면 앞으로 방위산업은 경제성장을 견인하는 미래 핵심 산업으로 발전할 것”이라고 밝혔다.
이날 간담회엔 국내 방위산업 분야 대기업, 중견·중소기업, 협회 관계자 등 20여 명이 참석했다."
"한화디펜스, ‘레드백’ 앞세워 유럽시장 공략...유로사토리 참가","[국방신문=양기반 기자] 한화디펜스가 유럽에서 처음으로 레드백 장갑차 실물을 선보이며 시장공략에 들어갔다.
한화디펜스는 6월 13일부터 17일(현지시간)까지 프랑스 파리에서 열리는 국제 방산전시회 ‘유로사토리(Eurosatory) 2022’에 참가한다고 13일 밝혔다.
유로사토리는 프랑스 국방부와 지상장비협회가 2년마다 주최해 전 세계 1800여 개의 방산기업과 5만7000여 명의 관람객이 찾는 유럽 최대 규모 국제 방산전시회다.
이번 전시회는 레드백 장갑차가 유럽에 첫 실물을 보이는 자리다.
레드백은 지난해 호주 육군의 최종 시험평가를 성공적으로 마치고, 지난달 국내에서 육군 시범운용을 했었다.
레드백은 호주 육군의 보병전투장갑차 도입을 위한 ‘LAND 400’ 3단계 사업의 최종 2개 후보 중 하나로 올라있는 상태다.
한화디펜스에 따르면 러시아의 우크라이나 침공 이후 유럽 각국에선 험지 돌파 능력이 뛰어난 궤도형 장갑차 등에 대한 관심이 커지고 있다.
레드백은 이런 관심 동향에 부합하는 최신 보병전투장갑차로, 적의 대전차 미사일 공격을 먼저 감지하고 무력화시킬 수 있는 ‘능동방어 시스템’까지 갖춘 것으로 알려져 있다.
이와 함께 한화디펜스는 K9 자주포, 타이곤 차륜형 장갑차, K21 장갑차, 비호-Ⅱ 방공시스템 등을 전시한다.
특히 이번 전시회에서 K9A2 형상이 첫 공개된다.
K9A2는 국방과학연구소와 개발 중인 K9 자주포의 최신 업그레이드 모델이다.
자동화포탑의 탑재로 분당 발사속도는 늘리면서 탑승병력은 줄일 수 있는 것이 강점이다.
한화디펜스는 영국의 MFP(Mobile Fires Platform) 자주포 획득 사업에 자동화포탑, 복합소재 고무궤도, 원격사격통제체계 등이 적용된 K9A2 모델을 제안할 계획이다.
앞서 한화디펜스는 지난 4월 27일~28일 창원사업장에서 노르웨이, 핀란드 등 K9 자주포 도입 국가들의 교류의 장인 ‘K9 유저클럽(User Club)’ 첫 행사를 개최해 K9 자주포의 운용성과 신뢰성 강화, 상호 협력 및 지원 방안을 모색했으며, 개발 중인 K9A2 고반응화포 플랫폼 견학 프로그램을 진행했다.
손재일 한화디펜스 대표는 “세계 각국 고객들에게 레드백, K9 자주포를 비롯한 한화디펜스의 경쟁력 있는 제품·솔루션을 적극적으로 마케팅해 K-방산 수출을 선도해 나갈 것”이라고 말했다."
'명품' K2 전차 폴란드·노르웨이 수출 청신호…5조원 육박,"[국방신문=윤석진 기자] 국산 명품 무기로 꼽히는 K2 전차의 폴란드와 노르웨이에 대규모 수출 청신호가 켜졌다.
8일 정부와 K2 생산 업체인 현대로템 등에 따르면 최근 방한했던 마리우슈 부아쉬착 폴란드 국방장관이 지난달 31일 현대로템 창원공장을 방문해 K2 전차 180대 생산을 요청한 것으로 확인됐다.
정부 관계자는 “폴란드에서 긴급사유로 빨리 만들어달라는 요청을 하면서 폴란드 당국과 현대로템이 K2 전차 180대 구매를 협의했다”며 “계약금액은 3조원 플러스 알파(α) 수준으로 이대로 추진될 것”이라고 설명했다.
폴란드는 6개월여 전부터 K2 전차 구매에 관심을 기울이다 지난달 말 부아쉬착 국방장관의 방한 이후 그 규모를 기존 협상 내용과 비교해 크게 늘렸다.
폴란드는 국경을 맞대고 있는 우크라이나가 러시아의 침공으로 100일 넘게 전쟁을 벌이면서 당초 구매 계획보다 그 대수를 크게 늘린 것으로 알려졌다.
또 다른 정부 관계자는 “폴란드로 (K2 전차)수출 건은 작년 말부터 가시화됐다”며 “결정권자인 국방장관이 한국에 와서 직접 본 뒤 결정한 것으로 안다”고 말했다.
그러면서 “설계와 시험평가를 하는 데 보통 10개월 이상 걸리는 만큼 폴란드 당국이 빨리 생산해줄 것을 요청했다”고 덧붙였다.
폴란드는 주력 무기가 아직까지 옛 소련제이나, 전차는 최근 주로 미국과 독일제를 구매해 써왔다.
폴란드는 이미 미국산 M1에이브럼스 250대를 구매해 사용 중이다.
폴란드는 차세대 전차로 K2와 독일의 레오파르트2를 놓고 저울질을 하다 성능과 가격은 물론 납기일까지 고려해 K2 쪽으로 기운 것으로 전해졌다.
이종섭 국방장관은 이와 관련 폴란드의 부아쉬착 국방장관과 지난달 30일 양국 국방장관 회담을 갖고 국방·방산 분야 협력을 강화하기로 했다.
부아쉬착 폴란드 국방장관은 이 회담 후 지난달 31일 현대로템 공장을 직접 찾았다.
부아쉬착 장관은 이날 한화디펜스와 한국항공우주산업(KAI) 공장도 방문해 FA-50 경공격기 48대 구매 의사를 타진하기도 했다.
폴란드는 현재 주력 전투기로 운용 중인 F-16 전투기와 FA-50의 호환성을 높이 평가한 것으로 알려졌다.
한편, K2 전차의 노르웨이 수출 협상도 76~100대 규모로 막바지 단계로 전해졌다.
노르웨이와 K2 전차의 수출 협상은 순항 중이어서 빠르면 올해 안에 계약 체결이 가능할 것으로 보인다.
이에 맞춰 현대로템은 K2 전차를 현지 실정에 맞게 개량해 현지 시험평가까지 마쳤다.
최대 100대를 기준으로 수출액 규모는 약 1조6000억원 안팎으로 추산된다.
지난 2월 16일(현지시간) 당시 서욱 국방부장관은 K2 전차 노르웨이 수출 지원을 위해 현지 방문 길에 레나 기지에서 진행된 시험평가 현장을 직접 찾기도 했다.
서 전 장관은 이 자리에서 동행한 노르웨이 국방부 모튼 틸러 병기총국장, 오이빈 크발빅 지상체계부장 등에게 K2 전차의 우수성을 직접 설명하고, 노르웨이 주력 전차로 선정될 수 있도록 정부 차원에서 지원 가능한 부분들을 발굴해 적극 지원하겠다고 약속했다.
K2 전차의 폴란드와 노르웨이 수출이 모두 성사되면 전체 수출액이 5조원에 육박할 것으로 보인다."
"감사원 “기품원, 불필요 부품 국산화에 정부돈 75억원 낭비”","[국방신문=오동준 기자] 국방기술품질원이 국산화가 불필요하거나 경제성이 부족한 부품을 국산화사업 과제에 포함시켜 지원금 약 75억원을 낭비했다는 감사 결과가 나왔다.
감사원은 7일 기품원 감사보고서에서 ‘핵심부품 국산화개발 지원사업’ 일부 과제가 부당하게 선정됐다고 면서 이같이 밝혔다.
감사원에 따르면 기품원 부설 국방기술진흥연구소 직원 A씨는 2020년 9월 천마(단거리 지대공유도무기) 무기체계 핵심부품 국산화사업 선정 과정에서 제외된 부품을 개발업체 요청으로 임의로 검토 대상에 포함시켰다.
감사원은 “핵심부품 국산화사업 지원대상이 아니거나 국산화 개발 필요성이 적은 5개 부품 개발에 정부지원금 75억여 원이 지원됐다”고 지적했다.
이어 “합참 등에서 불필요한 것으로 판단한 품목의 경우 개발 이후에도 군의 소요가 없어 활용되지 못할 우려가 있다”고 덧붙였다.
또 기품원이 지난 2019년부터 2021년까지 승인받은 핵심부품 국산화사업 과제 36개 중 11개가 이미 국방과학연구소 등에서 경제성 부족 등의 이유로 개발이 불필요하다는 검토 결과를 받은 과제인 것으로 드러났다.
감사원은 기품원장과 방위사업청장에게 각각 주의를 통보하고 관련자에 대해선 경징계 이상의 문책을 요구했다."
"방사청, 중소 방산업체-글로벌 기업 간 '일대일 다리' 놓는다","[국방신문=오동준 기자] 방위사업청이 국내 방산 중소기업의 해외 진출을 돕기 위해 글로벌 방산기업과 일대일로 다리를 놓는다.
방사청은 국방기술진흥연구소와 공동으로 6월 2일부터 3일까지 서울 코엑스에서 ‘2022 절충교역 일대일 수출상담회’를 개최한다고 2일 밝혔다.
절충교역은 해외로부터 무기·장비 등을 구입할 시 반대급부로 국산 부품을 수출하거나 관련 기술을 이전받는 교역 형태다.
방사청에 따르면 절충교역 수출상담회는 국내 중소기업과 글로벌 방산기업간 일대일 수출상담 기회를 만들어 국내 기업의 해외 공급망 진입을 돕는 자리다.
상담회에 참가하는 글로벌 방산기업은 미국의 보잉, 노스롭그루먼을 비롯해 프랑스 에어버스, 스웨덴 사브, 독일 헨솔트 등 5개사다.
국내 중소기업은 기업의 관심 분야에 따라 22개 사가 선정돼 참가한다.
상담회 첫날인 2일엔 국내 기업을 대상으로 절충교역 정책 방향과 참여 방법 등을 설명한다. 또 노스롭그루먼, 사브, 헨솔트 3개 기업의 글로벌 협력선 등록을 위한 기준과 절차 등이 소개된다.
이어 2일 오후와 3일엔 국내외 기업의 구매 담당자 간 관심사항에 대해 33건의 일대일 상담을 진행할 예정이다.
김진홍 방사청 방위산업진흥국장은 “수출상담회를 통해 우수한 기술을 보유한 국내 중소기업이 글로벌 방산기업의 협력사로 참여하고, 수출 계약으로 이어지는 좋은 계기가 될 것”이라고 말했다."
"‘KF-21’ 분담금 5년 미납 인니, 조종사 파견…""기술 유출 우려""","[국방신문=윤석진 기자] 한국이 개발 중인 첫 한국형 전투기 ‘KF-21 보라매’의 공동개발국인 인도네시아가 분담금은 5년 동안 한 푼도 내지않은 채 조종사 및 기술진 39명을 파견해 기술유출 우려가 있다는 지적이 나왔다.
24일 방위사업청에 따르면 인도네시아는 참여 지분 20%에 대한 분담금 총액 약 1조6000억원 중 이 사업이 시작된 2016년 이래 2272억 원만 납부한 뒤 현재까지 부담금 약 8000억 원 가량을 미납한 상황이다.
방사청은 지난해 11월 KF-21 개발업체인 한국항공우주산업(KAI)이 인도네시아 국방부와 협의를 거쳐 올해 1분기(3월)까지 비용분담계약서를 수정할 계획이라고 밝혔으나 아직 분담금 문제를 해결하지 못하고 있는 셈이다.
당시 양측은 인도네시아의 전체 분담금 총액은 건드리지 않고 분담금의 30%에 해당하는 금액을 팜유 등 현물로 납부하기로 합의했으나 연체금을 포함한 분담금 납부 방법과 시기 등은 정하지 못했다.
KAI에 따르면 KF-21은 올해 7월부터 비행시험에 돌입, 2026년에 KF-21 개발을 완료한다는 계획이다.
KF-21 전체 사업비는 인도네시아의 분담금을 포함해 8조1000억 원에 달한다.
이런 가운데 인도네시아 측은 이달까지 자국의 기술진과 공군조종사 39명을 경남 사천에 있는 KAI 본사에 파견한 것으로 확인됐다고 국회 국방위원인 강대식 국민의힘 의원이 밝혔다.
강 의원은 “인도네시아의 1년 국방비를 고려할 경우 2026년까지 미납 분담금을 납부할 여력이 만만치 않은 만큼 방사청은 더 늦기 전에 인니와 수정계약서 작성을 마쳐야 한다”며 “인니의 기술자와 공군조종사가 한국형 전투기 개발 과정의 유‧무형 자산을 합당하게 취득할 수 있도록 해야 한다”고 지적했다.
방사청은 이에 대해 “비용분담합의서의 조속한 개정을 위해 정부는 서한 등 다양한 방안을 통해 인니 국방부와 협의를 지속하고 있지만 코로나19 등으로 인해 지연되고 있다”며 “조속한 합의를 도출하도록 노력하겠다”고 밝혔다."
,
"민‧군 합작, 신형 방탄모 국내 개발…초속 60m 총탄도 못뚫어","[국방신문=양기반 기자] 초속 60m 이상 속도로 날아오는 총탄도 관통할 수 없는 신형 방탄모가 민·군 합작으로 국내에서 개발됐다.
국방부와 국방기술진흥연구소는 이 같은 성능의 신형 방탄모 시험 평가를 완료하고 하반기부터 군에 보급한다고 23일 밝혔다.
이 방탄모는 기존 제품보다 9㎜ 권총탄 등 파편탄 5종에 대한 방탄 성능을 획기적으로 향상시킨 제품이다. 방탄 성능을 낼 수 있는 총탄의 한계 속도를 말하는 ‘방탄 속도’를 높였다는 의미다.
이 방탄모는 고온과 저온은 물론 바닷물에 침수된 이후에도 방탄 성능을 유지하는 것으로 평가됐다.
이 방탄모는 장병 600여명의 머리 모양을 측정해 방탄모 모양과 크기를 인체 공학적으로 구현했다는 게 국기연의 설명이다.
또 내부에는 완충 기능을 하는 폼패드 내장재를, 외부에는 야시경과 통신 장비를 부착할 수 있는 슈라우드와 사이드레일을 부착했다.
방탄 헬멧은 다양한 작전 환경에서 적의 위협으로부터 장병의 생명을 지키고 전투 활동성을 높이기 위해 최대한의 방탄 성능은 물론 최소한의 무게로 착용 편의성을 갖추는 것이 필수다.
이 방탄모는 국내 방산업체인 효성과 경창산업이 2017년부터 연구에 착수해 5년만에 개발에 성공했다.
국방부는 올 하반기부터 이 방탄모를 군에 보급을 시작할 계획이다.
국기연은 “전량 수입해온 방탄모 소재인 아라미드(Aramid)를 국산화했다”며 “이 소재는 소방복 등 민간 분야에도 활용할 수 있다”고 설명했다.
임영일 국기연 소장은 “이번에 민·군 기술협력 사업으로 개발한 신형 방탄모는 미국 등 선진국 제품보다 동등 이상의 성능을 보유하고 있다”며 “탄의 직경이 비교적 큰 9㎜ 권총탄을 막아줄 정도의 방탄 성능을 보유했다”고 설명했다."
"방사청, ‘잠수함·자주포’ 20개 부품 국산화 추진...6월24일까지 공모","[국방신문=오동준 기자] ‘장보고-Ⅲ Batch-Ⅱ’, ‘K9 자주포’ 등 무기체계 부품의 국산화가 적극 추진된다.
방위사업청은 5월 16일부터 6월 24일까지 ‘2022년 1차 부품국산화 개발지원사업’ 주관기업을 공개모집한다고 16일 밝혔다.
주관기업으로 선정되면 사업유형에 따라 과제당 개발비의 일부를 최장 5년 간 지원받을 수 있다. 중소기업은 75%, 중견기업 70%, 대기업 50%를 지원받는다.
부품국산화 개발지원사업은 무기체계에 사용되는 핵심부품 중 국외에서 수입하는 부품을 국내 제품으로 개발하는 사업이다.
방사청에 따르면 이 사업의 2022년도 예산은 1691억원으로 지난해보다 약 91% 증액됐다.
이번 1차로 공모한 과제 20개에는 올해 136억원을 시작으로 4년간 약 584억원이 투입될 예정이다.
1차 과제 중 ‘장보고-Ⅲ Batch-Ⅱ(KSS-Ⅲ Batch-Ⅱ)용 항해레이더’는 잠수함 항해를 위한 필수장비다. 국산화 개발 성공 시 978억원의 수입대체 효과가 기대된다.
K9 자주포에 적용되는 수출제한 품목인 ‘동력장치용 원심식 송풍기’ 등 3개 과제를 국산화하면 군 운용성 향상, 수출 추진 등에 도움이 될 것으로 전망된다.
아울러 방사청은 올해 부품 유형별로 사업을 다양화하고 맞춤형 개발지원을 위해 사업체계를 개편했다고 밝혔다.
이에 핵심부품 국산화사업의 체계적합성 시험평가비를 정부가 전액 지원하는 등 관련 제도의 개선으로 개발업체의 부담을 줄일 계획이다.
또 개발·체계업체간 확약서 제출을 의무화해 양쪽 모두에 부품국산화 개발의 동기를 부여할 방침이다.
김진홍 방사청 방위산업진흥국장은 “부품국산화 개발지원사업은 방산분야 중소기업 및 체계업체의 활발한 참여가 필수적인 사업”이라며 “지속적으로 방산분야 관계자들의 의견을 수렴하고, 부품국산화 관련 제도 개선 및 사업 확대를 추진해 우수 국방중소기업을 육성하고 일자리 창출에 기여하기 위해 더욱 노력하겠다”고 말했다."
"방사청, 기업 ‘무허가 수출 불이익’ 예방 상담...16일부터 신청","[국방신문=오동준 기자] 방위사업청은 방산기업들이 무허가 수출로 인해 법적 불이익을 받지 않도록 수출입제도에 대한 상담회를 진행한다.
방사청은 6월 7일부터 30일까지 ‘맞춤형 방산 수출입제도 상담회’를 실시한다고 16일 밝혔다.
이 상담회는 수출입 허가 제도에 대한 교육과 기업별 맞춤형 상담을 통해 허가 제도에 대한 이해를 제고하고 무허가 수출을 막기 위해 반기별로 열리고 있다.
특히 방사청은 이번 상담회를 통해 신규 방산수출 사업을 추진하려는 중소 협력기업, 수출입 관련 공공기관, 한국방위산업진흥회 소속 회원사 등을 상대로 무허가 수출로 인한 법적 불이익을 예방하려는 계획이다.
또 최신 국제동향과 정보를 제공해 기업의 방산수출 확대에도 좋은 기회가 될 것으로 보고 있다.
강은호 방사청장은 “앞으로도 수출입 절차이행에 대한 공감대를 지속적으로 확산시키고, 무허가 수출 사례 사전 방지를 위한 노력을 적극 추진해 나갈 것”이라고 말했다.
상담회 신청기간은 5월 16일부터 27일까지로, 자세한 사항은 방사청 누리집에서 확인 가능하다.
방사청은 이번 상담회는 정부의 방역 지침을 준수한 가운데 적극적으로 참여범위를 확대해 방문 상담 형태로 실시할 예정이라고 밝혔다."
"한화·군인공제회, 방산 벤처펀드 국내 첫 조성...800억원 규모","[국방신문=오동준 기자] 한화시스템과 군인공제회가 국내에서 처음으로 800억원을 공동 출자해 방위산업 벤처투자펀드를 조성한다.
한화시스템은 양측이 각각 400억원씩을 출자해 밀리테크(군사기술)와 4차 산업혁명 분야 벤처펀드를 조성했다고 9일 밝혔다.
블라인드펀드로 조성된 이 펀드는 앞으로 항공우주·도심항공교통(UAM)·인공지능(AI)·양자컴퓨팅·사이버보안 등 기술주권 확보가 시급한 분야의 국내외 유망 스타트업에 투자될 계획이다.
블라인드펀드란 투자대상을 정하지 않고 자금을 모집한 후 투자대상을 찾는 펀드를 말한다.
한화시스템은 신성장 분야 유망기업 발굴과 투자 확대를 통해 미래 혁신기술 역량을 강화하고, 해당기업의 지분가치를 높여 윈윈(win-win) 모델을 만들 방침이라며 “군사 기술주권 확보에 나선 것”이라고 의미를 부여했다.
어성철 한화시스템 대표이사는 “국방 기술을 시장에 적용하는 스핀오프(spin-off), 혁신기술을 국방 분야에 적용하는 스핀온(spin-on), 국방과 시장에 신사업 기술이 공동 적용되는 스핀업(spin-up) 방식이 빠르게 교차 추진되길 기대한다”며 “미래 전장의 판도를 바꿀 ‘게임 체인저’가 될 기술주권 확보에 나서 우리 국방과 미래 혁신기술 역량 강화에 마중물 역할을 하겠다”고 말했다.
김유근 군인공제회 이사장은 “국가와 사회발전을 위한 투자의 일환으로 국군 전력향상에 기여할 수 있는 국방 분야 투자를 오랜 기간 면밀히 검토해 왔다”며 “국방 벤처에 적극적인 투자를 통해 수익을 창출하고 회원복지 증진을 지속 추진하겠다”고 밝혔다."
필리핀 달려간 ‘K-방산’…풍산 등 13개사 단체로 동남아시장 개척,"
[국방신문=양기반 기자] 육해공 K-방산을 대표하는 13개 국내 방위산업체들이 단체로 필리핀으로 달려가 국산 무기의 동남아 시장 개척에 나섰다.
한국방위산업진흥회는 27일부터 29일까지 사흘간 필리핀 마닐라 월드트레이드센터에서 열리고 있는 국제방위산업전시회 ‘ADAS(Asian Defence & Security) 2022’에 한국관을 설치해 국내 13개 방산 기업 참가를 지원했다고 29일 밝혔다.
그 중 기아, 대우조선해양, LIG넥스원, 풍산, 한국항공우주산업(KAI), 한화시스템, 현대중공업 등 7개 대기업은 이번 전시회 현장에 독자 부스를 마련했다.
또 보고, 빅텍, 억세스위, 우성씨텍, 이오시스템, 지우정보기술 등 6개 기업은 중소기업관을 공동으로 운영하고 있다.
기아는 이번 전시회에 소형전술차량과 미니버스를 앞세워 참가했다.
현재 우리 군도 운용하고 있는 기아의 소형전술차량은 지난 2016년부터 양산에 들어간 제품으로 수출 상담을 적극적으로 벌이고 있다.
필리핀 해군에 잠수함 획득 사업을 이미 제안한 대우조선해양은 이번 전시회에 자체 건조한 1400톤급 잠수함을 선보였다.
잠수함이 없는 필리핀은 약 1조7500억원을 들여 잠수함 2척을 도입하는 사업을 현재 추진 중이다.
대우조선해양은 필리핀 해군 잠수함 획득 사업에서 프랑스 나발그룹을 경쟁자로 꼽고 있다.
나발그룹이 잠수함만 제공하겠다는 것과 달리 대우조선해양은 정비·교육훈련 시설 등 ‘토탈 솔루션’ 패키지를 제안한 상태여서 경쟁력이 있는 것으로 평가된다.
LIG넥스원은 세계시장에서 명품으로 평가받고 있는 중거리 지대공미사일 ‘천궁-Ⅱ’(M-SAM)를 비롯해 휴대용 지대공미사일 ‘신궁’, 경어뢰 ‘청상어’, 대함미사일 ‘해성’ 등 첨단 미사일 제품 위주로 판매전을 펼치고 있다.
KAI는 필리핀군이 이미 운용 중인 경공격기 FA-50을 중심으로 훈련기 KT-1, 그리고 개발 중인 한국형 전투기 KF-21 보라매 모형으로 고객 눈길을 사로 잡고 있다.
KAI는 이번 전시를 통해 필리핀 측에 FA-50 추가 계약과 함께 KT-1 신규 수출 문을 두드리는 중이다.
한화시스템은 저궤도 군집 통신위성과 초소형 합성개구레이더(SAR) 위성의 고객 잡기에 나섰다. 오는 2023년 발사를 계획하고 있는 SAR 위성은 야간과 악천후에도 영상정보를 획득할 수 있는 장점이 돋보인다.
조선 전문기업인 현대중공업도 원해경비함을 전시하고, 필리핀 수출을 추진 중이다.
필리핀 해군은 지난해 현대중공업이 건조한 호세 리잘급 호위함 2번함을 인수한 인연이 있다.
델핀 로렌자나 필리핀 국방장관은 이번 전시회에서 한국 방산업체들의 부스를 차례로 돌아본 뒤 “필리핀에서 한국의 FA-50과 호위함 등을 도입했는데 품질이 좋아 더 수입할 만한 무기들이 있는지 살펴보고 있다”고 말했다.
나상웅 방진회 상근부회장은 “한국 무기는 가성비가 좋고, 세계 군사력 6위의 한국군이 운용하고 있다는 데 대해 큰 신뢰를 받고 있다”며 ""앞으로도 계속 수출할 수 있도록 체계를 정립해 나가야 한다“고 강조했다."
"KAI, 국산 항공기 수출시장 공략 가속화…필리핀 ADAS 참가","[국방신문=오동준 기자] 한국항공우주산업(KAI)이 국산 항공기 수출시장 공략을 위한 행보를 필리핀에서도 펼치고 있다.
KAI는 4월 27일부터 29일까지 필리핀 마닐라에서 열리는 ‘ADAS 2022’에 참가한다고 27일 밝혔다.
ADAS는 필리핀 최대 규모의 국방·보안 부문 전시회로 말레이시아·인도네시아·태국 등 50개국 200여개 기업이 참가하는 국제전시회다.
KAI는 이번 전시회에서 KF-21 전투기, FA-50 경공격기, KT-1 기본훈련기를 비롯해 수리온, 소형무장헬기(LAH), 상륙공격헬기(MAH) 등을 선보였다.
또 필리핀 공군참모총장 등 군 수뇌부를 만나 FA-50PH의 업그레이드 방안과 항공기 가동률 제고를 위한 후속지원 사업도 제안했다.
필리핀 공군은 앞서 2014년 FA-50PH를 12대 계약 체결한 후 2017년 마라위 전투에 투입하는 등 전투기의 뛰어난 성능에 만족하고 있는 것으로 알려졌다.
그러면서 KT-1 기본훈련기 급의 신규 훈련기 도입사업도 추진 중이다. 이에 KAI는 KT-1의 성능과 훈련 효과를 소개하기도 했다.
KAI 관계자는 “FA-50 경공격기의 항속거리 및 무장 능력을 강화하기 위한 성능개량을 추진 중”이라며 “고객 맞춤형 제안을 통해 FA-50 등 국산 항공기의 글로벌 경쟁력을 강화할 것”이라고 말했다.
KAI는 국산 항공기 1000대 수출을 목표로 북미·오세아니아 등 선진국 시장에서도 활발한 마케팅 활동을 펼치고 있다.
이를 위해 말레이시아 경공격기 사업, 콜롬비아 노후 경공격기 교체사업 등에 참여하고 있고, 미 공군·해군 전술훈련기와 고등훈련기 시장 진출을 위해 록히드마틴과 전략적 협력을 확대하고 있는 것으로 전해졌다.
KAI는 오는 5월엔 슬로바키아 방산전시회에 참가할 예정으로, 현지 국영 업체인 LOTN사와 FA-50 수출을 위한 협력을 강화 중이라고 밝혔다."
