용어,용례
소링이글,[]
드 하빌랜드 뱀파이어,[]
순양전함,[]
5호 전차 판터,[]
E-8 조인트 스타즈,[]
특수작전차량,[]
데저트 이글 권총,[]
F-20 타이거샤크,[]
핵가방,[]
J-11 전투기,[]
마르다,[]
M101 105mm 곡사포,[]
F-15J 이글,[]
벙커버스터,[]
투폴레프 Tu-16 전략폭격기,[]
전차상륙함,[]
K151/K351 소형전술차량,[]
Su-30,"['향후 다목적 전투기(Su-30SM)와 방공미사일 시스템(S-400), 프랑스제 미스트랄 수송함 등의 배치를 추진하고 있다.']"
MP18 기관단총,[]
A-4 스카이호크 공격기,[]
M1897 75mm 포,[]
